residue,modulus,energy_fraction,signed_sum
1,3,2.0000000000e-01,-2.2204460493e-16
2,3,8.0000000000e-01,-4.7184478547e-16
1,9,1.1205313607e-01,-3.8163916471e-17
2,9,4.4821254427e-01,-1.3877787808e-16
4,9,8.0943542929e-02,-6.5919492087e-17
5,9,2.8013284017e-02,-3.6429192996e-17
7,9,7.0033210042e-03,-7.8062556419e-18
8,9,3.2377417172e-01,-1.8735013541e-16
1,27,3.7351045356e-02,+6.9388939039e-18
2,27,1.4940418142e-01,-4.1633363423e-17
4,27,2.6981180976e-02,-2.7755575616e-17
5,27,9.3377613389e-03,-1.3877787808e-17
7,27,2.3344403347e-03,-6.0715321659e-18
8,27,1.0792472391e-01,-5.5511151231e-17
10,27,3.7351045356e-02,+0.0000000000e+00
11,27,1.4940418142e-01,-1.0408340856e-16
13,27,2.6981180976e-02,-2.0816681712e-17
14,27,9.3377613389e-03,-2.4286128664e-17
16,27,2.3344403347e-03,-1.7347234760e-18
17,27,1.0792472391e-01,+4.8572257327e-17
19,27,3.7351045356e-02,-2.4286128664e-17
20,27,1.4940418142e-01,-4.1633363423e-17
22,27,2.6981180976e-02,-8.6736173799e-18
23,27,9.3377613389e-03,-5.2041704279e-18
25,27,2.3344403347e-03,-6.0715321659e-18
26,27,1.0792472391e-01,-3.4694469520e-17
1,81,1.2450348452e-02,+1.3877787808e-17
2,81,4.9801393807e-02,-1.3877787808e-17
4,81,8.9937269921e-03,+0.0000000000e+00
5,81,3.1125871130e-03,-6.9388939039e-18
7,81,7.7814677824e-04,+4.3368086899e-19
8,81,3.5974907969e-02,-1.3877787808e-17
10,81,1.2450348452e-02,-6.9388939039e-18
11,81,4.9801393807e-02,-6.9388939039e-17
13,81,8.9937269921e-03,+0.0000000000e+00
14,81,3.1125871130e-03,-1.2143064332e-17
16,81,7.7814677824e-04,+0.0000000000e+00
17,81,3.5974907969e-02,-6.9388939039e-18
19,81,1.2450348452e-02,-1.3877787808e-17
20,81,4.9801393807e-02,-2.7755575616e-17
22,81,8.9937269921e-03,-6.9388939039e-18
23,81,3.1125871130e-03,-3.4694469520e-18
25,81,7.7814677824e-04,-6.9388939039e-18
26,81,3.5974907969e-02,-2.7755575616e-17
28,81,1.2450348452e-02,-1.3877787808e-17
29,81,4.9801393807e-02,-1.3877787808e-17
31,81,8.9937269921e-03,-6.9388939039e-18
32,81,3.1125871130e-03,-3.4694469520e-18
34,81,7.7814677824e-04,+1.7347234760e-18
35,81,3.5974907969e-02,+0.0000000000e+00
37,81,1.2450348452e-02,+0.0000000000e+00
38,81,4.9801393807e-02,-4.1633363423e-17
40,81,8.9937269921e-03,+1.7347234760e-17
41,81,3.1125871130e-03,-8.6736173799e-18
43,81,7.7814677824e-04,-1.7347234760e-18
44,81,3.5974907969e-02,-1.7347234760e-17
46,81,1.2450348452e-02,+0.0000000000e+00
47,81,4.9801393807e-02,-1.3877787808e-17
49,81,8.9937269921e-03,+8.6736173799e-18
50,81,3.1125871130e-03,-1.0408340856e-17
52,81,7.7814677824e-04,-5.2041704279e-18
53,81,3.5974907969e-02,-1.3877787808e-17
55,81,1.2450348452e-02,+6.9388939039e-18
56,81,4.9801393807e-02,-1.3877787808e-17
58,81,8.9937269921e-03,-1.3877787808e-17
59,81,3.1125871130e-03,+3.4694469520e-18
61,81,7.7814677824e-04,+2.6020852140e-18
62,81,3.5974907969e-02,+0.0000000000e+00
64,81,1.2450348452e-02,+3.4694469520e-18
65,81,4.9801393807e-02,+2.0816681712e-17
67,81,8.9937269921e-03,-1.3877787808e-17
68,81,3.1125871130e-03,-3.4694469520e-18
70,81,7.7814677824e-04,+3.4694469520e-18
71,81,3.5974907969e-02,-1.0408340856e-17
73,81,1.2450348452e-02,-1.0408340856e-17
74,81,4.9801393807e-02,+0.0000000000e+00
76,81,8.9937269921e-03,+3.4694469520e-18
77,81,3.1125871130e-03,+5.2041704279e-18
79,81,7.7814677824e-04,+2.6020852140e-18
80,81,3.5974907969e-02,+0.0000000000e+00
