residue,modulus,energy_fraction,signed_sum
1,3,2.0000000000e-01,+1.1102230246e-16
2,3,8.0000000000e-01,-5.5511151231e-17
1,9,1.1204574201e-01,+3.4694469520e-17
2,9,4.4818296802e-01,+1.3877787808e-16
4,9,8.0951399119e-02,-1.1102230246e-16
5,9,2.8011435501e-02,+0.0000000000e+00
7,9,7.0028588753e-03,+3.4694469520e-18
8,9,3.2380559648e-01,+0.0000000000e+00
1,27,3.7348580668e-02,+1.7347234760e-17
2,27,1.4939432267e-01,-1.3877787808e-17
4,27,2.6983799706e-02,-3.1225022568e-17
5,27,9.3371451671e-03,+0.0000000000e+00
7,27,2.3342862918e-03,-6.9388939039e-18
8,27,1.0793519883e-01,+1.0408340856e-16
10,27,3.7348580668e-02,+3.2959746044e-17
11,27,1.4939432267e-01,-2.6020852140e-17
13,27,2.6983799706e-02,-2.0816681712e-17
14,27,9.3371451671e-03,-2.4286128664e-17
16,27,2.3342862918e-03,-6.0715321659e-18
17,27,1.0793519883e-01,+0.0000000000e+00
19,27,3.7348580668e-02,+1.2143064332e-17
20,27,1.4939432267e-01,+2.7755575616e-17
22,27,2.6983799706e-02,+0.0000000000e+00
23,27,9.3371451671e-03,+5.6378512969e-18
25,27,2.3342862918e-03,-8.6736173799e-19
26,27,1.0793519883e-01,-6.9388939039e-18
1,81,1.2449526889e-02,+6.9388939039e-18
2,81,4.9798107558e-02,-2.0816681712e-17
4,81,8.9945999022e-03,-6.9388939039e-18
5,81,3.1123817224e-03,+0.0000000000e+00
7,81,7.7809543059e-04,-5.4210108624e-18
8,81,3.5978399609e-02,+1.3877787808e-17
10,81,1.2449526889e-02,-1.0408340856e-17
11,81,4.9798107558e-02,+6.9388939039e-18
13,81,8.9945999022e-03,+2.6020852140e-17
14,81,3.1123817224e-03,+1.0408340856e-17
16,81,7.7809543059e-04,+2.6020852140e-18
17,81,3.5978399609e-02,-1.7347234760e-18
19,81,1.2449526889e-02,-2.0816681712e-17
20,81,4.9798107558e-02,-1.3877787808e-17
22,81,8.9945999022e-03,+1.0408340856e-17
23,81,3.1123817224e-03,+0.0000000000e+00
25,81,7.7809543059e-04,+1.7347234760e-18
26,81,3.5978399609e-02,-2.0816681712e-17
28,81,1.2449526889e-02,+1.0408340856e-17
29,81,4.9798107558e-02,-2.0816681712e-17
31,81,8.9945999022e-03,-6.9388939039e-18
32,81,3.1123817224e-03,+4.3368086899e-18
34,81,7.7809543059e-04,-6.0715321659e-18
35,81,3.5978399609e-02,+4.5102810375e-17
37,81,1.2449526889e-02,-8.6736173799e-18
38,81,4.9798107558e-02,-6.9388939039e-18
40,81,8.9945999022e-03,-3.4694469520e-18
41,81,3.1123817224e-03,+5.2041704279e-18
43,81,7.7809543059e-04,-4.3368086899e-18
44,81,3.5978399609e-02,+2.2551405188e-17
46,81,1.2449526889e-02,+3.4694469520e-18
47,81,4.9798107558e-02,+5.2041704279e-18
49,81,8.9945999022e-03,+8.6736173799e-18
50,81,3.1123817224e-03,-3.4694469520e-18
52,81,7.7809543059e-04,+1.7347234760e-18
53,81,3.5978399609e-02,+0.0000000000e+00
55,81,1.2449526889e-02,+3.4694469520e-18
56,81,4.9798107558e-02,+4.1633363423e-17
58,81,8.9945999022e-03,-6.9388939039e-18
59,81,3.1123817224e-03,-1.7347234760e-18
61,81,7.7809543059e-04,+8.6736173799e-19
62,81,3.5978399609e-02,+2.0816681712e-17
64,81,1.2449526889e-02,-1.0408340856e-17
65,81,4.9798107558e-02,-2.6020852140e-17
67,81,8.9945999022e-03,+0.0000000000e+00
68,81,3.1123817224e-03,+0.0000000000e+00
70,81,7.7809543059e-04,-3.4694469520e-18
71,81,3.5978399609e-02,+0.0000000000e+00
73,81,1.2449526889e-02,-1.7347234760e-18
74,81,4.9798107558e-02,+2.7755575616e-17
76,81,8.9945999022e-03,-1.0408340856e-17
77,81,3.1123817224e-03,+3.9031278209e-18
79,81,7.7809543059e-04,+0.0000000000e+00
80,81,3.5978399609e-02,+1.3877787808e-17
