rank,sigma,log10_sigma
1,6.706223266254693e-01,-0.173522
2,6.706223266254692e-01,-0.173522
3,6.706197661481118e-01,-0.173524
4,6.706197661481115e-01,-0.173524
5,6.706095250430498e-01,-0.173530
6,6.706095250430498e-01,-0.173530
7,6.706018450587888e-01,-0.173535
8,6.706018450587888e-01,-0.173535
9,6.705813686393696e-01,-0.173549
10,6.705813686393696e-01,-0.173549
11,6.705685734906668e-01,-0.173557
12,6.705685734906665e-01,-0.173557
13,6.705378733344119e-01,-0.173577
14,6.705378733344117e-01,-0.173577
15,6.705199702554642e-01,-0.173588
16,6.705199702554642e-01,-0.173588
17,6.704790637189493e-01,-0.173615
18,6.704790637189492e-01,-0.173615
19,6.704560628308430e-01,-0.173630
20,6.704560628308429e-01,-0.173630
21,6.704049730380737e-01,-0.173663
22,6.704049730380736e-01,-0.173663
23,6.703768873420123e-01,-0.173681
24,6.703768873420123e-01,-0.173681
25,6.703156431689777e-01,-0.173721
26,6.703156431689775e-01,-0.173721
27,6.702824885376081e-01,-0.173742
28,6.702824885376079e-01,-0.173742
29,6.702111245930409e-01,-0.173788
30,6.702111245930408e-01,-0.173788
31,6.701729197598962e-01,-0.173813
32,6.701729197598951e-01,-0.173813
33,6.700914763622992e-01,-0.173866
34,6.700914763622990e-01,-0.173866
35,6.700482429093867e-01,-0.173894
36,6.700482429093862e-01,-0.173894
37,6.699567660603751e-01,-0.173953
38,6.699567660603751e-01,-0.173953
39,6.699085284039396e-01,-0.173984
40,6.699085284039393e-01,-0.173984
41,6.698070697579752e-01,-0.174050
42,6.698070697579752e-01,-0.174050
43,6.697538551324760e-01,-0.174085
44,6.697538551324760e-01,-0.174085
45,6.696424719630631e-01,-0.174157
46,6.696424719630630e-01,-0.174157
47,6.695843104034055e-01,-0.174195
48,6.695843104034054e-01,-0.174195
49,6.694630655658408e-01,-0.174273
50,6.694630655658406e-01,-0.174273
51,6.693999898879038e-01,-0.174314
52,6.693999898879037e-01,-0.174314
53,6.692689517786709e-01,-0.174399
54,6.692689517786704e-01,-0.174399
55,6.692009975581856e-01,-0.174443
56,6.692009975581853e-01,-0.174443
57,6.690602400710997e-01,-0.174535
58,6.690602400710995e-01,-0.174535
59,6.689874456209284e-01,-0.174582
60,6.689874456209279e-01,-0.174582
61,6.688370481001418e-01,-0.174680
62,6.688370481001418e-01,-0.174680
63,6.687594544460157e-01,-0.174730
64,6.687594544460154e-01,-0.174730
65,6.685995016360013e-01,-0.174834
66,6.685995016360012e-01,-0.174834
67,6.685171524907809e-01,-0.174887
68,6.685171524907805e-01,-0.174887
69,6.683477344834188e-01,-0.174998
70,6.683477344834187e-01,-0.174998
71,6.682606762199372e-01,-0.175054
72,6.682606762199372e-01,-0.175054
73,6.680818883988450e-01,-0.175170
74,6.680818883988449e-01,-0.175170
75,6.679901700214071e-01,-0.175230
76,6.679901700214070e-01,-0.175230
77,6.678021130036408e-01,-0.175352
78,6.678021130036407e-01,-0.175352
79,6.677057861182454e-01,-0.175415
80,6.677057861182453e-01,-0.175415
81,6.675085656935297e-01,-0.175543
82,6.675085656935295e-01,-0.175543
83,6.674076844768906e-01,-0.175609
84,6.674076844768903e-01,-0.175609
85,6.672014115445196e-01,-0.175743
86,6.672014115445194e-01,-0.175743
87,6.670960327119639e-01,-0.175812
88,6.670960327119637e-01,-0.175812
89,6.668808232155359e-01,-0.175952
90,6.668808232155357e-01,-0.175952
91,6.667710059878571e-01,-0.176023
92,6.667710059878570e-01,-0.176023
93,6.665469808479961e-01,-0.176169
94,6.665469808479959e-01,-0.176169
95,6.664327869173445e-01,-0.176244
96,6.664327869173443e-01,-0.176244
97,6.662000719625851e-01,-0.176395
98,6.662000719625851e-01,-0.176395
