rank,sigma,log10_sigma
1,6.706154988646009e-01,-0.173526
2,6.706154988646006e-01,-0.173526
3,6.705924593943374e-01,-0.173541
4,6.705924593943373e-01,-0.173541
5,6.705003666398461e-01,-0.173601
6,6.705003666398456e-01,-0.173601
7,6.704313654201772e-01,-0.173646
8,6.704313654201769e-01,-0.173646
9,6.702476482832046e-01,-0.173765
10,6.702476482832045e-01,-0.173765
11,6.701330361818889e-01,-0.173839
12,6.701330361818887e-01,-0.173839
13,6.698586285930892e-01,-0.174017
14,6.698586285930890e-01,-0.174017
15,6.696989880539641e-01,-0.174120
16,6.696989880539637e-01,-0.174120
17,6.693352839406089e-01,-0.174356
18,6.693352839406087e-01,-0.174356
19,6.691314255363375e-01,-0.174489
20,6.691314255363372e-01,-0.174489
21,6.686802706392782e-01,-0.174781
22,6.686802706392778e-01,-0.174781
23,6.684332283563879e-01,-0.174942
24,6.684332283563876e-01,-0.174942
25,6.678969096130529e-01,-0.175291
26,6.678969096130529e-01,-0.175291
27,6.676079349767662e-01,-0.175479
28,6.676079349767658e-01,-0.175479
29,6.669891677115263e-01,-0.175881
30,6.669891677115262e-01,-0.175881
31,6.666597228834619e-01,-0.176096
32,6.666597228834616e-01,-0.176096
33,6.659616360942947e-01,-0.176551
34,6.659616360942946e-01,-0.176551
35,6.655933860980142e-01,-0.176791
36,6.655933860980141e-01,-0.176791
37,6.648195061680197e-01,-0.177296
38,6.648195061680193e-01,-0.177296
39,6.644143104149649e-01,-0.177561
40,6.644143104149646e-01,-0.177561
41,6.635685436076832e-01,-0.178114
42,6.635685436076829e-01,-0.178114
43,6.631284469087700e-01,-0.178402
44,6.631284469087697e-01,-0.178402
45,6.622150610263949e-01,-0.179001
46,6.622150610263948e-01,-0.179001
47,6.617422842818425e-01,-0.179311
48,6.617422842818425e-01,-0.179311
49,6.607658898743144e-01,-0.179952
50,6.607658898743142e-01,-0.179952
51,6.602628206357618e-01,-0.180283
52,6.602628206357618e-01,-0.180283
53,6.592283521454433e-01,-0.180964
54,6.592283521454431e-01,-0.180964
55,6.586975352395413e-01,-0.181314
56,6.586975352395408e-01,-0.181314
57,6.576102324496995e-01,-0.182031
58,6.576102324496995e-01,-0.182031
59,6.570543608406180e-01,-0.182399
60,6.570543608406175e-01,-0.182399
61,6.559197509651092e-01,-0.183149
62,6.559197509651090e-01,-0.183149
63,6.553416570141646e-01,-0.183532
64,6.553416570141644e-01,-0.183532
65,6.541655377190856e-01,-0.184312
66,6.541655377190856e-01,-0.184312
67,6.535681849721000e-01,-0.184709
68,6.535681849720996e-01,-0.184709
69,6.523566085559174e-01,-0.185515
70,6.523566085559172e-01,-0.185515
71,6.517430841519827e-01,-0.185924
72,6.517430841519827e-01,-0.185924
73,6.505023430264243e-01,-0.186751
74,6.505023430264241e-01,-0.186751
75,6.498758507741645e-01,-0.187170
76,6.498758507741643e-01,-0.187170
77,6.486124642811536e-01,-0.188015
78,6.486124642811534e-01,-0.188015
79,6.479763183887693e-01,-0.188441
80,6.479763183887691e-01,-0.188441
81,6.466970208555460e-01,-0.189299
82,6.466970208555457e-01,-0.189299
83,6.460546402272017e-01,-0.189731
84,6.460546402272014e-01,-0.189731
85,6.447663699989650e-01,-0.190598
86,6.447663699989644e-01,-0.190598
87,6.441212729206062e-01,-0.191032
88,6.441212729206058e-01,-0.191032
89,6.428311619141110e-01,-0.191903
90,6.428311619141106e-01,-0.191903
91,6.421869608451134e-01,-0.192339
92,6.421869608451131e-01,-0.192339
93,6.409023239353648e-01,-0.193208
94,6.409023239353644e-01,-0.193208
95,6.402627199977766e-01,-0.193642
96,6.402627199977762e-01,-0.193642
97,6.389910432832281e-01,-0.194505
98,6.389910432832279e-01,-0.194505
99,6.383598198987344e-01,-0.194934
100,6.383598198987341e-01,-0.194934
101,6.371087465924856e-01,-0.195786
102,6.371087465924852e-01,-0.195786
103,6.364897615621555e-01,-0.196209
104,6.364897615621553e-01,-0.196209
105,6.352670739387404e-01,-0.197044
106,6.352670739387403e-01,-0.197044
107,6.346642491001194e-01,-0.197456
108,6.346642491001193e-01,-0.197456
109,6.334778446108867e-01,-0.198269
110,6.334778446108866e-01,-0.198269
111,6.328951520547844e-01,-0.198668
112,6.328951520547844e-01,-0.198668
113,6.317530114447266e-01,-0.199453
114,6.317530114447263e-01,-0.199453
115,6.311944551518737e-01,-0.199837
116,6.311944551518736e-01,-0.199837
117,6.301046002190432e-01,-0.200587
118,6.301046002190430e-01,-0.200587
119,6.295741919150766e-01,-0.200953
120,6.295741919150764e-01,-0.200953
121,6.285446305206447e-01,-0.201664
122,6.285446305206446e-01,-0.201664
123,6.280463585861098e-01,-0.202008
124,6.280463585861094e-01,-0.202008
125,6.270850147344783e-01,-0.202674
126,6.270850147344781e-01,-0.202674
127,6.266228051900790e-01,-0.202994
128,6.266228051900785e-01,-0.202994
129,6.257374325466122e-01,-0.203608
130,6.257374325466116e-01,-0.203608
131,6.253151015077784e-01,-0.203901
132,6.253151015077781e-01,-0.203901
133,6.245131796877129e-01,-0.204458
134,6.245131796877127e-01,-0.204458
135,6.241343772797002e-01,-0.204722
136,6.241343772797001e-01,-0.204722
137,6.234229916678717e-01,-0.205217
138,6.234229916678715e-01,-0.205217
139,6.230911382183861e-01,-0.205448
140,6.230911382183857e-01,-0.205448
141,6.224768459346353e-01,-0.205877
142,6.224768459346350e-01,-0.205877
143,6.221950622753587e-01,-0.206073
144,6.221950622753584e-01,-0.206073
145,6.216837490477052e-01,-0.206430
146,6.216837490477051e-01,-0.206430
147,6.214547838597774e-01,-0.206590
148,6.214547838597774e-01,-0.206590
149,6.210515187451370e-01,-0.206872
150,6.210515187451368e-01,-0.206872
151,6.208776769158522e-01,-0.206994
152,6.208776769158518e-01,-0.206994
153,6.205865736442697e-01,-0.207198
154,6.205865736442696e-01,-0.207198
155,6.204696503582110e-01,-0.207279
