residue,modulus,energy_fraction,signed_sum
1,3,5.0000000000e-01,-1.1934897515e-15
2,3,5.0000000000e-01,+4.7444687068e-16
1,9,1.6666666667e-01,-1.9428902931e-16
2,9,1.6666666667e-01,+1.7347234760e-16
4,9,1.6666666667e-01,-5.5511151231e-16
5,9,1.6666666667e-01,+1.5265566589e-16
7,9,1.6666666667e-01,-6.4531713306e-16
8,9,1.6666666667e-01,+1.1362438768e-16
1,27,5.5555555556e-02,+1.5265566589e-16
2,27,5.5555555556e-02,+1.5959455979e-16
4,27,5.5555555556e-02,-2.7755575616e-16
5,27,5.5555555556e-02,+5.5511151231e-17
7,27,5.5555555556e-02,-3.5388358910e-16
8,27,5.5555555556e-02,+9.7144514655e-17
10,27,5.5555555556e-02,-5.5511151231e-17
11,27,5.5555555556e-02,-9.7144514655e-17
13,27,5.5555555556e-02,+6.9388939039e-18
14,27,5.5555555556e-02,+2.3592239273e-16
16,27,5.5555555556e-02,-1.3877787808e-16
17,27,5.5555555556e-02,-1.3877787808e-17
19,27,5.5555555556e-02,-2.4980018054e-16
20,27,5.5555555556e-02,+2.0816681712e-17
22,27,5.5555555556e-02,-1.9428902931e-16
23,27,5.5555555556e-02,-1.1102230246e-16
25,27,5.5555555556e-02,-1.3877787808e-16
26,27,5.5555555556e-02,+8.5868812061e-17
