residue,modulus,energy_fraction,signed_sum
1,3,5.0000000000e-01,-8.8817841970e-16
2,3,5.0000000000e-01,+1.1657341759e-15
1,9,1.6666666667e-01,+1.3877787808e-17
2,9,1.6666666667e-01,+6.6613381478e-16
4,9,1.6666666667e-01,+5.5511151231e-17
5,9,1.6666666667e-01,+1.9081958236e-16
7,9,1.6666666667e-01,-8.9511731360e-16
8,9,1.6666666667e-01,+1.0093922226e-16
1,27,5.5555555556e-02,+6.2450045135e-17
2,27,5.5555555556e-02,-1.5959455979e-16
4,27,5.5555555556e-02,-1.6306400674e-16
5,27,5.5555555556e-02,-4.4408920985e-16
7,27,5.5555555556e-02,-7.3899220077e-16
8,27,5.5555555556e-02,+1.1102230246e-16
10,27,5.5555555556e-02,-1.3183898417e-16
11,27,5.5555555556e-02,+4.0245584643e-16
13,27,5.5555555556e-02,-1.6653345369e-16
14,27,5.5555555556e-02,+7.4940054162e-16
16,27,5.5555555556e-02,+1.3346528743e-16
17,27,5.5555555556e-02,+7.6327832943e-17
19,27,5.5555555556e-02,+6.9388939039e-17
20,27,5.5555555556e-02,+4.5102810375e-16
22,27,5.5555555556e-02,+9.7144514655e-17
23,27,5.5555555556e-02,-8.6736173799e-17
25,27,5.5555555556e-02,-1.9428902931e-16
26,27,5.5555555556e-02,-1.7021974108e-17
