k,B,n_smooth,n_rough,n_total,X_k,X_smooth,X_rough,count_share_smooth,mass_share_smooth,mass_ratio_smooth
5,7,14,148,162,3.5341611514e+00,2.1955930994e-01,3.3146018414e+00,0.086420,0.062125,0.718874
5,50,63,99,162,3.5341611514e+00,8.2265101287e-01,2.7115101385e+00,0.388889,0.232771,0.598555
5,100,75,87,162,3.5341611514e+00,8.4717425335e-01,2.6869868980e+00,0.462963,0.239710,0.517774
5,1000,111,51,162,3.5341611514e+00,1.2462448267e+00,2.2879163247e+00,0.685185,0.352628,0.514647
5,10000,162,0,162,3.5341611514e+00,3.5341611514e+00,0.0000000000e+00,1.000000,1.000000,1.000000
6,7,18,468,486,4.0003299124e+00,4.9647517469e-02,3.9506823949e+00,0.037037,0.012411,0.335093
6,50,95,391,486,4.0003299124e+00,2.6679364915e-01,3.7335362632e+00,0.195473,0.066693,0.341187
6,100,122,364,486,4.0003299124e+00,3.2913306227e-01,3.6711968501e+00,0.251029,0.082276,0.327757
6,1000,280,206,486,4.0003299124e+00,8.7443209154e-01,3.1258978208e+00,0.576132,0.218590,0.379410
6,10000,483,3,486,4.0003299124e+00,3.9997429427e+00,5.8696962384e-04,0.993827,0.999853,1.006064
7,7,21,1437,1458,4.4658213422e+00,1.5154760827e-02,4.4506665814e+00,0.014403,0.003393,0.235606
7,50,130,1328,1458,4.4658213422e+00,3.6658766095e-01,4.0992336813e+00,0.089163,0.082087,0.920642
7,100,177,1281,1458,4.4658213422e+00,4.0707425244e-01,4.0587470898e+00,0.121399,0.091153,0.750856
7,1000,579,879,1458,4.4658213422e+00,1.1375933664e+00,3.3282279758e+00,0.397119,0.254733,0.641453
7,10000,1394,64,1458,4.4658213422e+00,4.3943688727e+00,7.1452469457e-02,0.956104,0.984000,1.029177
