y_idx,n_pre_struct,n_pre_weighted,max_weight,col_entropy,col_sum
237,486,486,1.250000e-01,1.680777,4.761905e-01
238,486,486,6.250000e-02,1.680777,2.380952e-01
239,486,486,5.000000e-01,1.404093,1.619048e+00
240,486,486,2.500000e-01,1.680777,9.523810e-01
241,486,486,5.000000e-01,1.680777,1.904762e+00
242,486,486,2.500000e-01,1.404093,8.095238e-01
243,486,486,1.250000e-01,1.680777,4.761905e-01
244,486,486,6.250000e-02,1.680777,2.380952e-01
245,486,486,5.000000e-01,1.404093,1.619048e+00
246,486,486,2.500000e-01,1.680777,9.523810e-01
247,486,486,5.000000e-01,1.680777,1.904762e+00
248,486,486,2.500000e-01,1.404093,8.095238e-01
249,486,486,1.250000e-01,1.680777,4.761905e-01
250,486,486,6.250000e-02,1.680777,2.380952e-01
251,486,486,5.000000e-01,1.404093,1.619048e+00
252,486,486,2.500000e-01,1.680777,9.523810e-01
253,486,486,5.000000e-01,1.680777,1.904762e+00
254,486,486,2.500000e-01,1.404093,8.095238e-01
255,486,486,1.250000e-01,1.680777,4.761905e-01
256,486,486,6.250000e-02,1.680777,2.380952e-01
257,486,486,5.000000e-01,1.404093,1.619048e+00
258,486,486,2.500000e-01,1.680777,9.523810e-01
259,486,486,5.000000e-01,1.680777,1.904762e+00
260,486,486,2.500000e-01,1.404093,8.095238e-01
261,486,486,1.250000e-01,1.680777,4.761905e-01
262,486,486,6.250000e-02,1.680777,2.380952e-01
263,486,486,5.000000e-01,1.404093,1.619048e+00
264,486,486,2.500000e-01,1.680777,9.523810e-01
265,486,486,5.000000e-01,1.680777,1.904762e+00
266,486,486,2.500000e-01,1.404093,8.095238e-01
267,486,486,1.250000e-01,1.680777,4.761905e-01
268,486,486,6.250000e-02,1.680777,2.380952e-01
269,486,486,5.000000e-01,1.404093,1.619048e+00
270,486,486,2.500000e-01,1.680777,9.523810e-01
271,486,486,5.000000e-01,1.680777,1.904762e+00
272,486,486,2.500000e-01,1.404093,8.095238e-01
273,486,486,1.250000e-01,1.680777,4.761905e-01
274,486,486,6.250000e-02,1.680777,2.380952e-01
275,486,486,5.000000e-01,1.404093,1.619048e+00
276,486,486,2.500000e-01,1.680777,9.523810e-01
277,486,486,5.000000e-01,1.680777,1.904762e+00
278,486,486,2.500000e-01,1.404093,8.095238e-01
279,486,486,1.250000e-01,1.680777,4.761905e-01
280,486,486,6.250000e-02,1.680777,2.380952e-01
281,486,486,5.000000e-01,1.404093,1.619048e+00
282,486,486,2.500000e-01,1.680777,9.523810e-01
283,486,486,5.000000e-01,1.680777,1.904762e+00
284,486,486,2.500000e-01,1.404093,8.095238e-01
285,486,486,1.250000e-01,1.680777,4.761905e-01
286,486,486,6.250000e-02,1.680777,2.380952e-01
287,486,486,5.000000e-01,1.404093,1.619048e+00
288,486,486,2.500000e-01,1.680777,9.523810e-01
289,486,486,5.000000e-01,1.680777,1.904762e+00
290,486,486,2.500000e-01,1.404093,8.095238e-01
291,486,486,1.250000e-01,1.680777,4.761905e-01
292,486,486,6.250000e-02,1.680777,2.380952e-01
293,486,486,5.000000e-01,1.404093,1.619048e+00
294,486,486,2.500000e-01,1.680777,9.523810e-01
295,486,486,5.000000e-01,1.680777,1.904762e+00
296,486,486,2.500000e-01,1.404093,8.095238e-01
297,486,486,1.250000e-01,1.680777,4.761905e-01
298,486,486,6.250000e-02,1.680777,2.380952e-01
299,486,486,5.000000e-01,1.404093,1.619048e+00
300,486,486,2.500000e-01,1.680777,9.523810e-01
301,486,486,5.000000e-01,1.680777,1.904762e+00
302,486,486,2.500000e-01,1.404093,8.095238e-01
303,486,486,1.250000e-01,1.680777,4.761905e-01
304,486,486,6.250000e-02,1.680777,2.380952e-01
305,486,486,5.000000e-01,1.404093,1.619048e+00
306,486,486,2.500000e-01,1.680777,9.523810e-01
307,486,486,5.000000e-01,1.680777,1.904762e+00
308,486,486,2.500000e-01,1.404093,8.095238e-01
309,486,486,1.250000e-01,1.680777,4.761905e-01
310,486,486,6.250000e-02,1.680777,2.380952e-01
311,486,486,5.000000e-01,1.404093,1.619048e+00
312,486,486,2.500000e-01,1.680777,9.523810e-01
313,486,486,5.000000e-01,1.680777,1.904762e+00
314,486,486,2.500000e-01,1.404093,8.095238e-01
315,486,486,1.250000e-01,1.680777,4.761905e-01
316,486,486,6.250000e-02,1.680777,2.380952e-01
317,486,486,5.000000e-01,1.404093,1.619048e+00
318,486,486,2.500000e-01,1.680777,9.523810e-01
319,486,486,5.000000e-01,1.680777,1.904762e+00
320,486,486,2.500000e-01,1.404093,8.095238e-01
321,486,486,1.250000e-01,1.680777,4.761905e-01
322,486,486,6.250000e-02,1.680777,2.380952e-01
323,486,486,5.000000e-01,1.404093,1.619048e+00
324,486,486,2.500000e-01,1.680777,9.523810e-01
325,486,486,5.000000e-01,1.680777,1.904762e+00
326,486,486,2.500000e-01,1.404093,8.095238e-01
327,486,486,1.250000e-01,1.680777,4.761905e-01
328,486,486,6.250000e-02,1.680777,2.380952e-01
329,486,486,5.000000e-01,1.404093,1.619048e+00
330,486,486,2.500000e-01,1.680777,9.523810e-01
331,486,486,5.000000e-01,1.680777,1.904762e+00
332,486,486,2.500000e-01,1.404093,8.095238e-01
333,486,486,1.250000e-01,1.680777,4.761905e-01
334,486,486,6.250000e-02,1.680777,2.380952e-01
335,486,486,5.000000e-01,1.404093,1.619048e+00
336,486,486,2.500000e-01,1.680777,9.523810e-01
337,486,486,5.000000e-01,1.680777,1.904762e+00
