y_idx,y,n_preimage_strict,n_preimage_eff,max_K,entropy,total_mass,entropy_over_log_npre
796,1195,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
797,1196,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
798,1198,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
799,1199,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
800,1201,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
801,1202,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
802,1204,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
803,1205,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
804,1207,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
805,1208,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
806,1210,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
807,1211,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
808,1213,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
809,1214,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
810,1216,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
811,1217,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
812,1219,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
813,1220,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
814,1222,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
815,1223,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
816,1225,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
817,1226,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
818,1228,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
819,1229,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
820,1231,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
821,1232,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
822,1234,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
823,1235,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
824,1237,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
825,1238,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
826,1240,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
827,1241,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
828,1243,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
829,1244,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
830,1246,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
831,1247,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
832,1249,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
833,1250,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
834,1252,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
835,1253,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
836,1255,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
