v,count,P_emp,P_geom,ratio
1,42467328,2.500000e-01,5.000000e-01,0.500000
2,21233664,1.250000e-01,2.500000e-01,0.500000
3,10616832,6.250000e-02,1.250000e-01,0.500000
4,5308416,3.125000e-02,6.250000e-02,0.500000
5,2654208,1.562500e-02,3.125000e-02,0.500000
6,1327104,7.812500e-03,1.562500e-02,0.500000
7,663552,3.906250e-03,7.812500e-03,0.500000
8,331776,1.953125e-03,3.906250e-03,0.500000
9,165888,9.765625e-04,1.953125e-03,0.500000
10,82944,4.882812e-04,9.765625e-04,0.500000
11,41472,2.441406e-04,4.882812e-04,0.500000
12,20736,1.220703e-04,2.441406e-04,0.500000
13,10368,6.103516e-05,1.220703e-04,0.500000
14,5184,3.051758e-05,6.103516e-05,0.500000
15,2592,1.525879e-05,3.051758e-05,0.500000
16,1296,7.629395e-06,1.525879e-05,0.500000
17,648,3.814697e-06,7.629395e-06,0.500000
18,324,1.907349e-06,3.814697e-06,0.500000
19,162,9.536743e-07,1.907349e-06,0.500000
20,81,4.768372e-07,9.536743e-07,0.500000
