phase,p,r,q,period,N,J,supp_size,bijection_ok,max_mag_dev,mag_ok,max_saddle_diff,saddle_ok_r3,r2_uniform_factor,r2_avg_re,r2_avg_im,S_partial_abs,ratio_S_over_sqrtN,bound_2sqrtN,bound_HenselLog,sqrtN
baseline,3,2,27,9,3,3,3,True,3.552714e-15,True,7.384123e-01,,True,0.727374,0.686242,7.914467,4.569420,3.464102,7.269806,1.732051
baseline,3,3,81,27,9,3,9,True,2.486900e-14,True,7.755074e-02,False,,,,73.079987,24.359996,6.000000,19.183347,3.000000
baseline,5,2,125,25,5,2,5,True,3.552714e-15,True,1.999368e+00,,True,-0.998737,-0.050244,34.941642,15.626377,4.472136,11.669761,2.236068
baseline,5,3,625,125,25,3,25,True,6.288303e-13,True,1.005305e-02,False,,,,359.325747,71.865149,10.000000,42.188758,5.000000
baseline,7,2,343,49,7,2,7,True,4.973799e-14,True,1.427107e+00,,True,-0.018317,0.999832,96.948181,36.642968,5.291503,15.588291,2.645751
baseline,7,3,2401,343,49,3,49,True,2.437162e-12,True,2.616903e-03,False,,,,3276.782752,468.111822,14.000000,68.485484,7.000000
baseline,11,2,1331,121,11,2,11,True,4.476419e-13,True,1.410872e+00,,True,0.004721,-0.999989,346.771201,104.555451,6.633250,22.539087,3.316625
baseline,11,3,14641,1331,121,3,121,True,1.283240e-11,True,4.291500e-04,False,,,,13857.788458,1259.798951,22.000000,127.507392,11.000000
check5,13,2,2197,169,13,2,13,True,4.476419e-13,True,1.999998e+00,,True,-0.999996,-0.002860,544.261624,150.951015,7.211103,25.707215,3.605551
check5,13,3,28561,2197,169,3,169,True,4.834533e-11,True,2.199918e-04,False,,,,26811.167469,2062.397498,26.000000,159.377367,13.000000
check5,17,2,4913,289,17,2,17,True,1.364242e-12,True,1.278890e-03,,True,0.999999,0.001279,1105.859356,268.210290,8.246211,31.609487,4.123106
check5,17,3,83521,4913,289,3,289,True,1.741114e-10,True,7.522881e-05,False,,,,91459.599121,5379.976419,34.000000,226.658507,17.000000
check5,19,2,6859,361,19,2,19,True,2.202682e-12,True,1.413566e+00,,True,0.000916,-1.000000,1477.677376,339.002440,8.717798,34.386822,4.358899
check5,19,3,130321,6859,361,3,361,True,2.559091e-10,True,4.821315e-05,False,,,,120648.118068,6349.900951,38.000000,261.777362,19.000000
check5,23,2,12167,529,23,2,23,True,5.854872e-12,True,1.414579e+00,,True,-0.000516,1.000000,2420.995610,504.812481,9.591663,39.666267,4.795832
check5,23,3,279841,12167,529,3,529,True,6.320988e-10,True,2.245270e-05,False,,,,302246.506232,13141.152445,46.000000,334.465468,23.000000
check5,29,2,24389,841,29,2,29,True,9.379164e-12,True,2.000000e+00,,True,-1.000000,-0.000258,4383.155876,813.931613,10.770330,47.037216,5.385165
check5,29,3,707281,24389,841,3,841,True,1.385160e-09,True,8.883582e-06,False,,,,657373.947888,22668.067169,58.000000,448.606316,29.000000
check5,31,2,29791,961,31,2,31,True,9.976020e-12,True,1.414363e+00,,True,-0.000211,1.000000,5195.012812,933.051845,11.135529,49.374792,5.567764
check5,31,3,923521,29791,961,3,961,True,3.072500e-09,True,6.803517e-06,False,,,,957285.094174,30880.164328,62.000000,487.814413,31.000000
check3,3,4,243,81,27,4,27,True,2.611245e-13,True,1.395812e+00,,,,,209.796153,40.375289,10.392305,44.643646,5.196152
check3,3,5,729,243,81,6,81,True,1.264766e-12,True,1.971094e+00,,,,,2107.205493,234.133944,18.000000,97.100085,9.000000
check3,3,6,2187,729,243,6,243,True,1.176659e-11,True,1.979298e+00,,,,,14102.607306,904.682680,31.176915,202.433622,15.588457
check3,5,4,3125,625,125,5,125,True,8.327561e-12,True,1.999999e+00,,,,,8596.031296,768.852413,22.360680,130.325057,11.180340
check3,5,5,15625,3125,625,5,625,True,9.838175e-11,True,1.996079e+00,,,,,104527.184502,4181.087380,50.000000,371.887582,25.000000
check3,5,6,78125,15625,3125,6,3125,True,1.165631e-09,True,2.000000e+00,,,,,950584.579290,17004.573901,111.803399,1011.506543,55.901699
check3,7,4,16807,2401,343,4,343,True,9.285372e-11,True,1.693249e+00,,,,,49655.863895,2681.164633,37.040518,253.273080,18.520259
check3,7,5,117649,16807,2401,5,2401,True,1.153182e-09,True,1.998974e+00,,,,,757470.259078,15458.576716,98.000000,860.796778,49.000000
check3,7,6,823543,117649,16807,7,16807,True,3.081971e-08,True,1.999869e+00,,,,,16219202.306293,125107.801068,259.283628,2781.996849,129.641814
