k,df,N_eff,chi2,chi2_per_df,z_score
15,795,9999712,838.8619008383698,1.0551722023124148,1.09999037879011
16,795,9999509,795.5737801592553,1.0007217360493776,0.014389541781312189
17,795,9999224,843.1203695956536,1.0605287667869858,1.2067863582587595
18,795,9998817,935.1116871342518,1.1762411158921406,3.5137899830575416
19,795,9998214,1155.4921295750078,1.4534492195912048,9.040599394524644
20,795,9997469,1453.0892996963566,1.8277852826369265,16.503887980556062
22,795,9994963,2439.116475104948,3.0680710378678593,41.231963723826794
25,795,9987659,7709.638745794217,9.697658799741154,173.4087202743683
30,795,9959189,40833.595354705605,51.36301302478692,1004.1076384888255
