r,N_r,ell,t_label,t_val,eta,band_size,sum_l1,metric,metric_log_eta,metric_div_sqrt_Nr,elapsed_s
6,486,1,π,3.141592653589793,0.25,99,1948.098394643197,88.3675376964979,-3.232722289913554,4.008432910788471,
6,486,2,π,3.141592653589793,0.25,99,1991.8434436919076,90.35185341765279,-3.248741145382259,4.098443299777588,
6,486,0,π,3.141592653589793,0.125,61,1240.8230337334994,56.28487580998726,-1.9382251352441897,2.55313381426646,
6,486,1,π,3.141592653589793,0.125,61,1168.5596662006456,53.00694289238177,-1.9093698107688455,2.404443757614497,
6,486,2,π,3.141592653589793,0.125,61,1210.034125248775,54.88826255952759,-1.9261419225530079,2.489782150717644,
6,486,0,π,3.141592653589793,0.0625,41,746.4506141189233,33.85968745886124,-1.2703741878539743,1.5359066134134225,
6,486,1,π,3.141592653589793,0.0625,41,858.6519661761474,38.94924414387188,-1.3208808565607877,1.7667735929550359,
6,486,2,π,3.141592653589793,0.0625,41,838.7858522363696,38.04809891564137,-1.3124381164346313,1.7258968153011722,
8,4374,0,0,0.0,0.5,1835,109655.39268374455,1658.0232075289744,-10.695248485194568,25.069820000856097,
8,4374,1,0,0.0,0.5,1835,108649.39466583976,1642.81220860232,-10.681951858557834,24.839825026483712,
8,4374,2,0,0.0,0.5,1835,110534.7097178029,1671.3187510819403,-10.70677119265753,25.270852701829657,
8,4374,0,0,0.0,0.25,883,53225.77869394531,804.7901170522621,-4.826234389253791,12.168673684029564,
8,4374,1,0,0.0,0.25,883,52337.601333524,791.3606026440879,-4.814095716634908,11.965615302588937,
8,4374,2,0,0.0,0.25,883,52803.734511682196,798.4086794259979,-4.820491796968926,12.072184387673115,
8,4374,0,0,0.0,0.125,549,33527.62009651866,506.9479106565037,-2.9952312354782817,7.665208069620179,
8,4374,1,0,0.0,0.125,549,32625.756941992066,493.3114628391768,-2.9821183335671635,7.459020791493386,
8,4374,2,0,0.0,0.125,549,32496.017767976653,491.34976669110324,-2.9802021868668063,7.429359343387439,
8,4374,0,0,0.0,0.0625,367,22450.21976993884,339.45421635613155,-2.101768298726787,5.13265198215337,
8,4374,1,0,0.0,0.0625,367,22032.611734589475,333.1398546333408,-2.094996037134376,5.0371768940533785,
8,4374,2,0,0.0,0.0625,367,21371.53346102984,323.14414815024736,-2.0840085139295255,4.886038742805177,
8,4374,0,π/2,1.5707963267948966,0.5,1836,108525.30862208748,1640.9359895196426,-10.680303247216502,24.81145601785265,
8,4374,1,π/2,1.5707963267948966,0.5,1836,108874.42246174252,1646.2146979721035,-10.684936787797389,24.891271710503553,
8,4374,2,π/2,1.5707963267948966,0.5,1836,111063.53778555464,1679.3147938452348,-10.713656978874232,25.391755323629322,
8,4374,0,π/2,1.5707963267948966,0.25,882,52460.28588309589,793.2156307044231,-4.815784648318734,11.993663896455395,
8,4374,1,π/2,1.5707963267948966,0.25,882,51919.55348815641,785.0395908587759,-4.808310801568049,11.870039663501695,
8,4374,2,π/2,1.5707963267948966,0.25,882,53264.17759171661,805.3707201771076,-4.826754606405939,12.177452581553867,
8,4374,0,π/2,1.5707963267948966,0.125,548,32401.896548189976,489.9266249476112,-2.9788072954832803,7.407841003244165,
8,4374,1,π/2,1.5707963267948966,0.125,548,31944.444465741908,483.00980899840533,-2.9719695591631052,7.303256622254666,
8,4374,2,π/2,1.5707963267948966,0.125,548,33335.378926826015,504.0411651422891,-2.992465917834249,7.621257184916785,
8,4374,0,π/2,1.5707963267948966,0.0625,366,21482.523130652393,324.82234603478645,-2.0858767688477187,4.911413610117146,
8,4374,1,π/2,1.5707963267948966,0.0625,366,21730.517153332756,328.572091805324,-2.0900165339764687,4.968110917542925,
8,4374,2,π/2,1.5707963267948966,0.0625,366,22210.44153877683,335.82869587604495,-2.097895425165236,5.077832999263108,
8,4374,0,π,3.141592653589793,0.5,1835,109348.03694246916,1653.3758943460139,-10.691199042721395,24.999551198552624,
8,4374,1,π,3.141592653589793,0.5,1835,110876.63787497672,1676.488809808891,-10.711227138156387,25.349025577269487,
8,4374,2,π,3.141592653589793,0.5,1835,108340.61145925184,1638.1433117055249,-10.677845860226292,24.76922987179969,
8,4374,0,π,3.141592653589793,0.25,883,52336.285065661476,791.3407002698409,-4.814077574831033,11.965314372579215,
8,4374,1,π,3.141592653589793,0.25,883,53621.32403520978,810.770884066046,-4.831575235140931,12.25910471769771,
8,4374,2,π,3.141592653589793,0.25,883,52570.72032431053,794.8854333649494,-4.817301564943161,12.018911825402501,
8,4374,0,π,3.141592653589793,0.125,549,32340.5842854271,488.9995647084477,-2.9778964569041575,7.393823567770257,
8,4374,1,π,3.141592653589793,0.125,549,33407.195443386125,505.1270529242422,-2.9935008331863564,7.637676141606339,
8,4374,2,π,3.141592653589793,0.125,549,32982.61473251709,498.70726220660464,-2.9873498005156307,7.540606934731846,
8,4374,0,π,3.141592653589793,0.0625,367,21684.60770366161,327.8779268296062,-2.089253742664959,4.957614929963789,
8,4374,1,π,3.141592653589793,0.0625,367,22138.347662452426,334.7386143292912,-2.0967227937209056,5.061350631562055,
8,4374,2,π,3.141592653589793,0.0625,367,22332.875442776767,337.6799340983705,-2.0998781606566426,5.105824289615174,
10,39366,0,0,0.0,0.5,16517,2944528.6502326294,14840.725773818975,-13.857274027079997,74.79877686919242,
10,39366,1,0,0.0,0.5,16517,2964629.7591201686,14942.037419988923,-13.867089259624791,75.30939793527837,
10,39366,2,0,0.0,0.5,16517,2954127.546481923,14889.10519337594,-13.861969432873787,75.04261409546113,
10,39366,0,0,0.0,0.25,7947,1420623.4354129555,7160.087517286904,-6.40288075311381,36.08757393214844,
10,39366,1,0,0.0,0.25,7947,1427309.330391549,7193.785112289765,-6.406267674801623,36.25741325995907,
10,39366,2,0,0.0,0.25,7947,1423357.105323115,7173.865493429065,-6.404267490182133,36.15701634210016,
10,39366,0,0,0.0,0.125,4935,882402.7771288711,4447.400311894157,-4.039582184209441,22.415352769620256,
10,39366,1,0,0.0,0.125,4935,886267.142245871,4466.877107607039,-4.041683616176622,22.5135178134906,
10,39366,2,0,0.0,0.125,4935,887106.11528436,4471.1056175910935,-4.042138636884466,22.534829936604176,
10,39366,0,0,0.0,0.0625,3299,589349.649848957,2970.3825560038636,-2.884108258139854,14.971032105089593,
10,39366,1,0,0.0,0.0625,3299,592960.0147521796,2988.5791646420284,-2.886311010890515,15.062744875074419,
10,39366,2,0,0.0,0.0625,3299,593700.7066788796,2992.3123277634563,-2.886761262882914,15.081560399300908,
10,39366,0,π/2,1.5707963267948966,0.5,16516,2936594.40366753,14800.736359049584,-13.853381333452468,74.59722612578189,
10,39366,1,π/2,1.5707963267948966,0.5,16516,2960260.6151840915,14920.016487363071,-13.864961509393526,75.19841018097067,
10,39366,2,π/2,1.5707963267948966,0.5,16516,2952772.9008915387,14882.277640950522,-13.861307718484968,75.00820253242745,
10,39366,0,π/2,1.5707963267948966,0.25,7946,1409743.5330236722,7105.251695671612,-6.397335020454629,35.811195778683945,
10,39366,1,π/2,1.5707963267948966,0.25,7946,1420700.3083710806,7160.474964863909,-6.402919785707592,36.08952670759235,
10,39366,2,π/2,1.5707963267948966,0.25,7946,1420754.3137604692,7160.747157553956,-6.402947205926396,36.09089858660949,
10,39366,0,π/2,1.5707963267948966,0.125,4934,880763.1765084999,4439.1365569520585,-4.038687791422797,22.373702598905144,
10,39366,1,π/2,1.5707963267948966,0.125,4934,876836.0195501837,4419.343283932109,-4.036538761727473,22.273942477015286,
10,39366,2,π/2,1.5707963267948966,0.125,4934,882947.1460747106,4450.143987098116,-4.0398787669220795,22.42918117346722,
10,39366,0,π/2,1.5707963267948966,0.0625,3298,587988.3286331261,2963.521357742936,-2.883274184883795,14.936450963601231,
10,39366,1,π/2,1.5707963267948966,0.0625,3298,583036.1465096931,2938.5618529780318,-2.8802236375495953,14.810652504945717,
10,39366,2,π/2,1.5707963267948966,0.0625,3298,591452.6611017698,2980.981947964198,-2.885392980859803,15.024454125432346,
10,39366,0,π,3.141592653589793,0.5,16517,2963650.334418757,14937.101019248314,-13.866612557731422,75.28451797029814,
10,39366,1,π,3.141592653589793,0.5,16517,2942708.951429834,14831.554305604157,-13.856382175688923,74.75255173067708,
10,39366,2,π,3.141592653589793,0.5,16517,2954980.4518632134,14893.403923793707,-13.862385902626185,75.06428013674778,
10,39366,0,π,3.141592653589793,0.25,7947,1427410.9779098728,7194.297426185883,-6.406319044587391,36.25999537443156,
10,39366,1,π,3.141592653589793,0.25,7947,1418028.0009676237,7147.006262036067,-6.401561668495436,36.021643066799356,
10,39366,2,π,3.141592653589793,0.25,7947,1424461.08444626,7179.429661203531,-6.404826762291466,36.18506031718386,
10,39366,0,π,3.141592653589793,0.125,4935,888734.7945114868,4479.314327593421,-4.043020730954195,22.576202675188913,
10,39366,1,π,3.141592653589793,0.125,4935,884522.8197842038,4458.08554386638,-4.040736194881391,22.469207432408773,
10,39366,2,π,3.141592653589793,0.125,4935,882711.1054415507,4448.954318147898,-4.039750189887558,22.42318512019384,
10,39366,0,π,3.141592653589793,0.0625,3299,594561.7043701787,2996.651844251928,-2.8872839409148416,15.10343200655842,
10,39366,1,π,3.141592653589793,0.0625,3299,590583.3642654434,2976.60060293536,-2.884862484989114,15.00237169805018,
10,39366,2,π,3.141592653589793,0.0625,3299,589497.937333595,2971.129940103872,-2.8841989965958543,14.974798997449449,
12,354294,0,0,0.0,0.5,148651,79825550.45731373,134109.64818738753,-17.03305350654413,225.3087843918151,
12,354294,1,0,0.0,0.5,148651,79729377.30407065,133948.07400878667,-17.03131431177277,225.03733425931753,
12,354294,2,0,0.0,0.5,148651,79673484.35173762,133854.17194195976,-17.030302579767227,224.87957558337882,
12,354294,0,0,0.0,0.25,71521,38388553.28899182,64494.079232970435,-7.988439551024801,108.35225346461363,
12,354294,1,0,0.0,0.25,71521,38343889.80961858,64419.04306383343,-7.9875998046948835,108.22619014044432,
12,354294,2,0,0.0,0.25,71521,38385444.45213831,64488.85628099194,-7.988381131460288,108.34347872709759,
12,354294,0,0,0.0,0.125,44407,23866631.82618127,40096.75572909024,-5.097065963656769,67.36391761130945,
12,354294,1,0,0.0,0.125,44407,23793126.88677191,39973.26492310456,-5.095582597696164,67.15644884410098,
12,354294,2,0,0.0,0.125,44407,23822703.91400239,40022.9553379352,-5.096180026958381,67.23993043631106,
12,354294,0,0,0.0,0.0625,29685,15963489.86811101,26819.207606969212,-3.6777447479863272,45.0571837742412,
12,354294,1,0,0.0,0.0625,29685,15926487.47705059,26757.042327572122,-3.6769077578959424,44.95274398395284,
12,354294,2,0,0.0,0.0625,29685,15901843.5713714,26715.639725251625,-3.6763492358741265,44.88318619951623,
12,354294,0,π/2,1.5707963267948966,0.5,148650,79576320.19265515,133690.93283973847,-17.02854209700549,224.60532832239653,
12,354294,1,π/2,1.5707963267948966,0.5,148650,79805447.49596924,134075.87452647332,-17.032690137985842,225.25204348921864,
12,354294,2,π/2,1.5707963267948966,0.5,148650,79805322.35439996,134075.6642843675,-17.032687875718434,225.25169027530802,
12,354294,0,π/2,1.5707963267948966,0.25,71520,38269072.025248185,64293.3466335227,-7.986190914107578,108.01501584912019,
12,354294,1,π/2,1.5707963267948966,0.25,71520,38332047.89515941,64399.148243529824,-7.987376993316085,108.19276616357999,
12,354294,2,π/2,1.5707963267948966,0.25,71520,38499938.38448991,64681.20999354759,-7.9905295235788,108.66663952674871,
12,354294,0,π/2,1.5707963267948966,0.125,44408,23714016.6679271,39840.35705643125,-5.093980985568434,66.93315909365415,
12,354294,1,π/2,1.5707963267948966,0.125,44408,23821340.640189916,40020.664991419246,-5.096152506367751,67.23608257602419,
12,354294,2,π/2,1.5707963267948966,0.125,44408,23939667.620978266,40219.458356121286,-5.09853534408231,67.57006221098372,
12,354294,0,π/2,1.5707963267948966,0.0625,29686,15888634.74696102,26693.448449594936,-3.6760495186698336,44.84590409931024,
12,354294,1,π/2,1.5707963267948966,0.0625,29686,15896480.323081728,26706.629285146308,-3.6762275701566254,44.86804835272889,
12,354294,2,π/2,1.5707963267948966,0.0625,29686,15979388.235145692,26845.917405994212,-3.6781037716331473,45.102057147865025,
12,354294,0,π,3.141592653589793,0.5,148651,79662163.25316168,133835.15211010876,-17.030097567354172,224.84762161696696,
12,354294,1,π,3.141592653589793,0.5,148651,79757666.0108499,133995.60000130543,-17.031826102280178,225.11717954819977,
12,354294,2,π,3.141592653589793,0.5,148651,79845875.4515665,134143.79487116277,-17.033420795411327,225.36615198554452,
12,354294,0,π,3.141592653589793,0.25,71521,38346916.76544196,64424.12845288777,-7.98765674729795,108.23473376755453,
12,354294,1,π,3.141592653589793,0.25,71521,38424236.429432794,64554.028126317804,-7.989109750527377,108.4529696507217,
12,354294,2,π,3.141592653589793,0.25,71521,38373859.4131479,64469.3930202397,-7.988163390058462,108.31077978500313,
12,354294,0,π,3.141592653589793,0.125,44407,23787836.07569448,39964.37617998716,-5.095475649784508,67.14151545240529,
12,354294,1,π,3.141592653589793,0.125,44407,23873749.766161997,40108.71411110158,-5.097209364504509,67.38400810107424,
12,354294,2,π,3.141592653589793,0.125,44407,23837504.426060602,40047.82070314407,-5.096478705552523,67.28170509819698,
12,354294,0,π,3.141592653589793,0.0625,29685,15895109.204305671,26704.325758823885,-3.67619645962882,44.8641783499175,
12,354294,1,π,3.141592653589793,0.0625,29685,15959268.94743723,26812.11631623154,-3.6776493693037593,45.045270163867386,
12,354294,2,π,3.141592653589793,0.0625,29685,15951140.12863058,26798.459623304356,-3.6774656141095474,45.02232645382248,
14,3188646,0,0,0.0,0.5,1337859,2152527922.7884045,1205440.1161235888,-20.201128551813813,675.0601737503644,
14,3188646,1,0,0.0,0.5,1337859,2154015288.109456,1206273.057618259,-20.202125088735844,675.5266304599055,
14,3188646,2,0,0.0,0.5,1337859,2153047533.6991477,1205731.104142817,-20.20147677011603,675.223130350358,
14,3188646,0,0,0.0,0.25,643683,1036024278.103797,580185.3777982618,-9.573077205355405,324.91040965469256,
14,3188646,1,0,0.0,0.25,643683,1036505308.832803,580454.7604769687,-9.573412052521926,325.0612670182902,
14,3188646,2,0,0.0,0.25,643683,1036182065.765399,580273.7406831799,-9.573187059028047,324.9598938751429,
14,3188646,0,0,0.0,0.125,399667,643422834.6437116,360324.10464843357,-6.152978547195802,201.78559634519215,
14,3188646,1,0,0.0,0.125,399667,643696291.016055,360477.24332679523,-6.153182886820291,201.87135574662568,
14,3188646,2,0,0.0,0.125,399667,643402051.1464767,360312.46565362427,-6.152963013225989,201.77907837573588,
14,3188646,0,0,0.0,0.0625,267169,430242956.6934781,240940.94863406074,-4.469580019795849,134.92967130671704,
14,3188646,1,0,0.0,0.0625,267169,430298426.53662026,240972.0123770444,-4.469626517308514,134.94706735605652,
14,3188646,2,0,0.0,0.0625,267169,430024933.6084045,240818.8532269785,-4.469397204167185,134.86129649023582,
14,3188646,0,π/2,1.5707963267948966,0.5,1337858,2151606287.9132915,1204923.990112345,-20.20051070951659,674.7711373144875,
14,3188646,1,π/2,1.5707963267948966,0.5,1337858,2152835183.253085,1205612.1854780922,-20.20133447319071,675.1565345457241,
14,3188646,2,π/2,1.5707963267948966,0.5,1337858,2153403720.560473,1205930.5728358508,-20.20171542091656,675.3348350868904,
14,3188646,0,π/2,1.5707963267948966,0.25,643682,1035510204.6693218,579897.4908287181,-9.572719185145766,324.7491896777885,
14,3188646,1,π/2,1.5707963267948966,0.25,643682,1035396428.035012,579833.7746195938,-9.572639922766836,324.71350787607406,
14,3188646,2,π/2,1.5707963267948966,0.25,643682,1035444021.6657004,579860.427594032,-9.572673079881858,324.7284338448672,
14,3188646,0,π/2,1.5707963267948966,0.125,399668,642783423.5857439,359966.02718434716,-6.152500409658887,201.58506889311133,
14,3188646,1,π/2,1.5707963267948966,0.125,399668,643470148.6156107,360350.6010107695,-6.153013908661255,201.80043460942693,
14,3188646,2,π/2,1.5707963267948966,0.125,399668,642312158.1957238,359702.11320652755,-6.152147703198116,201.43727406420274,
14,3188646,0,π/2,1.5707963267948966,0.0625,267168,429637451.3321488,240601.85874568022,-4.4690720655976515,134.7397771129654,
14,3188646,1,π/2,1.5707963267948966,0.0625,267168,430090162.195763,240855.38197770342,-4.469451909031771,134.88175300606056,
14,3188646,2,π/2,1.5707963267948966,0.0625,267168,429442239.04864275,240492.53764688887,-4.468908150770345,134.67855605440135,
14,3188646,0,π,3.141592653589793,0.5,1337859,2153975158.481044,1206250.5845699788,-20.202098210860132,675.5140452972967,
14,3188646,1,π,3.141592653589793,0.5,1337859,2152328541.5927925,1205328.4603866076,-20.200994913786744,674.9976452678636,
14,3188646,2,π,3.141592653589793,0.5,1337859,2153551847.1106215,1206013.525388485,-20.201814656414143,675.3812894597335,
14,3188646,0,π,3.141592653589793,0.25,643683,1036535163.1267295,580471.4792210818,-9.57343282907809,325.07062970512544,
14,3188646,1,π,3.141592653589793,0.25,643683,1035859306.1051434,580092.9916028918,-9.572962331968377,324.8586723346346,
14,3188646,2,π,3.141592653589793,0.25,643683,1036290299.6147358,580334.3528696849,-9.57326240306662,324.99383738889037,
14,3188646,0,π,3.141592653589793,0.125,399667,643615728.516357,360432.1274107771,-6.153122695705169,201.84609032058026,
14,3188646,1,π,3.141592653589793,0.125,399667,643232085.097867,360217.2827334846,-6.1528359586267225,201.72577485800147,
14,3188646,2,π,3.141592653589793,0.125,399667,643539760.4042406,360389.5844040538,-6.153065930318399,201.82226575300004,
14,3188646,0,π,3.141592653589793,0.0625,267169,430235809.11732876,240936.94591013217,-4.469574027914891,134.92742973579655,
14,3188646,1,π,3.141592653589793,0.0625,267169,430057071.05309945,240836.85056148685,-4.469424157720369,134.871375202233,
14,3188646,2,π,3.141592653589793,0.0625,267169,430170369.0976827,240900.2987549217,-4.4695191642967576,134.90690691211339,
