r,N_r,ell,t_label,t_val,eta,band_size,sum_l1,metric,metric_log_eta,metric_div_sqrt_Nr,elapsed_s
6,486,0,0,0.0,0.5,203,4128.663978186829,187.28000122161166,-7.549053038747867,8.495193370754793,
6,486,1,0,0.0,0.5,203,4108.579498200721,186.36895070836894,-7.542017715055148,8.453867280248398,
6,486,2,0,0.0,0.5,203,3900.106139217837,176.91240710703323,-7.466891419510896,8.024909751477033,
6,486,0,0,0.0,0.25,99,2009.7357473251561,91.1634647921788,-3.255191926065508,4.135258739352174,
6,486,1,0,0.0,0.25,99,1952.1677421682305,88.55212704876438,-3.234227528125096,4.016806053844096,
6,486,2,0,0.0,0.25,99,1938.6405735108438,87.93852221774277,-3.229211691777594,3.9889723734791027,
6,486,0,0,0.0,0.125,61,1178.595711903854,53.462187170309775,-1.913482318399874,2.4250940574153375,
6,486,1,0,0.0,0.125,61,1247.2842726627575,56.577963559670394,-1.9407227816254764,2.5664285445735753,
6,486,2,0,0.0,0.125,61,1197.2220245567062,54.307093870106705,-1.9210229191415586,2.463419803614622,
6,486,0,0,0.0,0.0625,41,894.8983286972226,40.593412536623255,-1.3357934305016084,1.8413545857967544,
6,486,1,0,0.0,0.0625,41,787.6718142645594,35.72951906889732,-1.2897611474476234,1.6207238976637028,
6,486,2,0,0.0,0.0625,41,779.3554345650911,35.35228042499106,-1.2859328437585351,1.6036120052779654,
6,486,0,π/2,1.5707963267948966,0.5,204,3915.795620815862,177.62409644488412,-7.472683500423355,8.057192635423586,
6,486,1,π/2,1.5707963267948966,0.5,204,4127.736686568299,187.23793841960872,-7.548728975253504,8.493285363309258,
6,486,2,π/2,1.5707963267948966,0.5,204,4081.8642767620136,185.15712365484498,-7.532606245975134,8.39889768881073,
6,486,0,π/2,1.5707963267948966,0.25,98,1897.946415153144,86.0925977086987,-3.213908647044274,3.9052395373521485,
6,486,1,π/2,1.5707963267948966,0.25,98,1921.7857503791988,87.1739719144578,-3.222912769788609,3.9542916674469115,
6,486,2,π/2,1.5707963267948966,0.25,98,2030.0495119135242,92.08491586618842,-3.262446473662169,4.1770566088755645,
6,486,0,π/2,1.5707963267948966,0.125,60,1222.832514758732,55.46880929709766,-1.9312016171818973,2.5161162855117944,
6,486,1,π/2,1.5707963267948966,0.125,60,1110.421110373838,50.36972444501155,-1.8848283111431887,2.284817099534646,
6,486,2,π/2,1.5707963267948966,0.125,60,1210.5931483210506,54.91362036103719,-1.9263640412402474,2.490932403952779,
6,486,0,π/2,1.5707963267948966,0.0625,40,805.4184869202168,36.53452448812997,-1.2977971312707364,1.6572396850210223,
6,486,1,π/2,1.5707963267948966,0.0625,40,731.7088843069382,33.190989015058676,-1.263179928483712,1.5055738360225068,
6,486,2,π/2,1.5707963267948966,0.0625,40,799.5073821424469,36.266391330321376,-1.2951403231667435,1.645076917988574,
6,486,0,π,3.141592653589793,0.5,203,3970.4208605262256,180.10194763687684,-7.492669972522916,8.16959024799635,
6,486,1,π,3.141592653589793,0.5,203,3936.4422468569073,178.5606464210067,-7.480270344874202,8.099675405055367,
6,486,2,π,3.141592653589793,0.5,203,4177.207353900359,189.48197346032202,-7.565916792596164,8.595076859877281,
6,486,0,π,3.141592653589793,0.25,99,1923.0169407060976,87.22981984181247,-3.2233747524655976,3.9568249808767444,
