,1,2,4,5,7,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,31,32,34,35,37,38,40,41,43,44,46,47,49,50,52,53,55,56,58,59,61,62,64,65,67,68,70,71,73,74,76,77,79,80
1,3.8141650028e-06,-1.4402280840e-05,-1.7543246709e-06,-7.9565138013e-06,-4.5575013015e-06,-8.7576005515e-07,6.7548657710e-06,-5.3287619658e-07,3.0103217831e-05,3.6178364236e-07,6.7055484611e-06,1.9342229528e-05,-1.2378677086e-05,7.3441329088e-06,-4.0027140305e-06,1.7957663392e-06,1.4170423564e-05,3.3207680462e-05,1.7209269442e-06,-2.1319762064e-06,-5.9631698926e-06,-9.3044260609e-06,-6.7863932073e-06,2.0507384301e-06,-1.1473944565e-05,-4.8061819812e-06,-1.8067228813e-06,3.0737371647e-06,-3.0579831116e-07,-2.3237813848e-06,3.0300752960e-06,3.0834526867e-06,-4.8872471474e-06,2.7878140676e-06,-4.5742455448e-06,1.0131083636e-05,8.2197286739e-06,4.0609152522e-06,-3.4403256181e-06,-4.3707076641e-06,9.2361089472e-07,-2.0437104086e-09,-1.9990434098e-06,-9.1221571444e-06,8.6691254838e-06,1.6497750300e-07,2.0514789803e-06,3.1389370378e-06,3.5445758889e-06,1.1177176585e-05,-1.2733203357e-05,-4.8118082924e-06,-1.5184415637e-06,-5.2605902111e-05
3,2.0154792131e-06,4.3975112195e-06,-2.4414337883e-06,-1.5089144838e-05,-8.4050900110e-06,4.2427681586e-06,1.1393406989e-05,2.1153260011e-05,2.8490598598e-06,-2.5412948983e-06,-8.3810323762e-07,9.5359831072e-07,-4.6303459461e-06,1.7834927067e-05,-1.4554244161e-05,-8.5045928309e-06,1.3779523256e-06,-4.1338171668e-06,6.9264573653e-06,-1.0549827010e-05,-4.6537252507e-06,1.9293982309e-05,3.8129888826e-06,-5.4417647784e-06,9.8025176805e-06,1.6853001971e-06,-9.0358762572e-06,-1.6801628160e-06,-6.4246953849e-06,-1.4856255991e-05,-6.0752566951e-06,-3.5003665301e-06,3.6139487128e-06,8.1628675326e-07,-1.7330367466e-07,-1.6355097061e-05,-4.4951320790e-06,3.3070600154e-05,8.6373068275e-07,1.1514693683e-05,3.8000146300e-06,-6.3800345260e-06,1.0309687642e-05,-4.4004820301e-06,-1.6216182243e-07,-7.1374231675e-06,1.4447134899e-05,2.6080489016e-06,-8.4419485884e-06,-1.7978422796e-06,-2.3368271574e-06,7.7936946287e-06,1.6844755869e-06,-2.3225275885e-05
5,-1.4469361874e-05,-1.6569654344e-05,-9.8207375641e-07,4.8585675217e-06,-2.3718349344e-06,1.1367916914e-05,-1.8814543893e-05,-7.9612026422e-06,-1.2565361943e-05,-1.0677838436e-06,1.9688913438e-06,9.8217159543e-06,-2.3910047382e-06,-3.6193124519e-05,3.9671427934e-06,5.0640391428e-06,-8.8317843664e-07,6.5667486734e-06,2.4263125073e-05,-4.0607557022e-06,-8.6368538874e-06,3.2206346141e-06,2.5476938795e-06,2.8109897322e-06,-1.4512287662e-05,1.0068572524e-05,-2.7056128931e-05,4.7814560063e-06,-9.1485530697e-06,-1.4874183275e-06,-7.4339062168e-06,-2.2413743663e-05,1.6751987460e-05,3.0821402264e-06,-3.1399815880e-06,-1.0168850714e-05,-1.9453376691e-06,2.4514974903e-07,7.3983537797e-07,6.7097998020e-06,-8.2214816443e-07,4.4509446002e-06,5.2524331805e-06,1.7853566341e-05,-7.4294984959e-06,-6.6982513396e-08,3.6420687384e-06,2.1010602772e-05,4.4827368865e-06,3.6197312629e-05,1.0303976601e-05,-6.8428688486e-06,2.0160475132e-06,1.5388344328e-05
7,6.5507252301e-06,-4.1307074561e-06,2.1704747041e-06,-5.9477969996e-06,1.3526996305e-06,1.0698832540e-06,-1.8825631135e-05,-1.7320020364e-06,3.7267028453e-06,-5.1221240244e-06,2.6088588318e-06,9.4381866176e-06,1.1119963204e-05,1.1790619958e-05,5.6682906637e-06,5.1226798545e-06,-2.1074005415e-06,-3.1963441703e-05,-1.6640517928e-05,-1.1332738267e-06,-4.4583219817e-06,2.9440440888e-07,-1.9231759546e-06,7.0180794536e-06,1.9578016016e-06,-1.9511731172e-05,8.2662400832e-06,-2.0104675921e-06,9.4471536894e-06,-2.0497812350e-05,1.1281386586e-05,7.2910700982e-06,-7.5417163983e-06,-1.3605189021e-06,7.8982245796e-07,-1.4532495306e-06,3.4658439632e-06,1.5372777775e-06,1.3435125487e-06,-4.3063782713e-06,-2.8166635033e-06,-6.2906474181e-06,1.7505115461e-05,9.3980950396e-06,-1.3466608183e-05,-3.1092227918e-06,-1.7147458029e-06,-1.5571880324e-05,-3.5938607088e-06,-5.4745665849e-06,3.4517837224e-05,-3.7817003563e-06,5.2467035293e-06,2.6506734761e-05
9,-1.0717645904e-05,9.3280560656e-07,3.7365019873e-06,1.6007142941e-05,-6.1392979279e-07,-2.0597422269e-05,-2.3216092713e-05,-5.4433046387e-06,3.5355948871e-06,2.4453179991e-06,3.8595919019e-06,-1.3474896695e-07,1.7739956648e-06,1.0848229170e-07,1.3980625696e-05,-1.0530422526e-05,-1.8434890187e-06,3.9057288051e-05,-2.0106670621e-05,6.6557775212e-06,2.4434327187e-06,-4.3028644906e-06,-2.7496874899e-06,-4.1065615013e-06,-5.7234881047e-06,-6.7032044606e-06,2.7704666991e-05,-3.0942488888e-06,-8.2751506250e-06,-1.1370538194e-05,5.5755930451e-06,5.2999984100e-06,-6.2277859456e-06,-1.3388354678e-07,-5.3682730737e-07,5.6355874271e-06,2.2608946522e-06,-7.5949058190e-06,-7.5188354538e-06,2.3532285606e-06,3.4411495882e-06,1.3112586183e-05,3.1095216819e-06,-8.1163562133e-06,2.7767663954e-06,2.0378577176e-06,-7.4852049570e-06,-1.4160952142e-05,-2.3013190603e-06,-2.3346701369e-06,1.5422252694e-05,1.6646804629e-06,-3.0801218660e-06,1.4088991578e-05
11,-3.3176451635e-06,2.2632807777e-05,1.4365017573e-06,-1.3492860009e-05,-9.5139306828e-06,-6.6974208795e-06,6.4839102568e-06,1.0566960113e-06,-3.5644058229e-06,-4.7546827209e-06,3.0595918219e-06,1.3365252383e-05,6.7399555480e-07,3.6008485882e-05,-1.3619377064e-05,2.3695787639e-06,-8.1434896487e-06,-4.0542719909e-05,-1.8066687913e-06,-4.5442235988e-06,5.5434330287e-06,3.7971363194e-06,1.4503129301e-06,1.9934391087e-06,2.2765126953e-06,1.5196797729e-05,-4.1953361991e-06,4.2057518412e-06,4.7248506750e-06,6.5294635959e-06,-1.1244076249e-06,2.7800000660e-05,6.8722153644e-06,-3.8338839168e-06,3.5631731026e-06,9.8355878471e-06,5.6089448218e-07,-1.3694906429e-05,-1.1883471377e-07,-2.0467718794e-06,-5.5588513118e-06,-9.8874161175e-06,-4.4904790781e-06,8.5836454567e-06,-4.6232343446e-06,5.3785756757e-07,9.1479588296e-07,-1.4860952212e-05,-3.4013191703e-06,-3.4669906934e-08,-1.4677750316e-05,1.0646804029e-06,-2.0801217660e-06,2.0889903778e-06
13,-3.8090959618e-06,-1.9348916310e-05,-2.1932622487e-06,-1.1144819079e-05,8.1728683946e-06,-8.1539286408e-06,1.2778409886e-05,3.1634319927e-06,1.1227054255e-05,-1.7777986456e-06,-3.5719975144e-06,4.8122050824e-06,7.6878539176e-06,2.1791774798e-05,-3.8716010343e-06,3.8199689540e-06,3.3868709874e-06,1.7754016211e-05,5.5422348584e-06,-3.1358292872e-06,6.3816101263e-06,-7.8600926820e-06,5.4256914651e-06,-1.1492454288e-05,5.1542636209e-06,-8.5733334047e-06,3.0094814509e-05,5.6119234024e-06,1.0049946060e-05,1.7372577475e-06,3.7829359566e-07,-2.2038306358e-05,-2.3024396205e-06,-5.1787483657e-06,4.3790138758e-07,-1.6527096095e-05,-6.5324388165e-06,-4.7965261793e-06,-6.4119092024e-06,-4.6067186613e-06,3.8428395186e-06,1.4087641228e-05,-9.8956819789e-09,-1.3924415335e-05,-5.4594880919e-06,1.9890976878e-06,-7.1164081633e-06,-3.3102621021e-06,-7.0644686129e-07,-5.6675396635e-06,-1.1907325481e-05,-5.9873694875e-06,-5.8062158312e-06,2.7894709409e-05
15,9.3242080548e-06,8.8171943034e-06,-9.2805051561e-07,-2.1596949419e-06,-2.9952340490e-06,6.7522378504e-07,-7.6506792901e-06,-1.4618277614e-05,-9.8007545802e-06,3.2846140469e-06,-5.7446855489e-07,1.2150464160e-05,8.5768083054e-06,-1.6463999633e-05,6.3978608596e-06,4.5250869650e-06,-4.1416892583e-06,-8.7074169915e-06,-5.4308932262e-06,3.7817651764e-06,1.5276097975e-05,-1.6754010351e-07,-1.4218273644e-06,-1.0457172291e-06,-1.8888997978e-06,1.8803670011e-05,1.2604461301e-05,-6.2222252244e-06,-1.8079460116e-06,1.0071023794e-05,2.1877206775e-06,3.3358581072e-06,3.6659029932e-06,3.8664848333e-06,-7.2093439819e-06,-2.1111174322e-06,5.7531845506e-07,-2.2443023449e-05,1.1513282303e-08,-2.4287959558e-06,-1.6736469347e-06,4.4771612654e-06,-1.5522704235e-05,-5.7998920400e-06,-6.5494305799e-06,2.4938577488e-06,-6.7692829539e-07,8.8476978895e-06,-4.6937233287e-06,-2.1558764212e-05,1.3573728375e-05,1.2187764038e-06,-1.8531137506e-06,2.0003299811e-05
17,8.1178624536e-06,1.4803766931e-05,-1.3352457370e-06,4.2588215618e-06,-8.6998795400e-06,-7.8410508982e-06,9.8734028747e-07,-1.1398744900e-05,2.6839164198e-05,6.9732730147e-06,7.6998124400e-07,-1.2256104101e-05,-1.1495223589e-05,-1.2884401787e-05,-1.5871150174e-07,7.8077673616e-07,-4.4358787772e-06,1.1463799563e-05,-1.6750542920e-05,5.1002633001e-06,4.6415106283e-07,4.6176487935e-06,-1.6440965288e-06,-8.0276506055e-08,1.4735833377e-05,5.8263641653e-08,6.1441806588e-06,8.2341964468e-07,1.1506420101e-06,2.7750244830e-05,6.9790263958e-07,-2.1317533394e-05,-4.2885465677e-06,-2.9184123437e-06,-4.3312076962e-06,1.0701207500e-05,2.4830268166e-06,-4.4826765065e-06,4.9431337886e-07,-4.3171652434e-06,-4.3499545000e-06,-1.9459199592e-06,-8.0492320698e-06,6.4288692858e-06,1.6309797942e-05,-3.9509828802e-06,-8.7034568407e-07,-6.0523715305e-06,1.3121343794e-05,-2.4516555213e-05,-3.9732386246e-06,-3.7240125148e-06,7.2553539511e-07,1.2668814534e-06
