r,D_emp,D_R58,D_R60,D_best,res_R58,res_best,is_qsd_extreme
1,1.217338,1.239687857924194,1.3994709539324595,1.4436276868899318,-0.02234985792419386,-0.22628968688993178,False
3,0.989971,0.971961811849085,0.9138221243823366,0.9191433989147898,0.018009188150915012,0.07082760108521025,False
5,1.83642,1.376102131746505,1.5734388701994841,1.5974560101067918,0.46031786825349497,0.2389639898932081,True
7,0.912414,1.0137463940358733,1.1042548409987036,1.106934617612808,-0.10133239403587335,-0.19452061761280814,False
9,0.794068,0.9149508879392805,0.9546107225783282,0.921471305971355,-0.12088288793928048,-0.12740330597135496,False
11,0.849428,0.9786246304056075,0.9281862911430868,0.9288514209569957,-0.12919663040560758,-0.07942342095699573,False
13,0.680168,0.8892531407608071,0.6759914969945621,0.7183676036996282,-0.2090851407608071,-0.03819960369962816,True
15,1.093209,0.9890507612705003,1.086788355803137,1.0465932026834686,0.10415823872949981,0.04661579731653154,False
17,1.010342,1.150599610534997,1.0951117490828912,1.0991724809237842,-0.14025761053499686,-0.0888304809237841,False
19,0.771006,0.8163422775610537,0.6797640970303545,0.6797068658255407,-0.04533627756105374,0.09129913417445923,False
21,0.861625,0.8636812790292686,0.6324163276101726,0.6691651102536171,-0.0020562790292686373,0.19245988974638284,False
23,1.35117,1.0429940556049961,1.1064566380644072,1.0861781986752579,0.30817594439500384,0.2649918013247421,True
25,0.702228,0.8417808001020887,0.6910708674309651,0.7055736612813573,-0.1395528001020887,-0.0033456612813573816,False
27,0.967041,1.005011158702727,1.133087762966357,1.0703937637164045,-0.03797015870272702,-0.10335276371640445,False
29,1.112088,1.123515190988203,1.1701250799274596,1.1714785169475226,-0.011427190988203106,-0.05939051694752262,False
31,0.834993,0.7826980115448136,0.8554038218267189,0.8358861555708297,0.05229498845518643,-0.0008931555708296957,False
