k,eps_k_actual,eps_k_pred_two_mode_k1to5,eps_k_pred_two_mode_k1to6,ratio_to_prev
1,+2.000000000000000e-01,+1.963666666666666e-01,+1.962083032297651e-01,
2,+9.523809523809525e-03,+2.447222222222220e-02,+2.487403217718620e-02,+0.0476190476
3,-5.091986325893010e-03,-1.233425925925927e-02,-1.197302372397235e-02,-0.5346585642
4,-2.452258248318762e-03,-1.435725308641976e-02,-1.412319179950798e-02,+0.4815916798
5,-1.151746915130986e-03,-9.908667695473253e-03,-9.773822545594597e-03,+0.4696678728
6,-4.979056652202329e-04,-5.864347565157751e-03,-5.790986821410833e-03,+0.4323047526
