test,p,r,M,period,supp_size,predicted_F_hat_magnitude,max_F_hat_on_supp,min_F_hat_on_supp,match,K_p_short_window_magnitude,predicted_sqrt_N,K_over_sqrt_N
R78.3_generalized,3,2,27,9,3,15.588457268119896,5.196152422706633,5.196152422706631,False,,,
R78.3_generalized,3,3,81,27,9,27.0,9.00000000000001,8.999999999999972,False,,,
R78.3_generalized,5,2,125,25,5,55.90169943749474,11.180339887498954,11.180339887498928,False,,,
R78.3_generalized,5,3,625,125,25,125.0,25.000000000000437,24.9999999999997,False,,,
R78.3_generalized,7,2,343,49,7,129.64181424216494,18.52025917745215,18.52025917745212,False,,,
R78.3_generalized,7,3,2401,343,49,343.0,49.00000000000153,48.99999999999848,False,,,
K_p_short_window,3,3,81,27,,,,,,2.7066661930482465,3.0,0.9022220643494155
K_p_short_window,3,4,243,81,,,,,,2.5900759654777477,5.196152422706632,0.4984603519633858
K_p_short_window,3,5,729,243,,,,,,8.671627543226858,9.0,0.9635141714696509
K_p_short_window,5,3,625,125,,,,,,2.8746059744056813,5.0,0.5749211948811362
K_p_short_window,5,4,3125,625,,,,,,13.753650073903056,11.180339887498949,1.2301638601596896
K_p_short_window,5,5,15625,3125,,,,,,33.44869904068355,25.0,1.337947961627342
K_p_short_window,7,3,2401,343,,,,,,9.553302482744748,7.0,1.364757497534964
K_p_short_window,7,4,16807,2401,,,,,,20.681326070514174,18.520259177452136,1.1166866441962688
K_p_short_window,7,5,117649,16807,,,,,,45.06873678098082,49.0,0.9197701383873637
K_p_short_window_A2,11,3,14641,1331,,,,,,10.411561576360267,11.0,0.9465055978509334
K_p_short_window_A2,11,4,161051,14641,,,,,,39.22913064767014,36.4828726939094,1.075275266199616
K_p_short_window_A2,13,3,28561,2197,,,,,,12.203535489016195,13.0,0.938733499155092
K_p_short_window_A2,13,4,371293,28561,,,,,,49.959184010914214,46.87216658103186,1.0658603528502477
K_p_short_window_A2,17,3,83521,4913,,,,,,18.61583535944091,17.0,1.0950491387906418
K_p_short_window_A2,17,4,1419857,83521,,,,,,65.90696749404233,70.09279563550022,0.9402816209068728
K_p_short_window_A2,19,3,130321,6859,,,,,,17.58975332675697,19.0,0.9257764908819458
K_p_short_window_A2,19,4,2476099,130321,,,,,,78.18387562680205,82.8190799272728,0.9440321686193431
K_p_short_window_A2,23,3,279841,12167,,,,,,24.841498005427898,23.0,1.0800651306707783
K_p_short_window_A2,23,4,6436343,279841,,,,,,107.21188139455987,110.30412503619254,0.971966201258402
