t,n_alive,survival_from_0,survival_per_step_smoothed
0,10000000,1.0000000000,0.9999997800
5,9999989,0.9999989000,0.9999954999
10,9999550,0.9999550000,0.9999433955
15,9994330,0.9994330000,0.9996903650
20,9968631,0.9968631000,0.9989522121
25,9890103,0.9890103000,0.9975550694
30,9727569,0.9727569000,0.9954853474
35,9452562,0.9452562000,0.9929971753
40,9067435,0.9067435000,0.9903406544
45,8578189,0.8578189000,0.9878187252
50,8021526,0.8021526000,0.9853787332
55,7403336,0.7403336000,0.9827141461
60,6737970,0.6737970000,0.9802724565
65,6065903,0.6065903000,0.9777092809
70,5378070,0.5378070000,0.9749109929
75,4704843,0.4704843000,0.9716513773
80,4033956,0.4033956000,0.9676966771
85,3387955,0.3387955000,0.9645672761
90,2812266,0.2812266000,0.9618800519
95,2296925,0.2296925000,0.9595899264
100,1861715,0.1861715000,0.9577787537
105,1492103,0.1492103000,0.9557652198
110,1184201,0.1184201000,0.9545630048
115,937227,0.0937227000,0.9523741808
120,726945,0.0726945000,0.9492462523
125,556716,0.0556716000,0.9482998709
130,427522,0.0427522000,0.9473727262
135,324222,0.0324222000,0.9469340126
140,247831,0.0247831000,0.9463850066
145,186862,0.0186862000,0.9430284587
150,137849,0.0137849000,0.9425157424
155,103373,0.0103373000,0.9428270321
160,76511,0.0076511000,0.9412548228
165,56426,0.0056426000,0.9416273464
170,41929,0.0041929000,0.9416451139
175,30928,0.0030928000,0.9423639296
180,23158,0.0023158000,0.9422259939
185,17057,0.0017057000,0.9396886801
190,12432,0.0012432000,0.9404578041
195,9232,0.0009232000,0.9408986891
