# entry decomposition q=3 L=2: for each nonzero Lmat[src,dst], the (da,db) move-pairs and w-products
# src(e_rho,gamma)	dst(e_rho,gamma)	entry	(da,db):wprod ...
(0,0)	(0,0)	0.34391534	(1,1):0.257999 (2,2):0.0644999 (3,3):0.016125 (4,4):0.00403124 (5,5):0.00100781 (6,6):0.000251953
(0,0)	(2,1)	0.052910053	(1,5):0.00806248 (2,6):0.00201562 (3,1):0.0322499 (4,2):0.00806248 (5,3):0.00201562 (6,4):0.000503905
(0,0)	(2,2)	0.052910053	(1,5):0.00806248 (2,6):0.00201562 (3,1):0.0322499 (4,2):0.00806248 (5,3):0.00201562 (6,4):0.000503905
(0,0)	(4,1)	0.052910053	(1,3):0.0322499 (2,4):0.00806248 (3,5):0.00201562 (4,6):0.000503905 (5,1):0.00806248 (6,2):0.00201562
(0,0)	(4,2)	0.052910053	(1,3):0.0322499 (2,4):0.00806248 (3,5):0.00201562 (4,6):0.000503905 (5,1):0.00806248 (6,2):0.00201562
(0,1)	(1,1)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(0,1)	(1,2)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(0,1)	(1,3)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(0,1)	(3,1)	0.014109347	(1,4):0.00537499 (2,5):0.00134375 (3,6):0.000335937 (4,1):0.00537499 (5,2):0.00134375 (6,3):0.000335937
(0,1)	(3,2)	0.014109347	(1,4):0.00537499 (2,5):0.00134375 (3,6):0.000335937 (4,1):0.00537499 (5,2):0.00134375 (6,3):0.000335937
(0,1)	(3,3)	0.014109347	(1,4):0.00537499 (2,5):0.00134375 (3,6):0.000335937 (4,1):0.00537499 (5,2):0.00134375 (6,3):0.000335937
