# E-FORM gate q=3 L=2: every nonzero entry, actual (build_compressed) vs formula R*N/D
# src(e,g)	dst(e',g')	actual	formula	s=e'-e	R(s)	N=actual*D/R(s)
(1,3)	(2,3)	17/189	17/189	1	34/189	3
(1,3)	(4,2)	8/189	8/189	3	16/189	3
(1,3)	(4,3)	8/189	8/189	3	16/189	3
(1,4)	(1,2)	65/1134	65/1134	0	65/189	1
(1,4)	(1,3)	65/1134	65/1134	0	65/189	1
(1,4)	(1,4)	65/1134	65/1134	0	65/189	1
(1,4)	(3,2)	10/567	10/567	2	20/189	1
(1,4)	(3,3)	10/567	10/567	2	20/189	1
(1,4)	(3,4)	10/567	10/567	2	20/189	1
(1,4)	(5,2)	10/567	10/567	4	20/189	1
(1,4)	(5,3)	10/567	10/567	4	20/189	1
(1,4)	(5,4)	10/567	10/567	4	20/189	1
(1,5)	(1,2)	65/1134	65/1134	0	65/189	1
(1,5)	(1,3)	65/1134	65/1134	0	65/189	1
(1,5)	(1,4)	65/1134	65/1134	0	65/189	1
(1,5)	(3,2)	10/567	10/567	2	20/189	1
(1,5)	(3,3)	10/567	10/567	2	20/189	1
(1,5)	(3,4)	10/567	10/567	2	20/189	1
(1,5)	(5,2)	10/567	10/567	4	20/189	1
(1,5)	(5,3)	10/567	10/567	4	20/189	1
(1,5)	(5,4)	10/567	10/567	4	20/189	1
(1,6)	(0,2)	34/189	34/189	5	34/189	6
(1,6)	(2,3)	17/189	17/189	1	34/189	3
(1,6)	(2,4)	17/189	17/189	1	34/189	3
(1,6)	(4,3)	8/189	8/189	3	16/189	3
(1,6)	(4,4)	8/189	8/189	3	16/189	3
(1,7)	(1,3)	65/1134	65/1134	0	65/189	1
(1,7)	(1,4)	65/1134	65/1134	0	65/189	1
(1,7)	(1,5)	65/1134	65/1134	0	65/189	1
(1,7)	(3,3)	10/567	10/567	2	20/189	1
(1,7)	(3,4)	10/567	10/567	2	20/189	1
(1,7)	(3,5)	10/567	10/567	2	20/189	1
(1,7)	(5,3)	10/567	10/567	4	20/189	1
(1,7)	(5,4)	10/567	10/567	4	20/189	1
(1,7)	(5,5)	10/567	10/567	4	20/189	1
(1,8)	(1,3)	65/1134	65/1134	0	65/189	1
(1,8)	(1,4)	65/1134	65/1134	0	65/189	1
(1,8)	(1,5)	65/1134	65/1134	0	65/189	1
(1,8)	(3,3)	10/567	10/567	2	20/189	1
(1,8)	(3,4)	10/567	10/567	2	20/189	1
(1,8)	(3,5)	10/567	10/567	2	20/189	1
(1,8)	(5,3)	10/567	10/567	4	20/189	1
(1,8)	(5,4)	10/567	10/567	4	20/189	1
(1,8)	(5,5)	10/567	10/567	4	20/189	1
(2,0)	(0,0)	20/189	20/189	4	20/189	6
(2,0)	(2,1)	65/378	65/378	0	65/189	3
(2,0)	(2,2)	65/378	65/378	0	65/189	3
(2,0)	(4,1)	10/189	10/189	2	20/189	3
(2,0)	(4,2)	10/189	10/189	2	20/189	3
(2,1)	(1,1)	17/567	17/567	5	34/189	1
(2,1)	(1,2)	17/567	17/567	5	34/189	1
(2,1)	(1,3)	17/567	17/567	5	34/189	1
(2,1)	(3,1)	17/567	17/567	1	34/189	1
(2,1)	(3,2)	17/567	17/567	1	34/189	1
(2,1)	(3,3)	17/567	17/567	1	34/189	1
(2,1)	(5,1)	8/567	8/567	3	16/189	1
(2,1)	(5,2)	8/567	8/567	3	16/189	1
(2,1)	(5,3)	8/567	8/567	3	16/189	1
(2,2)	(1,1)	17/567	17/567	5	34/189	1
(2,2)	(1,2)	17/567	17/567	5	34/189	1
(2,2)	(1,3)	17/567	17/567	5	34/189	1
(2,2)	(3,1)	17/567	17/567	1	34/189	1
(2,2)	(3,2)	17/567	17/567	1	34/189	1
(2,2)	(3,3)	17/567	17/567	1	34/189	1
(2,2)	(5,1)	8/567	8/567	3	16/189	1
(2,2)	(5,2)	8/567	8/567	3	16/189	1
(2,2)	(5,3)	8/567	8/567	3	16/189	1
(2,3)	(0,1)	20/189	20/189	4	20/189	6
(2,3)	(2,2)	65/378	65/378	0	65/189	3
(2,3)	(2,3)	65/378	65/378	0	65/189	3
(2,3)	(4,2)	10/189	10/189	2	20/189	3
(2,3)	(4,3)	10/189	10/189	2	20/189	3
(2,4)	(1,2)	17/567	17/567	5	34/189	1
(2,4)	(1,3)	17/567	17/567	5	34/189	1
(2,4)	(1,4)	17/567	17/567	5	34/189	1
(2,4)	(3,2)	17/567	17/567	1	34/189	1
(2,4)	(3,3)	17/567	17/567	1	34/189	1
(2,4)	(3,4)	17/567	17/567	1	34/189	1
(2,4)	(5,2)	8/567	8/567	3	16/189	1
(2,4)	(5,3)	8/567	8/567	3	16/189	1
(2,4)	(5,4)	8/567	8/567	3	16/189	1
(2,5)	(1,2)	17/567	17/567	5	34/189	1
(2,5)	(1,3)	17/567	17/567	5	34/189	1
(2,5)	(1,4)	17/567	17/567	5	34/189	1
(2,5)	(3,2)	17/567	17/567	1	34/189	1
(2,5)	(3,3)	17/567	17/567	1	34/189	1
(2,5)	(3,4)	17/567	17/567	1	34/189	1
(2,5)	(5,2)	8/567	8/567	3	16/189	1
(2,5)	(5,3)	8/567	8/567	3	16/189	1
(2,5)	(5,4)	8/567	8/567	3	16/189	1
(2,6)	(0,2)	20/189	20/189	4	20/189	6
(2,6)	(2,3)	65/378	65/378	0	65/189	3
(2,6)	(2,4)	65/378	65/378	0	65/189	3
(2,6)	(4,3)	10/189	10/189	2	20/189	3
(2,6)	(4,4)	10/189	10/189	2	20/189	3
(2,7)	(1,3)	17/567	17/567	5	34/189	1
(2,7)	(1,4)	17/567	17/567	5	34/189	1
(2,7)	(1,5)	17/567	17/567	5	34/189	1
(2,7)	(3,3)	17/567	17/567	1	34/189	1
(2,7)	(3,4)	17/567	17/567	1	34/189	1
(2,7)	(3,5)	17/567	17/567	1	34/189	1
(2,7)	(5,3)	8/567	8/567	3	16/189	1
(2,7)	(5,4)	8/567	8/567	3	16/189	1
(2,7)	(5,5)	8/567	8/567	3	16/189	1
(2,8)	(1,3)	17/567	17/567	5	34/189	1
(2,8)	(1,4)	17/567	17/567	5	34/189	1
(2,8)	(1,5)	17/567	17/567	5	34/189	1
(2,8)	(3,3)	17/567	17/567	1	34/189	1
(2,8)	(3,4)	17/567	17/567	1	34/189	1
(2,8)	(3,5)	17/567	17/567	1	34/189	1
(2,8)	(5,3)	8/567	8/567	3	16/189	1
(2,8)	(5,4)	8/567	8/567	3	16/189	1
(2,8)	(5,5)	8/567	8/567	3	16/189	1
(3,0)	(0,0)	16/189	16/189	3	16/189	6
(3,0)	(2,1)	17/189	17/189	5	34/189	3
(3,0)	(2,2)	17/189	17/189	5	34/189	3
(3,0)	(4,1)	17/189	17/189	1	34/189	3
(3,0)	(4,2)	17/189	17/189	1	34/189	3
(3,1)	(1,1)	10/567	10/567	4	20/189	1
(3,1)	(1,2)	10/567	10/567	4	20/189	1
(3,1)	(1,3)	10/567	10/567	4	20/189	1
(3,1)	(3,1)	65/1134	65/1134	0	65/189	1
(3,1)	(3,2)	65/1134	65/1134	0	65/189	1
(3,1)	(3,3)	65/1134	65/1134	0	65/189	1
(3,1)	(5,1)	10/567	10/567	2	20/189	1
(3,1)	(5,2)	10/567	10/567	2	20/189	1
(3,1)	(5,3)	10/567	10/567	2	20/189	1
(3,2)	(1,1)	10/567	10/567	4	20/189	1
(3,2)	(1,2)	10/567	10/567	4	20/189	1
(3,2)	(1,3)	10/567	10/567	4	20/189	1
(3,2)	(3,1)	65/1134	65/1134	0	65/189	1
(3,2)	(3,2)	65/1134	65/1134	0	65/189	1
(3,2)	(3,3)	65/1134	65/1134	0	65/189	1
(3,2)	(5,1)	10/567	10/567	2	20/189	1
(3,2)	(5,2)	10/567	10/567	2	20/189	1
(3,2)	(5,3)	10/567	10/567	2	20/189	1
(3,3)	(0,1)	16/189	16/189	3	16/189	6
(3,3)	(2,2)	17/189	17/189	5	34/189	3
(3,3)	(2,3)	17/189	17/189	5	34/189	3
(3,3)	(4,2)	17/189	17/189	1	34/189	3
(3,3)	(4,3)	17/189	17/189	1	34/189	3
(3,4)	(1,2)	10/567	10/567	4	20/189	1
(3,4)	(1,3)	10/567	10/567	4	20/189	1
(3,4)	(1,4)	10/567	10/567	4	20/189	1
(3,4)	(3,2)	65/1134	65/1134	0	65/189	1
(3,4)	(3,3)	65/1134	65/1134	0	65/189	1
(3,4)	(3,4)	65/1134	65/1134	0	65/189	1
(3,4)	(5,2)	10/567	10/567	2	20/189	1
(3,4)	(5,3)	10/567	10/567	2	20/189	1
(3,4)	(5,4)	10/567	10/567	2	20/189	1
(3,5)	(1,2)	10/567	10/567	4	20/189	1
(3,5)	(1,3)	10/567	10/567	4	20/189	1
(3,5)	(1,4)	10/567	10/567	4	20/189	1
(3,5)	(3,2)	65/1134	65/1134	0	65/189	1
(3,5)	(3,3)	65/1134	65/1134	0	65/189	1
(3,5)	(3,4)	65/1134	65/1134	0	65/189	1
(3,5)	(5,2)	10/567	10/567	2	20/189	1
(3,5)	(5,3)	10/567	10/567	2	20/189	1
(3,5)	(5,4)	10/567	10/567	2	20/189	1
(3,6)	(0,2)	16/189	16/189	3	16/189	6
(3,6)	(2,3)	17/189	17/189	5	34/189	3
(3,6)	(2,4)	17/189	17/189	5	34/189	3
(3,6)	(4,3)	17/189	17/189	1	34/189	3
(3,6)	(4,4)	17/189	17/189	1	34/189	3
(3,7)	(1,3)	10/567	10/567	4	20/189	1
(3,7)	(1,4)	10/567	10/567	4	20/189	1
