r,b,n_visits,coprime_frac,pearson_pi4
9,20,220932,0.999959,0.998394
9,21,222664,0.999937,0.998786
9,22,221844,0.999896,0.999544
9,23,227609,0.999736,0.998920
9,24,224174,0.999420,0.999194
9,25,225647,0.999003,0.999216
9,26,224184,0.997792,0.999721
9,27,225556,0.995442,0.999786
9,28,225919,0.991019,0.999736
9,29,224582,0.982487,0.999428
9,30,225439,0.965263,0.998823
9,31,225888,0.931581,0.992507
9,32,130848,1.000000,0.965758
9,33,67967,1.000000,0.902295
9,34,33419,1.000000,0.844075
9,35,16617,1.000000,0.852246
9,36,8542,1.000000,0.842477
9,37,4192,1.000000,0.844808
9,38,2106,1.000000,0.860751
9,39,1027,1.000000,0.841691
9,40,551,1.000000,0.868100
9,41,243,1.000000,0.865445
11,3,668373,1.000000,-0.030269
11,5,103095,1.000000,-0.073714
11,6,299244,1.000000,0.349369
11,7,61600,1.000000,-0.159979
11,8,603012,1.000000,0.364208
11,9,167442,1.000000,0.548067
11,10,193431,1.000000,0.180275
11,11,193162,1.000000,0.564930
11,12,177679,1.000000,0.602144
11,13,222863,0.999996,0.807258
11,14,239292,0.999996,0.826522
11,15,227994,1.000000,0.953872
11,16,234716,0.999996,0.920522
11,17,208728,0.999990,0.987627
11,18,218190,1.000000,0.994385
11,19,224621,0.999969,0.995375
11,20,221130,0.999982,0.993998
11,21,221463,0.999964,0.998527
11,22,223226,0.999843,0.999003
11,23,224867,0.999662,0.999175
11,24,225368,0.999472,0.999367
11,25,226291,0.998913,0.999320
11,26,224531,0.997791,0.999846
11,27,226095,0.995688,0.999653
11,28,225939,0.991033,0.999844
11,29,225626,0.982626,0.999558
11,30,225423,0.965119,0.998829
11,31,225817,0.930590,0.992112
11,32,130717,1.000000,0.965441
11,33,67791,1.000000,0.903474
11,34,33766,1.000000,0.846125
11,35,16632,1.000000,0.846293
11,36,8275,1.000000,0.846026
11,37,4294,1.000000,0.843140
11,38,2105,1.000000,0.836067
11,39,1078,1.000000,0.848307
11,40,515,1.000000,0.833838
11,41,276,1.000000,0.837736
13,3,714434,1.000000,0.107524
13,6,152444,1.000000,-0.082630
13,7,166631,1.000000,-0.067320
13,8,161275,1.000000,0.295531
13,9,143999,1.000000,0.421503
13,10,209241,1.000000,0.406546
13,11,174594,1.000000,0.671028
13,12,212019,1.000000,0.683784
13,13,195630,1.000000,0.870518
13,14,212662,0.999995,0.667507
13,15,221647,0.999995,0.879097
13,16,249302,1.000000,0.857053
13,17,214557,0.999991,0.988938
13,18,228385,0.999987,0.958713
13,19,221970,0.999986,0.988616
13,20,220697,0.999959,0.996750
13,21,224500,0.999938,0.998159
13,22,224377,0.999871,0.998268
13,23,226699,0.999815,0.998618
13,24,224350,0.999425,0.999559
13,25,226013,0.999013,0.999798
13,26,224885,0.997674,0.999783
13,27,226835,0.995799,0.999779
13,28,225395,0.991317,0.999802
13,29,225595,0.982854,0.999615
13,30,225681,0.965376,0.998678
13,31,225897,0.930105,0.992542
13,32,131202,1.000000,0.966527
13,33,67468,1.000000,0.903883
13,34,33436,1.000000,0.841927
13,35,16755,1.000000,0.847998
13,36,8294,1.000000,0.847888
13,37,4237,1.000000,0.853474
13,38,2048,1.000000,0.821243
13,39,1081,1.000000,0.851048
13,40,541,1.000000,0.842714
13,41,283,1.000000,0.814893
15,5,278818,1.000000,0.059095
15,6,10100,1.000000,-0.121128
15,7,616580,1.000000,0.089464
15,8,147875,1.000000,0.198457
15,9,1224131,1.000000,0.505219
15,10,144828,1.000000,0.329095
15,11,204341,1.000000,0.680653
15,12,218989,1.000000,0.525677
15,13,219211,1.000000,0.789511
15,14,205730,1.000000,0.915606
15,15,208142,1.000000,0.962244
15,16,224957,1.000000,0.921936
15,17,215378,0.999991,0.983896
15,18,216852,1.000000,0.992914
15,19,225751,0.999987,0.983380
15,20,218766,0.999954,0.997836
15,21,225241,0.999907,0.997723
15,22,222552,0.999838,0.998758
15,23,226146,0.999682,0.998869
15,24,224217,0.999411,0.999696
15,25,224923,0.998889,0.999458
15,26,225849,0.997875,0.999787
15,27,225517,0.995583,0.999777
15,28,225880,0.991367,0.999699
15,29,224561,0.982668,0.999567
15,30,225732,0.965131,0.998768
15,31,225502,0.930648,0.992380
15,32,131337,1.000000,0.966386
15,33,68332,1.000000,0.904617
15,34,33247,1.000000,0.845257
15,35,16731,1.000000,0.845521
15,36,8489,1.000000,0.850184
15,37,4264,1.000000,0.837300
15,38,2114,1.000000,0.841129
15,39,1037,1.000000,0.834133
15,40,538,1.000000,0.834691
15,41,282,1.000000,0.828352
17,4,691962,1.000000,0.049030
17,5,208612,1.000000,-0.042646
17,6,30196,1.000000,-0.085967
17,7,115849,1.000000,0.013221
17,8,720466,1.000000,0.004114
17,9,631565,1.000000,0.378419
17,10,232440,1.000000,0.550942
17,11,159152,1.000000,0.354232
17,12,212866,1.000000,0.441244
17,13,245395,1.000000,0.732655
