k,obs_pooled,expected_geom,rel_dev,obs_mod27_r=1,obs_mod27_r=2,obs_mod27_r=4,obs_mod27_r=5,obs_mod27_r=7,obs_mod27_r=8,obs_mod27_r=10,obs_mod27_r=11,obs_mod27_r=13,obs_mod27_r=14,obs_mod27_r=16,obs_mod27_r=17,obs_mod27_r=19,obs_mod27_r=20,obs_mod27_r=22,obs_mod27_r=23,obs_mod27_r=25,obs_mod27_r=26,obs_mod81_r=1,obs_mod81_r=2,obs_mod81_r=4,obs_mod81_r=5,obs_mod81_r=7,obs_mod81_r=8,obs_mod81_r=10,obs_mod81_r=11,obs_mod81_r=13,obs_mod81_r=14
11,43982,87787.0546875,-0.4989921901746796,1043,2174,444,1194,318,1894,1783,5873,2440,707,386,5481,607,7848,4994,430,326,6040,292,588,151,485,207,1361,927,5028,844,245
12,24800,43893.52734375,-0.434996422005914,686,1320,286,926,110,1797,3662,713,1216,242,440,2061,257,1550,1583,216,82,7653,169,551,92,188,34,284,3306,128,669,102
13,10322,21946.763671875,-0.5296800861246004,263,438,110,195,114,1609,399,185,1217,148,97,1056,130,1092,882,44,76,2267,36,124,61,83,95,1486,136,51,191,121
14,3333,10973.3818359375,-0.6962650120235018,87,190,169,79,302,220,105,233,236,115,43,292,73,393,232,25,25,514,18,91,147,48,7,27,64,134,80,20
15,4950,5486.69091796875,-0.09781686739654008,43,75,12,20,15,34,44,36,912,30,14,250,228,290,62,10,6,2869,25,7,7,3,7,21,17,23,18,6
16,2361,2743.345458984375,-0.13937196926191156,6,1633,16,44,5,22,25,13,54,3,47,223,24,73,42,5,3,123,4,4,5,1,1,2,4,2,6,0
17,360,1371.6727294921875,-0.7375467250608116,17,21,4,6,1,11,39,34,50,8,1,18,2,31,7,30,3,77,1,17,1,5,0,10,1,33,41,1
18,324,685.8363647460938,-0.527584105109461,0,8,2,3,0,2,4,46,21,1,1,62,5,3,1,2,1,162,0,0,0,3,0,0,0,1,21,0
19,34,342.9181823730469,-0.9008509850229733,3,1,0,1,0,0,0,0,5,0,1,6,0,13,0,0,0,4,0,1,0,0,0,0,0,0,0,0
20,115,171.45909118652344,-0.3292860751554076,0,0,0,0,1,0,103,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,103,0,0,0
21,8,85.72954559326172,-0.9066832800216219,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
22,6,42.86477279663086,-0.8600249200324329,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,21.43238639831543,-0.9066832800216219,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
24,0,10.716193199157715,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,5.358096599578857,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,2.6790482997894287,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,1.3395241498947144,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.6697620749473572,-0.6697620749473572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.3348810374736786,-0.3348810374736786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
