# (e,gamma) class table  L=2  D=6  classes=54  reached_classes=29 (full=13 PARTIAL=16) support=25  clean_union=False  [convention 2^e=b*a^-1 mod 3^L; gamma UNTRANSFORMED (modular gauge)]
# flag: F=full-closure  P=PARTIAL (gauge-split, closure NOT clean)  0=support
# columns: e | gamma(base3) | flag | out_edges: (De,g->g') ...
3	22	0	(0,8->3) (0,8->4) (0,8->5) (2,8->3) (2,8->4) (2,8->5) (4,8->3) (4,8->4) (4,8->5)
4	00	0	(0,0->1) (0,0->2) (2,0->0) (4,0->1) (4,0->2)
4	01	0	(1,1->1) (1,1->2) (1,1->3) (3,1->1) (3,1->2) (3,1->3) (5,1->1) (5,1->2) (5,1->3)
4	12	0	(1,5->2) (1,5->3) (1,5->4) (3,5->2) (3,5->3) (3,5->4) (5,5->2) (5,5->3) (5,5->4)
4	20	0	(0,6->3) (0,6->4) (2,6->2) (4,6->3) (4,6->4)
4	21	0	(1,7->3) (1,7->4) (1,7->5) (3,7->3) (3,7->4) (3,7->5) (5,7->3) (5,7->4) (5,7->5)
4	22	0	(1,8->3) (1,8->4) (1,8->5) (3,8->3) (3,8->4) (3,8->5) (5,8->3) (5,8->4) (5,8->5)
5	00	0	(1,0->0) (3,0->1) (3,0->2) (5,0->1) (5,0->2)
5	20	0	(1,6->2) (3,6->3) (3,6->4) (5,6->3) (5,6->4)
5	21	0	(0,7->3) (0,7->4) (0,7->5) (2,7->3) (2,7->4) (2,7->5) (4,7->3) (4,7->4) (4,7->5)
5	22	0	(0,8->3) (0,8->4) (0,8->5) (2,8->3) (2,8->4) (2,8->5) (4,8->3) (4,8->4) (4,8->5)
