test,abs_diff,fft_computed_mag,fft_max,fft_min,fft_time_s,hand_computed_mag,max_abs_diff_fft_vs_mpmath,max_rel_diff_fft_vs_mpmath,mpmath_max,mpmath_max_dev_from_predicted_50dps,mpmath_min,mpmath_time_s,p,pass,pass_agreement,pass_mpmath_matches_predicted_to_50dps,predicted_p^((r+1)/2),r,rel_diff,supp_size
A1_dual_precision,,,5.196152422706632,5.196152422706631,0.0030159950256347656,,8.881784197001252e-16,1.709300165674279e-16,5.196152422706632,2.7527422515706137e-17,5.196152422706632,0.0005044937133789062,3,,True,False,5.196152422706632,2,,3
A1_dual_precision,,,36.482872693909414,36.48287269390939,0.0,,1.4210854715202004e-14,3.8952126479816435e-16,36.4828726939094,3.689124738826975e-17,36.4828726939094,0.023656606674194336,11,,True,False,36.4828726939094,2,,11
A1_dual_precision,,,25.000000000000007,24.999999999999996,0.0,,7.105427357601002e-15,2.842170943040401e-16,25.0,1.864520661760316e-49,25.0,0.060837745666503906,5,,True,True,25.0,3,,25
A2_hand_computation,8.881784197001252e-16,5.196152422706631,,,,5.196152422706632,,,,,,,3,True,,,,2,1.709300165674279e-16,
