# 2x2 effective-pair matrix, q=3, basis (kinematic=gamma0-aligned, tower). Coalescence-derivation JUDGE.
# L	c0	partner	B_kk	B_kt	B_tk	B_tt	trace	det	discriminant=(l0-lp)^2	sqrt_disc	kin_gamma0wt	tow_gamma0wt
2	0.3439153439	0.3468266586	0.3439153439	-0.0000000000	0.0505313821	0.3468266586	0.6907420025	0.1192790096	8.475753e-06	2.911315e-03	0.789834	0.000000
3	0.3333358765	0.3332363004	0.3333358765	0.0000000000	0.0188201202	0.3332363004	0.6665721769	0.1110796143	9.915390e-09	9.957605e-05	0.792554	0.000000
