q,tau,alpha,f_alpha
-5.00,-11.274519,2.242355,0.062744
-4.00,-9.032164,2.250905,0.028545
-3.00,-6.772709,2.266039,-0.025407
-2.00,-4.500086,2.204261,0.091565
-1.00,-2.364188,1.704348,0.659840
-0.50,-1.619901,1.365437,0.937183
0.00,-0.998751,1.188335,0.998751
0.50,-0.431566,0.390979,0.627056
1.00,-0.607772,0.618561,1.226333
1.50,0.186995,0.875151,1.125732
2.00,0.267380,0.147079,0.026778
3.00,0.387078,0.114948,-0.042235
4.00,0.497275,0.107860,-0.065836
5.00,0.602797,0.105522,-0.075185
