# 2c4-C v1 gate/carry q=3: EVEN e' channels (v>=1 source, gamma==0 mod3). (e'mod6,u%9,gamma%9)->gate,gammap%3
# e'mod6	c=1-2^e'%9	LTE_t	u%9	gamma%9	gate	gammap%3
0	0	2	1	0	1	0
0	0	2	1	3	1	1
0	0	2	1	6	1	2
0	0	2	2	0	1	0
0	0	2	2	3	1	1
0	0	2	2	6	1	2
0	0	2	4	0	1	0
0	0	2	4	3	1	1
0	0	2	4	6	1	2
0	0	2	5	0	1	0
0	0	2	5	3	1	1
0	0	2	5	6	1	2
0	0	2	7	0	1	0
0	0	2	7	3	1	1
0	0	2	7	6	1	2
0	0	2	8	0	1	0
0	0	2	8	3	1	1
0	0	2	8	6	1	2
2	6	1	1	0	1	2
2	6	1	1	3	1	0
2	6	1	1	6	1	1
2	6	1	2	0	1	1
2	6	1	2	3	1	2
2	6	1	2	6	1	0
2	6	1	4	0	1	2
2	6	1	4	3	1	0
2	6	1	4	6	1	1
2	6	1	5	0	1	1
2	6	1	5	3	1	2
2	6	1	5	6	1	0
2	6	1	7	0	1	2
2	6	1	7	3	1	0
2	6	1	7	6	1	1
2	6	1	8	0	1	1
2	6	1	8	3	1	2
2	6	1	8	6	1	0
4	3	1	1	0	1	1
4	3	1	1	3	1	2
4	3	1	1	6	1	0
4	3	1	2	0	1	2
4	3	1	2	3	1	0
4	3	1	2	6	1	1
4	3	1	4	0	1	1
4	3	1	4	3	1	2
4	3	1	4	6	1	0
4	3	1	5	0	1	2
4	3	1	5	3	1	0
4	3	1	5	6	1	1
4	3	1	7	0	1	1
4	3	1	7	3	1	2
4	3	1	7	6	1	0
4	3	1	8	0	1	2
4	3	1	8	3	1	0
4	3	1	8	6	1	1
