,1,2,4,5,7,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,31,32,34,35,37,38,40,41,43,44,46,47,49,50,52,53,55,56,58,59,61,62,64,65,67,68,70,71,73,74,76,77,79,80
1,1.3256950119e-06,-1.3755807208e-06,-2.7387239466e-06,-1.2058949978e-05,1.0913785859e-06,4.8845876554e-06,-1.0894906454e-05,-6.1957118224e-06,-7.9735335319e-06,-7.5140833376e-06,8.2252276733e-06,9.0126090954e-06,-8.5860869272e-06,-8.7097229738e-06,-5.3013730955e-06,-3.9794770564e-07,-7.1828634053e-07,-1.7722756264e-05,-1.1762006534e-05,1.8337756508e-05,9.1982286941e-06,5.7311332025e-06,3.2787036598e-06,-9.2953600458e-06,-1.8631054646e-06,-1.4470425883e-05,-1.5877049145e-05,-1.2149052142e-05,7.0115229738e-06,2.3645444950e-05,-3.1904789160e-07,1.2094109824e-05,7.3190441513e-06,7.5069828438e-06,-2.0457374613e-06,4.9394536550e-06,-1.4349139415e-06,-1.0155398262e-05,-3.2422813351e-06,-1.1327237862e-05,-4.6735371351e-06,3.6412427038e-06,-8.1092257406e-06,2.7554044752e-05,6.6953067354e-08,2.7329229405e-06,-2.5937659682e-06,-6.7490979610e-06,-5.5385673580e-06,2.5963630326e-05,9.6216658109e-06,-3.1334475504e-06,-3.1469594893e-07,2.2059278644e-05
3,-7.0832835844e-06,2.1117968963e-06,6.7994055535e-06,-1.1363231410e-05,-9.9943643070e-06,-2.2464363622e-06,7.0149793332e-07,-1.6458946634e-05,-9.0781621741e-06,6.1261942271e-06,4.6328083308e-07,-2.2554722816e-05,-2.0649789501e-06,-1.9219388313e-05,-7.4538166445e-06,-1.2865762015e-05,-9.6343241777e-07,-1.5428255725e-05,-1.2790483003e-05,-1.7831214909e-05,-5.0265401326e-06,-2.0912511674e-06,1.6455916331e-06,2.4660246777e-05,-4.2078706546e-06,5.8759887391e-06,3.8145520419e-06,4.6516274158e-06,-7.4142427147e-07,2.7240857397e-05,-6.6503225973e-06,-2.2296945886e-05,-6.6127717214e-06,8.3175250484e-06,4.2308126663e-07,-1.2551699906e-05,-3.1643902716e-06,1.1293036772e-05,5.8244106436e-07,-9.6990546602e-06,4.0767608652e-06,7.7002371168e-06,7.9535762808e-06,2.3890432677e-05,1.3750080410e-06,-1.8326505203e-06,-1.2796147890e-06,4.4847168374e-05,-9.7707084467e-06,-1.2637272938e-05,-1.4794667353e-05,8.0105195118e-07,3.7533760985e-06,8.1648929578e-05
5,1.3078405471e-05,9.6272904777e-06,-1.7549276420e-06,6.7504080641e-05,-1.3699692707e-06,4.8415004574e-08,4.0123465928e-07,-2.5019827364e-05,4.9298725657e-06,-2.4257593240e-06,6.3361864417e-06,-3.6346014324e-06,5.5499290686e-06,9.4004627020e-06,-3.5315214889e-05,7.1006860924e-06,-2.9605821170e-06,1.4906169548e-06,-8.0928734341e-06,4.9175869275e-06,1.6219094637e-05,1.6155262299e-05,7.7527693552e-07,-5.2752806691e-06,3.3964008155e-05,-1.9454882815e-07,-1.0132583004e-05,-1.3675034296e-05,-5.0661772644e-06,4.2173218381e-07,6.6750785872e-06,-3.8535046452e-05,2.0000357200e-06,1.2426359347e-05,3.2556170848e-06,-2.5784053996e-05,1.5601923894e-06,-1.3921706976e-05,-1.7816009623e-06,9.4365907277e-06,3.6453025186e-07,-1.5424448738e-05,-1.2568801512e-05,4.9225285386e-06,9.4648836278e-06,6.2988351669e-07,-6.9657964800e-06,-4.4783890507e-05,-3.6501269204e-06,9.3867557645e-06,7.0028964876e-06,-9.6441363240e-06,1.5821771667e-06,2.1349317977e-05
7,1.0137675762e-05,3.4461711211e-06,-7.4058030231e-06,-7.1624204584e-06,2.9561446320e-05,-1.1754845190e-05,8.9132547686e-06,-1.1670842753e-05,4.7443317468e-06,6.9295240011e-06,-1.7934578135e-06,-1.3814231789e-05,-7.3568871850e-07,3.1038552247e-05,2.7452157584e-05,-8.3407558463e-06,-2.8564527334e-06,-1.0754517248e-06,-2.0294100914e-05,1.9641898971e-06,-7.5446541506e-06,-3.4057976766e-06,-5.0957614780e-06,7.7025889671e-06,-1.0379293123e-05,1.8547139464e-05,-2.8608660771e-06,-6.5935485319e-06,-5.9875663525e-06,-1.4782760036e-05,6.3991865483e-06,-6.8530236616e-06,-8.8883087725e-06,-6.9692692076e-06,7.8733844028e-07,-1.0502781455e-05,-4.5158198187e-06,-1.1218495294e-05,1.7571147389e-06,-3.8331110553e-06,5.4553881980e-06,-9.3560301231e-07,-7.7807743996e-06,1.7366928747e-05,-1.4653408617e-07,-5.2086157376e-06,-8.7495620478e-06,3.7448717142e-05,-8.9302584848e-06,2.7149768073e-06,-7.9987405101e-06,-2.9838930655e-06,-1.3886778998e-06,1.8091084398e-05
9,2.1219265133e-06,-1.2385452873e-05,-2.1565275261e-06,4.6147403159e-06,2.8660776249e-08,6.7463165833e-06,-1.6546976520e-05,-1.5637129153e-05,-1.2215712791e-05,-3.1260736082e-06,-1.0392497216e-06,-3.0978576971e-06,-2.5579388648e-05,9.0199510014e-06,5.5635208779e-06,-4.5815758402e-06,1.2851960539e-06,-4.0900762046e-06,-3.4942729971e-06,-3.7032656458e-06,-1.0436267390e-05,-7.8985041868e-06,2.9357181725e-06,3.6393336876e-06,1.7837793328e-05,7.7674708762e-06,1.1726486696e-06,2.3307292018e-05,-7.7520430476e-06,-4.1447299768e-06,7.1452443650e-07,5.1844057041e-06,-2.3810749076e-06,-1.6871861255e-06,1.5786249989e-08,4.9493970477e-06,-1.0701179301e-05,1.4679716732e-05,-7.7486290597e-07,5.7244091092e-06,2.0012676735e-06,-3.8183692939e-06,-7.1633477077e-06,1.5903119720e-05,2.2272214268e-06,-3.4501589594e-06,2.9310052071e-06,1.7439438467e-05,1.8594743448e-05,2.8374096750e-06,-1.6851505993e-05,-6.9250071350e-06,-1.4590156703e-06,1.3853798055e-05
11,7.4667528420e-06,-2.3600061900e-05,-6.7350665793e-06,-8.5852363667e-06,7.3866207142e-06,-4.8156326047e-06,-2.9211626154e-06,6.6374366402e-05,2.4246648700e-06,6.0061356811e-06,-1.7327897872e-06,-1.2912713188e-05,-9.5593337824e-06,5.9517177473e-05,6.4559907690e-06,-4.0054625285e-06,-4.2118568221e-06,3.6810788533e-05,-1.2949111231e-05,-9.2085421141e-06,6.8734890999e-06,-5.8876094307e-06,-1.3798124327e-06,2.3517942276e-07,1.0578874088e-05,-2.0192194175e-05,1.3541606144e-05,-9.7808548422e-07,7.1615704582e-06,-7.7723088549e-06,-1.3439450049e-05,-4.9814326421e-06,-3.0783779677e-06,-2.8754974626e-06,-6.9297809112e-07,-9.3903893435e-06,-2.1452503583e-06,5.7688903427e-06,1.2128383171e-05,-5.2078368134e-06,3.6038207232e-07,-1.6908937071e-05,2.1568026954e-06,8.0784493736e-06,-2.1348313649e-06,1.7286984164e-06,-3.9359115963e-06,-1.9849739266e-05,7.3066397530e-07,2.9049664579e-06,1.5155202233e-05,-3.1601378493e-06,2.4258314005e-06,-5.7023736863e-05
13,5.3296580315e-07,-1.8163665134e-05,-3.7655356729e-06,8.6438509336e-06,8.0749038491e-06,-5.1751234560e-06,-2.1987692932e-05,2.6283886340e-05,2.1857669852e-05,1.2685224848e-06,1.7487820114e-06,-5.7613846238e-06,-2.3126404705e-06,5.8518462997e-06,9.0033661972e-06,-6.9036218912e-06,8.0038511367e-07,-1.8659328697e-05,4.8913107482e-06,-1.6494557248e-05,5.8402427868e-06,-1.6226786320e-05,-3.9274418395e-06,-1.0351586950e-05,4.4879040395e-06,-9.9108704677e-06,-1.3959082483e-05,1.6911116704e-05,9.6654544339e-07,8.5332347968e-06,8.7098078468e-07,3.8780007255e-06,-1.4096605799e-06,3.4490056657e-07,1.5607543539e-07,-8.3804243940e-06,-6.1424184287e-06,2.3147728427e-05,4.3832187545e-06,-1.0703272621e-05,-7.3986345248e-06,3.0287162321e-06,-5.1486708274e-07,1.8210262568e-05,3.2663028032e-06,5.7311588055e-06,-2.0321387385e-06,1.9554285827e-05,-2.5568187279e-06,-1.8766319819e-05,1.6510793516e-05,1.2555013043e-05,-4.8217760542e-06,-2.1008321737e-05
15,6.6991189549e-06,-2.3298719719e-06,-8.1713040206e-06,-1.2996866001e-05,-9.8844097350e-06,-5.2864546747e-06,-1.2348408193e-05,1.9771029329e-06,1.4399328678e-05,-1.0435683955e-05,-3.0366841850e-06,-5.9724561347e-06,3.7342953211e-06,-2.4763609493e-05,-3.7808402791e-06,-1.2703710004e-05,-2.5389502440e-06,1.7945070735e-05,9.8843524660e-06,-5.4898840076e-06,-2.7341357144e-06,-1.6929692226e-06,-3.2697514387e-07,-4.6200863718e-06,-9.0727628714e-06,-2.6316993526e-05,6.4604604712e-07,-1.1323371165e-08,2.5008831398e-05,-2.9368320262e-06,1.7247373516e-07,4.7607370611e-05,-8.9128253212e-06,3.3702375684e-06,1.4587023217e-06,-2.4668832683e-06,-1.7376873560e-06,5.2383424134e-07,-1.0523701123e-06,5.6718152095e-06,-6.0577740772e-06,8.2865646582e-06,-1.2859110148e-05,-7.4031414960e-06,-1.1254469191e-06,-1.3685185664e-06,7.1054398585e-06,5.7226048560e-05,3.7421518776e-06,-1.5888631017e-05,-1.7071989628e-05,7.0493546217e-06,8.1802749011e-06,1.2707174358e-05
17,3.3917905071e-07,-3.0254868436e-05,-6.4052762605e-06,-2.0423977149e-05,2.5566846600e-06,3.5511594094e-06,-1.8015770789e-05,-2.9335982095e-06,2.3161919680e-06,-9.9771855722e-06,2.5320489610e-07,6.6225197012e-05,-9.0979198442e-06,-2.1433903359e-05,7.5044975359e-06,-3.8820887446e-06,6.5428145536e-07,1.0766116468e-05,4.3118137339e-06,-1.1606209860e-05,-3.4760978781e-07,1.0391055607e-05,-5.3161480836e-06,-1.1229454571e-05,2.6625698323e-06,5.7179374737e-06,3.3830198309e-05,-1.0397917260e-06,-6.6198569175e-06,1.2943176847e-05,-5.2878296306e-06,6.1254929021e-06,3.0177798588e-05,-5.6504748784e-06,-1.8358309900e-06,-1.0960651990e-05,-5.2015954744e-06,9.1874106687e-06,7.4262773058e-07,-2.1256518688e-07,-1.6199093844e-06,8.9566052198e-06,1.5713001665e-05,-1.7001747846e-05,-1.9182878384e-05,-2.8510671075e-06,-8.2394549743e-06,-2.2801860611e-05,3.3922075181e-06,-7.6037132025e-06,-3.1017771209e-07,4.7800878943e-06,-2.7087120365e-06,2.6953632272e-05
