# R_{D/2=9}(s) exact, q=3 L=3, D=18. R_k(s)=sum_m w_m w_{m-s} (-1)^m
# s	R
0	-52429/262143
1	8738/87381
2	-13108/262143
3	104/4161
4	-3280/262143
5	544/87381
6	-832/262143
7	128/87381
8	-256/262143
9	0
10	-256/262143
11	-128/87381
12	-832/262143
13	-544/87381
14	-3280/262143
15	-104/4161
16	-13108/262143
17	-8738/87381
