k,N_k,N_kplus1,norm_sq_num,norm_sq_den,norm_sq_decimal,norm_sq_times_3pow_k,ratio_to_prev
1,2,6,10,189,5.291005291005291e-02,1.587301587301587e-01,
2,6,18,31370,1835001,1.709535853113977e-02,1.538582267802579e-01,0.3231022762
3,18,54,5303542579979870,925406323431537423,5.731042079238863e-03,1.547381361394493e-01,0.3352396540
4,54,162,276744415682674364646127697496143813746920212410621911600730,144461305443837010770797638353990067906935205124004140236037481,1.915699258236772e-03,1.551716399171786e-01,0.3342671772
5,162,486,113836829426254005854217051801737721078467464609304579823621768001634826133351522527136433939820338141095288032711648202430612996956698144489199972588664802547202809149198307262717857225010,178019326034336530402703845611838832368947797264964418582693653571011434321401409587249774335637329704264204420884643267832928426914252787220944643476398622051078942227736598980736056139582049,6.394633209896382e-04,1.553895870004821e-01,0.3338015183
