r,best_model,r2_exp,r2_pow,r2_log,r2_lin,D_inf_exp,A_exp,tau_exp,D_inf_pow,A_pow,alpha_pow
1,lin,0.863183,0.664980,0.665007,0.863189,5593.858413,-5592.927397,1264385.342853,1716.224442,-1715.732583,0.000106
3,lin,0.198304,0.080203,0.080223,0.198312,1756.445138,-1755.513593,1336196.477948,291.122080,-290.285733,0.000146
5,lin,0.867726,0.644037,0.644069,0.867737,8701.040104,-8700.218930,844541.384362,4107.810188,-4108.024899,0.000103
7,lin,0.242622,0.120557,0.120579,0.242635,-820.705902,821.757168,829129.994679,-297.298218,298.434791,0.000119
9,lin,0.691936,0.453088,0.453126,0.691949,-2319.686667,2320.747407,953249.295688,-781.455490,782.752357,0.000124
11,lin,0.681327,0.442508,0.442538,0.681367,-1057.739360,1058.811569,354064.469408,-1240.723991,1242.087535,0.000096
13,lin,0.914718,0.721206,0.721234,0.914734,-2183.740938,2184.811534,481233.511810,-2045.361855,2046.905295,0.000093
15,exp,0.034639,0.005940,0.005944,0.000399,1.032992,-0.036086,21.888889,-29.670077,30.668855,-0.000229
17,exp,0.478817,0.364467,0.327851,0.346883,1.083993,-0.108190,27.188371,1.096311,-0.731997,0.837903
19,lin,0.929269,0.786294,0.786324,0.929279,-1461.548573,1462.585799,406907.001376,-1238.682760,1240.094408,0.000123
21,exp,0.781933,0.720184,0.720195,0.756883,0.635439,0.389535,84.287548,-586.373112,587.647653,0.000190
23,lin,0.622199,0.435458,0.435492,0.622202,8510.604279,-8509.678799,2740481.928912,1079.131112,-1078.527762,0.000119
25,lin,0.920804,0.716504,0.716538,0.920814,-3558.245483,3559.318169,807896.820092,-1615.608476,1617.127042,0.000113
27,lin,0.070537,0.019775,0.019782,0.070546,-299.025403,300.073496,691357.557763,-108.314150,109.387016,0.000106
29,lin,0.757307,0.576887,0.576937,0.757313,4007.487093,-4006.543776,1319249.601355,647.909001,-647.281600,0.000197
31,exp,0.798719,0.731227,0.731240,0.774078,0.805144,0.218544,95.946979,-292.043673,293.198233,0.000198
