k,n_coprime,mean_x,var_x,skew_proxy_E_centered_x_cubed,entropy_H,H_uniform,H_relative,max_pi,min_pi,max_over_min,stddev_pi_over_mean,S_k,eps_k
5,162,0.5418010226223751,0.08274883769943908,-0.003999940904716677,4.607200224077934,5.087596335232384,-0.4803961111544499,0.045176038820007314,0.0004445840333437236,101.61417287129636,1.1645202592678243,,0.0
6,486,0.5226087661563871,0.08340819279497036,0.00032303246610239367,5.656622754999471,6.186208623900494,-0.5295858689010222,0.022670758482429436,0.0001239952267556603,182.83573550055652,1.2910796289331516,0.46616876100144666,-0.00049790566522
7,1458,0.5121235231887217,0.08575782062522169,-0.0002199685034984175,6.715096870016238,7.284820912568604,-0.569724042552366,0.011361956712597912,3.525432571920982e-05,322.2854637213176,1.406134498594294,0.4654914298362667,-0.0011752368304
8,4374,0.5005342297850536,0.08359139124520742,0.000529998078227116,7.780191325010145,8.383433201236713,-0.6032418762265674,0.005690413007178587,1.1441364055572724e-05,497.35442203737654,1.5125568777195169,0.46592112029937666,-0.00074554636729
9,13122,0.5010586564647264,0.08331246068339299,-0.00014400612348108334,8.85041221578539,9.482045489904824,-0.6316332741194337,0.0028489606195737137,3.3868911688511096e-06,841.1727680461988,1.6121210891068185,0.4666591464095103,-7.5202571564e-06
10,39366,0.5002843738857956,0.08352761111056406,4.009022109875693e-06,9.924671434325308,10.580657778572933,-0.6559863442476246,0.001425543824067316,1.0309487348705562e-06,1382.7494771079032,1.706026382464666,0.46738741758377667,0.00072075091711
11,118098,0.5003590063012646,0.08335609110414599,-9.792635087369633e-06,11.002233893468174,11.679270067241042,-0.6770361737728674,0.0007131898842321007,3.074057932534063e-07,2320.027468201262,1.795170866552255,0.46816863367876665,0.0015019670121
12,354294,0.5000574512792108,0.08341878372253592,2.2455753692279812e-05,12.082527001514137,12.777882355909153,-0.6953553543950157,0.0003567537466651662,9.956898076727097e-08,3582.980803017657,1.8802303122337942,0.4689413803872667,0.0022747137206
