k,L1,L2,Linf,TV
5,0.47129765584120786,0.0024800618983378407,0.00033609712169031146,0.23564882792060393
6,0.41386096426967806,0.002296416393600575,0.00032565531253288987,0.20693048213483903
7,0.3618896204202297,0.0020970512640591274,0.0003099967231565328,0.18094481021011485
8,0.31135408103488166,0.0018764091283547,0.0002865017342308626,0.15567704051744083
9,0.26113993997143814,0.0016256720774875234,0.00025123668668095456,0.13056996998571907
10,0.20986150594060574,0.0013279073082764726,0.00019835998843546442,0.10493075297030287
11,0.15134137885014692,0.0009393593238576191,0.0001474339882208913,0.07567068942507346
