k,L1,L2,Linf,TV,max_pi_k,rel_Linf
5,1.5195093447384345e-16,2.4030002677700837e-17,1.3877787807814457e-17,7.597546723692172e-17,0.045176038820007314,3.0719355149987916e-16
6,1.8832591736073212e-16,1.598352670720967e-17,6.938893903907228e-18,9.416295868036606e-17,0.022670758482429436,3.060724196451166e-16
7,3.721320669149153e-16,2.233451232755696e-17,6.938893903907228e-18,1.8606603345745765e-16,0.011361956712597912,6.10712932589641e-16
8,4.425272810953257e-16,1.7043212382430632e-17,6.938893903907228e-18,2.2126364054766284e-16,0.005690413007178587,1.2194007526613015e-15
9,5.083667285689288e-16,1.391055989715077e-17,4.336808689942018e-18,2.541833642844644e-16,0.0028489606195737137,1.5222424136529232e-15
10,4.879657282760722e-16,6.7847113866770614e-18,1.0842021724855044e-18,2.439828641380361e-16,0.001425543824067316,7.605533791252334e-16
11,4.930736016458116e-16,4.181665300738542e-18,8.673617379884035e-19,2.465368008229058e-16,0.0007131898842321007,1.2161722385088249e-15
