k,eps,X_km1,X_k,S_k,eps_k,n_perturbed_k,n_perturbed_km1,n_full_leak_k,n_full_leak_km1
5,-0.05,4.637981555916041e+00,5.274014277163875e+00,6.360327212478341e-01,+1.693661e-01,155,47,52,20
5,-0.02,2.578089073174464e+00,4.187927815634090e+00,1.609838742459626e+00,+1.143172e+00,145,37,66,33
5,-0.01,4.905634688916686e+00,4.039526282006681e+00,-8.661084069100058e-01,-1.332775e+00,128,20,66,20
5,-0.005,3.068646231616264e+00,2.818475039686863e+00,-2.501711919294007e-01,-7.168379e-01,95,0,95,0
5,-0.002,3.068646231616264e+00,3.534161151367801e+00,4.655149197515374e-01,-1.151747e-03,0,0,0,0
5,-0.001,3.068646231616264e+00,3.534161151367801e+00,4.655149197515374e-01,-1.151747e-03,0,0,0,0
5,0.0,3.068646231616264e+00,3.534161151367801e+00,4.655149197515374e-01,-1.151747e-03,0,0,0,0
5,0.001,3.068646231616264e+00,3.534161151367801e+00,4.655149197515374e-01,-1.151747e-03,0,0,0,0
5,0.002,3.068646231616264e+00,3.534161151367801e+00,4.655149197515374e-01,-1.151747e-03,0,0,0,0
5,0.005,3.068646231616264e+00,1.944965151287156e+00,-1.123681080329108e+00,-1.590348e+00,96,0,0,0
5,0.01,1.981966526025026e+00,4.514634651207519e+00,2.532668125182493e+00,+2.066001e+00,129,21,62,0
5,0.02,2.470034508523564e+01,6.082817964819032e+00,-1.861752712041660e+01,-1.908419e+01,146,38,45,4
5,0.05,7.133533407148171e+00,5.294937709993979e+00,-1.838595697154192e+00,-2.305262e+00,156,48,52,13
