k,Delta_k,log_Delta_k
5,4.9189760000e-02,-3.0120698072
6,4.0138170000e-02,-3.2154275271
7,3.3517830000e-02,-3.3956777429
8,2.8391400000e-02,-3.5616689966
9,2.4353070000e-02,-3.7150973594
10,2.1049830000e-02,-3.8608627949
11,1.8319180000e-02,-3.9998066806
12,1.6025000000e-02,-4.1336052762
13,1.4085000000e-02,-4.2626448777
