rank,lambda_real,lambda_imag,magnitude,argument_rad,amplitude_real,amplitude_imag,abs_amplitude,abs_amplitude_sq,variance_fraction
1,1.0000000000000004,0.0,1.0000000000000004,0.0,0.045360921162651426,0.0,0.045360921162651426,0.002057613168724278,1.0
2,0.0010619991974274068,0.0006138734762264252,0.0012266551838845225,0.5241127150035031,1.0083080204115191e-17,-1.503483481376383e-20,1.0083091413295702e-17,1.0166873244887752e-34,4.941100397015452e-32
3,0.0010619991974274068,-0.0006138734762264252,0.0012266551838845225,-0.5241127150035031,1.0083080204115191e-17,1.503483481376383e-20,1.0083091413295702e-17,1.0166873244887752e-34,4.941100397015452e-32
4,-1.2622328917200885e-06,0.0012255630964136898,0.0012255637464134552,1.5718262472038214,-2.200930410145574e-17,2.879912020664621e-20,2.2009322943236603e-17,4.844102964196811e-34,2.3542340405996525e-31
5,-1.2622328917200885e-06,-0.0012255630964136898,0.0012255637464134552,-1.5718262472038214,-2.200930410145574e-17,-2.879912020664621e-20,2.2009322943236603e-17,4.844102964196811e-34,2.3542340405996525e-31
6,-0.001060736964536014,0.0006116872143069588,0.0012244689281805743,2.6185098694728133,4.553649124439119e-18,1.691948312140465e-19,4.556791331563768e-18,2.07643472394147e-35,1.0091472758355554e-32
7,-0.001060736964536014,-0.0006116872143069588,0.0012244689281805743,-2.6185098694728133,4.553649124439119e-18,-1.691948312140465e-19,4.556791331563768e-18,2.07643472394147e-35,1.0091472758355554e-32
8,0.0002487291672561764,0.00018087763097401498,0.00030754335634300883,0.6287533996024494,-1.0164395367051604e-18,2.7592098256808834e-19,1.053224439708242e-18,1.1092817203987403e-36,5.391109161137883e-34
9,0.0002487291672561764,-0.00018087763097401498,0.00030754335634300883,-0.6287533996024494,-1.0164395367051604e-18,-2.7592098256808834e-19,1.053224439708242e-18,1.1092817203987403e-36,5.391109161137883e-34
10,-9.51658790178716e-05,0.00029218043698189756,0.0003072880607576168,1.8856696092741654,-1.1248597539537109e-17,7.835054762102278e-21,1.1248600268236195e-17,1.265310079945634e-34,6.149406988535786e-32
11,-9.51658790178716e-05,-0.00029218043698189756,0.0003072880607576168,-1.8856696092741654,-1.1248597539537109e-17,-7.835054762102278e-21,1.1248600268236195e-17,1.265310079945634e-34,6.149406988535786e-32
12,-0.0003071265759787874,0.0,0.0003071265759787874,3.141592653589793,-2.8189256484623115e-18,0.0,2.8189256484623115e-18,7.946341811558664e-36,3.861922120417514e-33
13,-0.00024961493757520335,0.0,0.00024961493757520335,3.141592653589793,-5.6785088783928295e-18,0.0,5.6785088783928295e-18,3.224546308198619e-35,1.5671295057845305e-32
14,-7.705731160609816e-05,0.00023737242697590642,0.00024956662108621686,1.8846901095308177,-5.014435047745458e-18,1.9090005048743794e-19,5.0180675241903734e-18,2.5181001677334105e-35,1.2237966815184388e-32
15,-7.705731160609816e-05,-0.00023737242697590642,0.00024956662108621686,-1.8846901095308177,-5.014435047745458e-18,-1.9090005048743794e-19,5.0180675241903734e-18,2.5181001677334105e-35,1.2237966815184388e-32
16,0.00020186478028448883,0.00014661293724769166,0.00024948896345870796,0.628155064649204,5.2583805365546965e-18,4.573183821785171e-19,5.278229435132167e-18,2.7859705969895634e-35,1.3539817101369292e-32
17,0.00020186478028448883,-0.00014661293724769166,0.00024948896345870796,-0.628155064649204,5.2583805365546965e-18,-4.573183821785171e-19,5.278229435132167e-18,2.7859705969895634e-35,1.3539817101369292e-32
18,0.0002473796026734088,0.0,0.0002473796026734088,0.0,-4.241940999849536e-18,0.0,4.241940999849536e-18,1.7994063446204482e-35,8.745114834855386e-33
19,7.627019757302788e-05,-0.00023521468157918974,0.00024727128718924957,-1.2572358593960282,5.1567365828841805e-18,-1.190081290892292e-19,5.1581096459890546e-18,2.660609512004533e-35,1.2930562228342043e-32
20,7.627019757302788e-05,0.00023521468157918974,0.00024727128718924957,1.2572358593960282,5.1567365828841805e-18,1.190081290892292e-19,5.1581096459890546e-18,2.660609512004533e-35,1.2930562228342043e-32
