rank,lambda_real,lambda_imag,magnitude,argument_rad,amplitude_real,amplitude_imag,abs_amplitude,abs_amplitude_sq,variance_fraction
1,1.0000000000000002,0.0,1.0000000000000002,0.0,0.026189140043946096,0.0,0.026189140043946096,0.0006858710562414209,1.0
2,0.002958917963587197,0.0,0.002958917963587197,0.0,-5.041540102057596e-18,0.0,5.041540102057596e-18,2.541712660065491e-35,3.705817058375517e-32
3,0.001842113089035995,0.0023140408395886116,0.002957729811879662,0.8984630434745275,-1.2034644114589099e-17,-1.8804131429045468e-19,1.2036113097702851e-17,1.4486801850069413e-34,2.112175709740138e-31
4,0.001842113089035995,-0.0023140408395886116,0.002957729811879662,-0.8984630434745275,-1.2034644114589099e-17,1.8804131429045468e-19,1.2036113097702851e-17,1.4486801850069413e-34,2.112175709740138e-31
5,-0.0006607396439984051,0.002880121131727785,0.002954940711854652,1.7963079320321214,-8.782037597132586e-18,9.529120656610879e-20,8.782554569799103e-18,7.713326477149911e-35,1.1246030003684664e-31
6,-0.0006607396439984051,-0.002880121131727785,0.002954940711854652,-1.7963079320321214,-8.782037597132586e-18,-9.529120656610879e-20,8.782554569799103e-18,7.713326477149911e-35,1.1246030003684664e-31
7,-0.002660832426833936,0.0012797272088483382,0.0029525803854861823,2.693300902817069,-9.18861341181465e-18,1.7893571010747095e-19,9.190355511085071e-18,8.446263442013174e-35,1.231465209845531e-31
8,-0.002660832426833936,-0.0012797272088483382,0.0029525803854861823,-2.693300902817069,-9.18861341181465e-18,-1.7893571010747095e-19,9.190355511085071e-18,8.446263442013174e-35,1.231465209845531e-31
9,0.0012100114288806035,0.0,0.0012100114288806035,0.0,-2.371692252312041e-18,0.0,2.371692252312041e-18,5.624924139676962e-36,8.201139395649079e-33
10,0.000602841084947701,0.0010479296778588682,0.0012089557408930703,1.0487601772090074,1.6059744679941534e-18,4.5908523996693036e-20,1.606630506502556e-18,2.5812615844246595e-36,3.7634793900911845e-33
11,0.000602841084947701,-0.0010479296778588682,0.0012089557408930703,-1.0487601772090074,1.6059744679941534e-18,-4.5908523996693036e-20,1.606630506502556e-18,2.5812615844246595e-36,3.7634793900911845e-33
12,-0.0006050591157991886,0.001044091656104752,0.0012067410326823478,2.096011636361831,4.343584953520052e-18,1.0984958534704208e-21,4.343585092425257e-18,1.886673145513893e-35,2.750769446159279e-32
13,-0.0006050591157991886,-0.001044091656104752,0.0012067410326823478,-2.096011636361831,4.343584953520052e-18,-1.0984958534704208e-21,4.343585092425257e-18,1.886673145513893e-35,2.750769446159279e-32
14,-0.0012055753561456928,0.0,0.0012055753561456928,3.141592653589793,-1.0028870095490916e-18,0.0,1.0028870095490916e-18,1.0057823539223197e-36,1.4664306720187543e-33
15,-0.0010508598788852303,0.0,0.0010508598788852303,3.141592653589793,-8.287370355936075e-18,0.0,8.287370355936075e-18,6.868050741644802e-35,1.0013617981318204e-31
16,-0.0005230827407698747,-0.0009100092362518074,0.0010496343952800526,-2.0924880788045384,-5.692061405548898e-18,-3.067847455836669e-20,5.692144078758067e-18,3.240050421334052e-35,4.723993514305087e-32
17,-0.0005230827407698747,0.0009100092362518074,0.0010496343952800526,2.0924880788045384,-5.692061405548898e-18,3.067847455836669e-20,5.692144078758067e-18,3.240050421334052e-35,4.723993514305087e-32
18,0.0005253254762562953,-0.0009061281966840907,0.0010473944647695374,-1.0454015608361196,4.797594613248357e-18,5.276750563598274e-20,4.797884792564396e-18,2.3019698482720697e-35,3.3562720387807055e-32
19,0.0005253254762562953,0.0009061281966840907,0.0010473944647695374,1.0454015608361196,4.797594613248357e-18,-5.276750563598274e-20,4.797884792564396e-18,2.3019698482720697e-35,3.3562720387807055e-32
20,0.0010463743968964722,0.0,0.0010463743968964722,0.0,5.468444707473763e-18,0.0,5.468444707473763e-18,2.990388751869781e-35,4.3599868002261767e-32
