rank_at_k5,lambda_at_k5,|a_5|^2,j_match_at_k6,overlap_56,lambda_at_k6,|a_6|^2,j_match_at_k7,overlap_67,lambda_at_k7,|a_7|^2,trend_5_to_7
1,0.9999999999999998,0.006172839506172838,1,1.0,1.0000000000000004,0.002057613168724278,1,0.9999999999999901,1.0000000000000002,0.0006858710562414209,decaying
2,0.00034281895503318594,1.2956768932503582e-33,2,0.9999993125362183,0.0012266551838845225,1.0166873244887752e-34,3,0.9999373418548586,0.002957729811879662,1.4486801850069413e-34,non-monotone
3,0.00034277990339876083,3.979947821916195e-34,4,0.999999378878815,0.0012255637464134552,4.844102964196811e-34,5,0.9999375360738924,0.002954940711854652,7.713326477149911e-35,non-monotone
4,0.00034277990339876083,3.979947821916195e-34,5,0.999999378878815,0.0012255637464134552,4.844102964196811e-34,6,0.9999375360738924,0.002954940711854652,7.713326477149911e-35,non-monotone
5,0.0003427164101354106,1.2957814515948998e-33,6,0.9999994142016296,0.0012244689281805743,2.07643472394147e-35,7,0.9999375934451672,0.0029525803854861823,8.446263442013174e-35,non-monotone
6,0.0003427164101354106,1.2957814515948998e-33,7,0.9999994142016296,0.0012244689281805743,2.07643472394147e-35,8,0.9999375934451672,0.0029525803854861823,8.446263442013174e-35,non-monotone
7,5.208650487655234e-05,1.986585547169027e-34,7,0.6986956456722608,0.0012244689281805743,2.07643472394147e-35,8,0.9999375934451672,0.0029525803854861823,8.446263442013174e-35,non-monotone
8,5.208650487655234e-05,1.986585547169027e-34,6,0.6986956456722608,0.0012244689281805743,2.07643472394147e-35,7,0.9999375934451672,0.0029525803854861823,8.446263442013174e-35,non-monotone
9,5.2080777583423665e-05,7.530147934745455e-35,6,0.6987754951344051,0.0012244689281805743,2.07643472394147e-35,7,0.9999375934451672,0.0029525803854861823,8.446263442013174e-35,non-monotone
10,5.2080777583423665e-05,7.530147934745455e-35,7,0.6987754951344051,0.0012244689281805743,2.07643472394147e-35,8,0.9999375934451672,0.0029525803854861823,8.446263442013174e-35,non-monotone
11,4.460487238256253e-05,3.979753674143937e-34,16,0.4098540208457939,0.00024948896345870796,2.7859705969895634e-35,20,0.8778440395389011,0.0010463743968964722,2.990388751869781e-35,non-monotone
12,4.460351118551231e-05,9.763912415552233e-34,17,0.41049249741588795,0.00024948896345870796,2.7859705969895634e-35,20,0.8778440395389011,0.0010463743968964722,2.990388751869781e-35,non-monotone
13,4.460351118551231e-05,9.763912415552233e-34,16,0.41049249741588795,0.00024948896345870796,2.7859705969895634e-35,20,0.8778440395389011,0.0010463743968964722,2.990388751869781e-35,non-monotone
14,4.4602147895189745e-05,1.58174519846647e-34,16,0.40730122122568313,0.00024948896345870796,2.7859705969895634e-35,20,0.8778440395389011,0.0010463743968964722,2.990388751869781e-35,non-monotone
15,3.5220052951387874e-05,1.3710966107991161e-34,8,0.5520256262233536,0.00030754335634300883,1.1092817203987403e-36,20,0.6863318071840849,0.0010463743968964722,2.990388751869781e-35,non-monotone
16,3.521501159581156e-05,2.238828661352971e-34,8,0.5517473260185801,0.00030754335634300883,1.1092817203987403e-36,20,0.6863318071840849,0.0010463743968964722,2.990388751869781e-35,non-monotone
17,3.521501159581156e-05,2.238828661352971e-34,9,0.5517473260185801,0.00030754335634300883,1.1092817203987403e-36,20,0.6863318071840849,0.0010463743968964722,2.990388751869781e-35,non-monotone
18,3.520996451571449e-05,1.2714146898493862e-34,8,0.5515256662445363,0.00030754335634300883,1.1092817203987403e-36,20,0.6863318071840849,0.0010463743968964722,2.990388751869781e-35,non-monotone
19,2.431735990965785e-06,1.5591757069306822e-34,18,0.49770628890634444,0.0002473796026734088,1.7994063446204482e-35,15,0.9352402421697826,0.0010508598788852303,6.868050741644802e-35,non-monotone
20,2.431735990965785e-06,1.5591757069306822e-34,18,0.49770628890634444,0.0002473796026734088,1.7994063446204482e-35,15,0.9352402421697826,0.0010508598788852303,6.868050741644802e-35,non-monotone
