r,b,v_PF,P_r,P_b_given_r
1,0,0.04855783612935842,0.09352455713807953,0.5191987817452874
1,1,0.0,0.09352455713807953,0.0
1,2,0.0,0.09352455713807953,0.0
1,3,0.0,0.09352455713807953,0.0
1,4,0.0,0.09352455713807953,0.0
1,5,0.0,0.09352455713807953,0.0
1,6,0.0,0.09352455713807953,0.0
1,7,0.0,0.09352455713807953,0.0
1,8,0.0,0.09352455713807953,0.0
1,9,0.0,0.09352455713807953,0.0
1,10,0.0036047345539901095,0.09352455713807953,0.0385431876321861
1,11,0.0006505985400553988,0.09352455713807953,0.006956446092493718
1,12,0.008273844827618098,0.09352455713807953,0.08846708373505159
1,13,0.00042129038803437574,0.09352455713807953,0.0045045964495975446
1,14,0.0006202262398713131,0.09352455713807953,0.0066316939513074834
1,15,0.024557749475372856,0.09352455713807953,0.2625807619609022
1,16,0.0006599363554839427,0.09352455713807953,0.007056289553016686
1,17,0.000979106502196669,0.09352455713807953,0.010468977690545143
1,18,0.0017412598417013811,0.09352455713807953,0.018618209965224293
1,19,0.0008180300084489862,0.09352455713807953,0.008746686789879665
1,20,0.0004680444686966128,0.09352455713807953,0.0050045087944719435
1,21,0.0003919508733595243,0.09352455713807953,0.004190887242383287
1,22,0.0003048237689214814,0.09352455713807953,0.0032592912305528486
1,23,0.0004421723946288067,0.09352455713807953,0.004727874775990481
1,24,0.00020487095785097582,0.09352455713807953,0.0021905579039364453
1,25,0.00020711530901779097,0.09352455713807953,0.0022145553569636925
1,26,0.00011758562745926126,0.09352455713807953,0.0012572700802598615
1,27,0.00012133894213378925,0.09352455713807953,0.0012974019428356619
1,28,0.00008752127175358765,0.09352455713807953,0.000935810598112444
1,29,0.00006448074212165684,0.09352455713807953,0.0006894525255699159
1,30,0.00004866262749727554,0.09352455713807953,0.0005203192507549659
1,31,0.000037403421334412944,0.09352455713807953,0.00039993155251396255
1,32,0.000030025979593993824,0.09352455713807953,0.0003210491502211928
1,33,0.000023276226665739457,0.09352455713807953,0.0002488782345301509
1,34,0.000019691809116267342,0.09352455713807953,0.00021055228400808552
1,35,0.000014701261610687202,0.09352455713807953,0.00015719145923334638
1,36,0.000011888104451877119,0.09352455713807953,0.00012711211702746197
1,37,9.212064235295693e-6,0.09352455713807953,0.00009849888111947982
1,38,7.291005241741827e-6,0.09352455713807953,0.00007795819049939362
1,39,5.836908928308607e-6,0.09352455713807953,0.00006241044178045134
1,40,4.635709582096184e-6,0.09352455713807953,0.00004956676325397647
1,41,3.7101155064501086e-6,0.09352455713807953,0.00003966996070318194
1,42,2.9390940124895484e-6,0.09352455713807953,0.00003142590676104752
1,43,2.276180790047752e-6,0.09352455713807953,0.000024337787418626336
1,44,1.807573191918977e-6,0.09352455713807953,0.000019327257430904254
1,45,1.439853021145749e-6,0.09352455713807953,0.000015395454041230605
1,46,1.1306862511735677e-6,0.09352455713807953,0.000012089725797944427
1,47,8.971057115093033e-7,0.09352455713807953,9.592194167621853e-6
1,48,7.021079003795439e-7,0.09352455713807953,7.507203689218787e-6
1,49,5.566656008809272e-7,0.09352455713807953,5.9520795170306646e-6
1,50,4.3829575889803245e-7,0.09352455713807953,4.686424317956761e-6
1,51,3.423642907572829e-7,0.09352455713807953,3.660688713573022e-6
1,52,2.67994349516638e-7,0.09352455713807953,2.865497124150735e-6
1,53,2.1108249750401365e-7,0.09352455713807953,2.2569740393677755e-6
1,54,1.6334401157063773e-7,0.09352455713807953,1.7465360603576754e-6
1,55,1.2605321988152466e-7,0.09352455713807953,1.3478087866849758e-6
1,56,9.718853789918987e-8,0.09352455713807953,1.0391766705262326e-6
1,57,7.387150297191666e-8,0.09352455713807953,7.898620986021123e-7
1,58,5.690419442980153e-8,0.09352455713807953,6.084412070060729e-7
1,59,4.368351090919903e-8,0.09352455713807953,4.670806496811822e-7
1,60,3.357715766702804e-8,0.09352455713807953,3.5901969166723526e-7
1,61,2.566968500866685e-8,0.09352455713807953,2.744699979789069e-7
1,62,1.9976415018653978e-8,0.09352455713807953,2.1359539814939543e-7
1,63,1.510608271901535e-8,0.09352455713807953,1.61519959904357e-7
1,64,1.1303101360043704e-8,0.09352455713807953,1.2085704232050861e-7
1,65,8.704626534711163e-9,0.09352455713807953,9.307316496414588e-8
1,66,6.6439700883782e-9,0.09352455713807953,7.103984548752315e-8
1,67,4.1891141367504975e-9,0.09352455713807953,4.479159554389223e-8
1,68,3.0614428311726333e-9,0.09352455713807953,3.2734106686575626e-8
1,69,2.3262548808317985e-9,0.09352455713807953,2.4873198569626147e-8
1,70,1.8108810148614244e-9,0.09352455713807953,1.936262592709038e-8
