order,n_eq,r2,ss_res,alphas (comma-sep),roots (comma-sep)
1,10,0.679214,4.1347e-05,0.0467194341,(+0.046719+0.000000j)
2,9,0.892353,3.1679e-06,"0.4641382848,-0.0474278419","(+0.312245+0.000000j),(+0.151893+0.000000j)"
3,8,0.797095,2.1281e-06,"1.1357421039,-0.2922585185,0.0305094949","(+0.826934+0.000000j),(+0.154404+0.114255j),(+0.154404-0.114255j)"
4,7,0.664364,2.0220e-06,"1.2519398587,-0.5216783676,0.0735867997,-0.0071071560","(+0.551090+0.178123j),(+0.551090-0.178123j),(+0.074880+0.124825j),(+0.074880-0.124825j)"
