bracket,rank,r_2,r_3,P,Q,P_minus_Q,z_cell
"A:[1,100]",1,17,17,1.076386e-01,1.451034e-02,+9.312828e-02,173.6116
"A:[1,100]",2,5,5,9.447133e-02,1.140520e-02,+8.306613e-02,174.6660
"A:[1,100]",3,13,13,8.453637e-02,7.847123e-03,+7.668925e-02,194.4084
"A:[1,100]",4,11,11,7.581106e-02,6.748549e-03,+6.906251e-02,188.7874
"A:[1,100]",5,29,29,5.322440e-02,3.952673e-03,+4.927173e-02,175.9901
"B:(100,1e4]",1,9,56,1.824143e-02,3.214889e-03,+1.502654e-02,118.4502
"B:(100,1e4]",2,7,22,1.417165e-02,2.320048e-03,+1.185160e-02,109.9736
"B:(100,1e4]",3,7,20,1.635422e-02,5.361406e-03,+1.099281e-02,67.1010
"B:(100,1e4]",4,9,71,1.624409e-02,5.431401e-03,+1.081269e-02,65.5749
"B:(100,1e4]",5,27,8,1.148850e-02,1.555162e-03,+9.933337e-03,112.5815
"C:(1e4,1e6]",1,17,80,5.833463e-03,5.172759e-03,+6.607041e-04,4.5989
"C:(1e4,1e6]",2,17,71,4.792058e-03,4.141110e-03,+6.509479e-04,5.0641
"C:(1e4,1e6]",3,5,26,4.564625e-03,3.979176e-03,+5.854485e-04,4.6462
"C:(1e4,1e6]",4,17,20,3.467359e-03,4.036952e-03,-5.695929e-04,-4.4880
"C:(1e4,1e6]",5,25,71,3.447409e-03,3.997171e-03,-5.497617e-04,-4.3532
"D:(1e6,1e9]",1,29,80,6.749132e-03,6.442797e-03,+3.063348e-04,2.1645
"D:(1e6,1e9]",2,15,80,6.189554e-03,6.456918e-03,-2.673644e-04,-1.8871
"D:(1e6,1e9]",3,21,26,4.445536e-03,4.650533e-03,-2.049974e-04,-1.7049
"D:(1e6,1e9]",4,23,10,1.986502e-03,2.182262e-03,-1.957604e-04,-2.3767
"D:(1e6,1e9]",5,29,47,1.414489e-03,1.601193e-03,-1.867039e-04,-2.6463
E:>1e9,1,25,80,8.564120e-03,9.083195e-03,-5.190755e-04,-1.7890
E:>1e9,2,23,80,8.832907e-03,9.336032e-03,-5.031250e-04,-1.7104
E:>1e9,3,1,80,8.814370e-03,9.298174e-03,-4.838041e-04,-1.6480
E:>1e9,4,17,71,5.848441e-03,5.368872e-03,+4.795687e-04,2.1498
E:>1e9,5,1,76,2.650799e-03,2.214807e-03,+4.359915e-04,3.0430
BE_aggregate,1,9,56,5.977606e-03,2.512063e-03,+3.465543e-03,64.8612
BE_aggregate,2,7,22,4.111593e-03,1.414729e-03,+2.696864e-03,67.2592
BE_aggregate,3,7,20,7.087895e-03,4.693149e-03,+2.394746e-03,32.7911
BE_aggregate,4,9,71,7.139034e-03,4.748215e-03,+2.390819e-03,32.5470
BE_aggregate,5,27,8,3.484285e-03,1.181966e-03,+2.302319e-03,62.8192
BE_aggregate,6,25,40,5.307114e-03,3.076285e-03,+2.230829e-03,37.7296
BE_aggregate,7,15,13,4.290012e-03,2.171718e-03,+2.118293e-03,42.6396
BE_aggregate,8,11,26,6.564002e-03,4.542488e-03,+2.021514e-03,28.1358
BE_aggregate,9,27,74,4.515024e-03,2.548975e-03,+1.966049e-03,36.5292
BE_aggregate,10,11,71,6.371946e-03,4.545381e-03,+1.826565e-03,25.4144
