n,k,D_n_k_weighted,D_n_k_renorm,weight_used
0,1,1.9999919999999998,1.9999999999999998,0.999996
0,2,5.999975999999999,5.999999999999999,0.999996
0,3,17.999927999999997,17.999999999999996,0.999996
0,4,53.999784,54.0,0.999996
0,5,161.999352,162.0,0.999996
1,1,0.0061016312181122485,0.0061016556247347475,0.999996
1,2,0.07326272690051021,0.07326301995259002,0.999996
1,3,0.7284387686670917,0.7284416824338215,0.999996
1,4,3.6155982535714286,3.6156127160222926,0.999996
1,5,10.846794760714285,10.846838148066878,0.999996
2,1,0.00048474149668716504,0.0004847434356609077,0.999996
2,2,0.019403363963763794,0.019403441577530104,0.999996
2,3,0.1260851992562851,0.1260857035990995,0.999996
2,4,0.6526116538187926,0.6526142642758497,0.999996
2,5,1.9224835910162272,1.9224912809813512,0.999996
3,1,8.97426730838176e-05,8.974303205594583e-05,0.999996
3,2,0.0021660916241608647,0.002166100288562019,0.999996
3,3,0.06192655272153183,0.061926800428733546,0.999996
3,4,0.13146642944728273,0.131466955315104,0.999996
3,5,0.684465949208001,0.6844686870827493,0.999996
4,1,5.857889315979676e-05,5.857912747630667e-05,0.999996
4,2,0.00302405436632119,0.0030240664625870405,0.999996
4,3,0.033184527741151104,0.03318466047979302,0.999996
4,4,0.08428149444835528,0.08428183157568159,0.999996
4,5,0.1503561944517001,0.15035679587888362,0.999996
5,1,4.054608183478287e-05,4.054624401975895e-05,0.999996
5,2,0.001360363694549491,0.001360369136026035,0.999996
5,3,0.013619513589744028,0.0136195680680163,0.999996
5,4,0.015923176685892743,0.01592324037885426,0.999996
5,5,0.06299966469240884,0.06299991669207561,0.999996
6,1,3.591502551943738e-05,3.5915169180114095e-05,0.999996
6,2,0.0006857118520850072,0.000685714594943387,0.999996
6,3,0.003347656743869555,0.0033476701345500934,0.999996
6,4,0.011294917974320088,0.011294963154172704,0.999996
6,5,0.026040365163444237,0.026040469325321537,0.999996
7,1,1.7621497702245268e-05,1.762156818851802e-05,0.999996
7,2,0.00026060017292540397,0.0002606012153302653,0.999996
7,3,0.002981642065763701,0.0029816539923796705,0.999996
7,4,0.004983597499578338,0.0049836174340480745,0.999996
7,5,0.013443660845452943,0.013443714620311424,0.999996
8,1,2.2166024532836894e-05,2.2166113197289684e-05,0.999996
8,2,0.00034606829994998677,0.0003460696842287237,0.999996
8,3,0.0007215683740305141,0.0007215712603155554,0.999996
8,4,0.0025266786451392785,0.002526688751894286,0.999996
8,5,0.008392975273664007,0.00839300884569939,0.999996
9,1,8.58547349124801e-06,8.585507833279343e-06,0.999996
9,2,0.00014044410121697375,0.00014044466299562572,0.999996
9,3,0.00044634437851971405,0.00044634616390436965,0.999996
9,4,0.0014806140433520287,0.001480619965831892,0.999996
9,5,0.005905427622157961,0.005905451243962937,0.999996
10,1,6.75289713870998e-06,6.752924150406582e-06,0.999996
10,2,3.023747823532694e-05,3.023759918572368e-05,0.999996
10,3,0.0003735806343431805,0.0003735821286716952,0.999996
10,4,0.0013343845289623241,0.0013343898665217901,0.999996
10,5,0.002809762275955591,0.0028097735150496516,0.999996
