q,n_conv,pooled_slope,pooled_intercept,K_pred,E_v_emp,odd_steps_mean,sigma_mean
3,500000,10.390037963847924,4.445609574833535,10.610236182131793,1.9917577932884245,45.99278,137.599258
5,32785,12.939340173111866,-52.662826296614064,9.808951624524147,2.8947684256582527,42.594570687814546,165.8959890193686
7,258,3.2890380518501563,-6.054409201336417,2.8962632765495036,6.5862295081967215,5.910852713178294,44.84108527131783
