from_state,to_state,K_derived,K_empirical,diff
(1|0),(1|0),0.166700,0.000000,+0.166700
(1|6),(1|6),0.166700,0.000000,+0.166700
(1|6),(9|5),0.083435,0.000000,+0.083435
(1|6),(9|6),0.166871,0.170114,-0.003243
(1|6),(17|5),0.083388,0.829886,-0.746498
(1|6),(17|6),0.166776,0.000000,+0.166776
(1|6),(25|6),0.166320,0.000000,+0.166320
(1|7),(1|6),0.083350,0.000000,+0.083350
(1|7),(1|7),0.166700,0.000000,+0.166700
(1|7),(9|6),0.083435,0.000000,+0.083435
(1|7),(9|7),0.166871,0.000000,+0.166871
(1|7),(17|6),0.083388,0.000000,+0.083388
(1|7),(17|7),0.166776,0.075168,+0.091608
(1|7),(25|6),0.083160,0.924832,-0.841672
(1|7),(25|7),0.166320,0.000000,+0.166320
(1|8),(1|7),0.083350,0.129502,-0.046152
(1|8),(1|8),0.166700,0.019305,+0.147395
(1|8),(9|7),0.083435,0.000000,+0.083435
(1|8),(9|8),0.166871,0.453511,-0.286640
(1|8),(17|7),0.083388,0.000000,+0.083388
(1|8),(17|8),0.166776,0.340289,-0.173513
(1|8),(25|7),0.083160,0.057392,+0.025768
(1|8),(25|8),0.166320,0.000000,+0.166320
(1|9),(1|8),0.083350,0.065874,+0.017476
(1|9),(1|9),0.166700,0.024906,+0.141794
(1|9),(9|8),0.083435,0.000000,+0.083435
(1|9),(9|9),0.166871,0.019743,+0.147127
(1|9),(17|8),0.083388,0.810038,-0.726650
(1|9),(17|9),0.166776,0.027286,+0.139490
(1|9),(25|8),0.083160,0.043188,+0.039972
(1|9),(25|9),0.166320,0.008965,+0.157355
(1|10),(1|9),0.083350,0.128418,-0.045068
(1|10),(1|10),0.166700,0.085072,+0.081628
(1|10),(9|9),0.083435,0.014948,+0.068487
(1|10),(9|10),0.166871,0.279424,-0.112553
(1|10),(17|9),0.083388,0.139080,-0.055692
(1|10),(17|10),0.166776,0.230853,-0.064077
(1|10),(25|9),0.083160,0.072875,+0.010285
(1|10),(25|10),0.166320,0.049330,+0.116990
(1|11),(1|10),0.083350,0.155651,-0.072301
(1|11),(1|11),0.166700,0.104573,+0.062127
(1|11),(9|10),0.083435,0.032092,+0.051343
(1|11),(9|11),0.166871,0.097917,+0.068954
(1|11),(17|10),0.083388,0.225466,-0.142078
(1|11),(17|11),0.166776,0.149536,+0.017240
(1|11),(25|10),0.083160,0.113916,-0.030756
(1|11),(25|11),0.166320,0.120849,+0.045471
(1|12),(1|11),0.083350,0.106357,-0.023007
(1|12),(1|12),0.166700,0.141124,+0.025576
(1|12),(9|11),0.083435,0.107858,-0.024423
(1|12),(9|12),0.166871,0.115532,+0.051339
(1|12),(17|11),0.083388,0.117981,-0.034593
(1|12),(17|12),0.166776,0.133508,+0.033268
(1|12),(25|11),0.083160,0.140297,-0.057137
(1|12),(25|12),0.166320,0.137343,+0.028977
(1|13),(1|12),0.083350,0.050524,+0.032826
(1|13),(1|13),0.166700,0.133967,+0.032733
(1|13),(9|12),0.083435,0.073667,+0.009769
(1|13),(9|13),0.166871,0.139094,+0.027777
(1|13),(17|12),0.083388,0.105316,-0.021928
(1|13),(17|13),0.166776,0.308738,-0.141962
(1|13),(25|12),0.083160,0.099603,-0.016443
(1|13),(25|13),0.166320,0.089091,+0.077229
(1|14),(1|13),0.083350,0.104649,-0.021299
(1|14),(1|14),0.166700,0.130056,+0.036644
(1|14),(9|13),0.083435,0.098658,-0.015222
(1|14),(9|14),0.166871,0.237861,-0.070991
(1|14),(17|13),0.083388,0.076553,+0.006835
(1|14),(17|14),0.166776,0.140232,+0.026544
(1|14),(25|13),0.083160,0.105146,-0.021986
(1|14),(25|14),0.166320,0.106846,+0.059474
(1|15),(1|14),0.083350,0.101223,-0.017873
(1|15),(1|15),0.166700,0.135987,+0.030713
(1|15),(9|14),0.083435,0.093789,-0.010353
(1|15),(9|15),0.166871,0.141679,+0.025192
(1|15),(17|14),0.083388,0.118082,-0.034694
(1|15),(17|15),0.166776,0.131267,+0.035509
(1|15),(25|14),0.083160,0.113722,-0.030562
(1|15),(25|15),0.166320,0.164252,+0.002068
(1|16),(1|15),0.083350,0.099949,-0.016599
(1|16),(1|16),0.166700,0.139331,+0.027369
(1|16),(9|15),0.083435,0.086132,-0.002697
(1|16),(9|16),0.166871,0.135662,+0.031209
(1|16),(17|15),0.083388,0.101403,-0.018015
(1|16),(17|16),0.166776,0.146495,+0.020281
(1|16),(25|15),0.083160,0.106279,-0.023119
(1|16),(25|16),0.166320,0.184748,-0.018428
(1|17),(1|16),0.083350,0.150928,-0.067578
(1|17),(1|17),0.166700,0.140869,+0.025831
(1|17),(9|16),0.083435,0.099122,-0.015687
(1|17),(9|17),0.166871,0.143067,+0.023803
(1|17),(17|16),0.083388,0.087475,-0.004087
(1|17),(17|17),0.166776,0.146933,+0.019843
(1|17),(25|16),0.083160,0.094396,-0.011236
(1|17),(25|17),0.166320,0.137211,+0.029109
(1|18),(1|17),0.083350,0.106376,-0.023026
(1|18),(1|18),0.166700,0.140940,+0.025760
(1|18),(9|17),0.083435,0.092719,-0.009284
(1|18),(9|18),0.166871,0.158765,+0.008105
(1|18),(17|17),0.083388,0.102941,-0.019553
(1|18),(17|18),0.166776,0.138441,+0.028335
(1|18),(25|17),0.083160,0.098362,-0.015202
(1|18),(25|18),0.166320,0.161456,+0.004864
(1|19),(1|18),0.083350,0.107485,-0.024135
(1|19),(1|19),0.166700,0.142802,+0.023898
(1|19),(9|18),0.083435,0.096646,-0.013211
(1|19),(9|19),0.166871,0.149410,+0.017460
(1|19),(17|18),0.083388,0.101686,-0.018298
(1|19),(17|19),0.166776,0.149957,+0.016819
(1|19),(25|18),0.083160,0.103661,-0.020501
(1|19),(25|19),0.166320,0.148353,+0.017967
(1|20),(1|19),0.083350,0.102068,-0.018718
(1|20),(1|20),0.166700,0.142787,+0.023913
(1|20),(9|19),0.083435,0.110471,-0.027036
(1|20),(9|20),0.166871,0.141733,+0.025138
(1|20),(17|19),0.083388,0.106504,-0.023116
(1|20),(17|20),0.166776,0.147446,+0.019330
(1|20),(25|19),0.083160,0.101172,-0.018012
(1|20),(25|20),0.166320,0.147818,+0.018502
(1|21),(1|20),0.083350,0.105655,-0.022305
(1|21),(1|21),0.166700,0.147964,+0.018736
(1|21),(9|20),0.083435,0.103926,-0.020491
(1|21),(9|21),0.166871,0.144349,+0.022521
(1|21),(17|20),0.083388,0.103711,-0.020323
(1|21),(17|21),0.166776,0.146665,+0.020111
(1|21),(25|20),0.083160,0.103425,-0.020265
(1|21),(25|21),0.166320,0.144305,+0.022015
(1|22),(1|21),0.083350,0.102611,-0.019261
(1|22),(1|22),0.166700,0.142904,+0.023796
(1|22),(9|21),0.083435,0.102118,-0.018683
(1|22),(9|22),0.166871,0.148962,+0.017909
(1|22),(17|21),0.083388,0.105395,-0.022007
(1|22),(17|22),0.166776,0.142211,+0.024565
(1|22),(25|21),0.083160,0.100891,-0.017731
(1|22),(25|22),0.166320,0.154908,+0.011412
(1|23),(1|22),0.083350,0.102554,-0.019204
(1|23),(1|23),0.166700,0.147210,+0.019490
(1|23),(9|22),0.083435,0.102875,-0.019440
(1|23),(9|23),0.166871,0.144069,+0.022802
(1|23),(17|22),0.083388,0.107073,-0.023685
(1|23),(17|23),0.166776,0.148700,+0.018076
(1|23),(25|22),0.083160,0.101550,-0.018390
(1|23),(25|23),0.166320,0.145969,+0.020351
(1|24),(1|23),0.083350,0.102156,-0.018806
(1|24),(1|24),0.166700,0.146013,+0.020687
(1|24),(9|23),0.083435,0.106448,-0.023013
(1|24),(9|24),0.166871,0.142461,+0.024410
(1|24),(17|23),0.083388,0.105342,-0.021954
(1|24),(17|24),0.166776,0.148318,+0.018458
(1|24),(25|23),0.083160,0.103813,-0.020653
(1|24),(25|24),0.166320,0.145449,+0.020871
(1|25),(1|24),0.083350,0.106651,-0.023301
(1|25),(1|25),0.166700,0.144722,+0.021978
(1|25),(9|24),0.083435,0.102888,-0.019453
(1|25),(9|25),0.166871,0.146234,+0.020636
(1|25),(17|24),0.083388,0.101399,-0.018011
(1|25),(17|25),0.166776,0.147818,+0.018958
(1|25),(25|24),0.083160,0.104618,-0.021458
(1|25),(25|25),0.166320,0.145670,+0.020650
(1|26),(1|25),0.083350,0.105279,-0.021929
(1|26),(1|26),0.166700,0.145697,+0.021003
