n,k,vertex_count,D_n_k,phi_3k
0,1,1,1.9999999999999998,2
0,2,1,5.999999999999999,6
0,3,1,17.999999999999996,18
0,4,1,54.0,54
0,5,1,162.0,162
1,1,14,0.010204081632653073,2
1,2,14,0.09183673469387754,6
1,3,14,0.8265306122448979,18
1,4,14,3.8571428571428568,54
1,5,14,11.57142857142857,162
2,1,71,0.00039674667724657703,2
2,2,71,0.008331680222178141,6
2,3,71,0.05713152152350723,18
2,4,71,0.49275937314024987,54
2,5,71,2.2495536599880976,162
3,1,245,3.331945022907111e-05,2
3,2,245,0.0013994169096209924,6
3,3,245,0.03178675551853393,18
3,4,245,0.12054977092877964,54
3,5,245,0.793469387755102,162
4,1,738,3.304911097891412e-05,2
4,2,738,0.0022142904355872796,6
4,3,738,0.035726088968206754,18
4,4,738,0.09676779694626213,54
4,5,738,0.16270077334919691,162
5,1,1953,1.8876784151052092e-05,2
5,2,1953,0.0009344008154770758,6
5,3,1953,0.019079709580675834,18
5,4,1953,0.024690833669576053,54
5,5,1953,0.07955148760857099,162
6,1,4025,2.0863392616026143e-05,2
6,2,4025,0.0011188457235446149,6
6,3,4025,0.0045098260097990025,18
6,4,4025,0.01468610007329964,54
6,5,4025,0.0331187222715173,162
7,1,8543,1.3427812334374094e-06,2
7,2,8543,0.00045462736046382603,6
7,3,8543,0.0034804889570699015,18
7,4,8543,0.0069580183146865085,54
7,5,8543,0.015122813306452314,162
8,1,14438,9.853405692958298e-06,2
8,2,14438,0.0007757326294963463,6
8,3,14438,0.0009926706588278711,18
8,4,14438,0.002530636656077628,54
8,5,14438,0.006342264024029951,162
9,1,26563,1.4977473507109259e-05,2
9,2,26563,0.00022939004087496785,6
9,3,26563,0.0006647515219216978,18
9,4,26563,0.0011871546866278368,54
9,5,26563,0.009779791328958096,162
10,1,38903,1.1775795443700013e-05,2
10,2,38903,2.221688620799972e-05,6
10,3,38903,0.00018218322426881035,18
10,4,38903,0.0025426084497884235,54
10,5,38903,0.003958899265324297,162
