q,tau_q,D_q,R2
-5.00,-11.274519,1.879086,0.910788
-4.00,-9.032164,1.806433,0.919606
-3.00,-6.772709,1.693177,0.934719
-2.00,-4.500086,1.500029,0.962235
-1.00,-2.364188,1.182094,0.997987
-0.50,-1.619901,1.079934,0.999738
0.00,-0.998751,0.998751,0.999998
0.50,-0.431566,0.863133,0.998739
1.00,-0.607772,0.607772,0.971879
1.50,0.186995,0.373990,0.860976
2.00,0.267380,0.267380,0.770352
3.00,0.387078,0.193539,0.721778
4.00,0.497275,0.165758,0.724953
5.00,0.602797,0.150699,0.734042
