r,q,N,supp_size,S_lead,S_true,K_c1m0_direct,K_reconstr_from_S_true,ratio_lead_true,ratio_K_to_recon,elapsed_s
4,243,27,27,5.856081,12.812758,2.590076,2.465816,0.457051,1.050393,0.001
6,2187,243,243,170.627773,282.132062,19.345140,18.098780,0.604780,1.068864,0.003
8,19683,2187,2187,864.035525,1860.929793,38.171987,39.792901,0.464303,0.959266,0.061
10,177147,19683,19683,7773.745504,19945.252300,142.960918,142.165392,0.389754,1.005596,1.937
