n,k,vertex_count,D_n_k,phi_3k
0,1,1,1.9999999999999998,2
0,2,1,5.999999999999999,6
0,3,1,17.999999999999996,18
0,4,1,54.0,54
0,5,1,162.0,162
1,1,16,0.0078125,2
1,2,16,0.046875,6
1,3,16,0.6328125,18
1,4,16,3.375,54
1,5,16,10.125,162
2,1,90,0.0,2
2,2,90,0.01333333333333332,6
2,3,90,0.0733333333333333,18
2,4,90,0.7933333333333334,54
2,5,90,1.5400000000000003,162
3,1,345,0.00015122873345935697,2
3,2,345,0.0007561436672967872,6
3,3,345,0.07954631379962192,18
3,4,345,0.08937618147448015,54
3,5,345,0.3062381852551985,162
4,1,1123,4.440465646258194e-05,2
4,2,1123,0.0036919300087461275,6
4,3,1123,0.007621742105684664,18
4,4,1123,0.0384512607354204,54
4,5,1123,0.13385149338410263,162
5,1,3163,6.317113710745539e-05,2
5,2,3163,0.0006800892672138091,6
5,3,3163,0.0032277252523322092,18
5,4,3163,0.01165327561836997,54
5,5,3163,0.03100883206462967,162
6,1,6916,1.7227301023836882e-05,2
6,2,6916,0.00021312512941382708,6
6,3,6916,0.0024043374664360307,18
6,4,6916,0.004351064295967039,54
6,5,6916,0.019871064523434318,162
7,1,15370,1.837138905903265e-06,2
7,2,15370,5.7425406445817906e-05,6
7,3,15370,0.0002995213702855051,18
7,4,15370,0.002128803755890803,54
7,5,15370,0.010592130187959632,162
8,1,27165,5.106125388917832e-06,2
8,2,27165,9.065811797202674e-06,6
8,3,27165,0.00021182289591096322,18
8,4,27165,0.0023404185904837647,54
8,5,27165,0.0071354118231398336,162
9,1,51794,1.2599630102592876e-07,2
9,2,51794,1.9637529994220886e-05,6
9,3,51794,0.0001888155218806519,18
9,4,51794,0.001514066982278802,54
9,5,51794,0.002754150161965113,162
10,1,95528,8.036732902238977e-07,2
10,2,95528,3.719361414344634e-05,6
10,3,95528,0.00019039101335972168,18
10,4,95528,0.00047517473676388187,54
10,5,95528,0.0014729760006069537,162
