n,k,vertex_count,D_n_k,phi_3k
0,1,1,1.9999999999999998,2
0,2,1,6.0,6
0,3,1,18.0,18
0,4,1,54.0,54
0,5,1,162.0,162
1,1,11,0.016528925619834718,2
1,2,11,0.09917355371900825,6
1,3,11,1.338842975206611,18
1,4,11,4.90909090909091,54
1,5,11,14.727272727272728,162
2,1,43,0.0010816657652785288,2
2,2,43,0.08436992969172526,6
2,3,43,0.7106544077879934,18
2,4,43,1.4894537587885344,54
2,5,43,3.4169821525148727,162
3,1,132,0.00034435261707988917,2
3,2,132,0.009986225895316806,6
3,3,132,0.17665289256198344,18
3,4,132,0.41219008264462803,54
3,5,132,1.7200413223140494,162
4,1,293,0.0001630770306002395,2
4,2,293,0.01034374308378664,6
4,3,293,0.14152756584235107,18
4,4,293,0.2566366527274633,54
4,5,293,0.4736455870190685,162
5,1,626,0.000188835243801612,2
5,2,626,0.007349263542549171,6
5,3,626,0.024298502587553204,18
5,4,626,0.05043432106074371,54
5,5,626,0.22488746440200466,162
6,1,1032,0.00015774292410311935,2
6,2,1032,0.006366053722733005,6
6,3,1032,0.012101135749053544,18
6,4,1032,0.05906909140075717,54
6,5,1032,0.08822336398053002,162
