L,k,S_walk_mean,S_walk_std,n_walk,S_unif_mean,S_unif_std,n_unif,S_inf_ref_7_15,deviation_walk_from_7_15
100,5,2.120256000000001,0.6044544555746142,50,1.6070400000000007,0.22675370956171817,50,0.4666666666666667,1.653589333333334
1000,5,0.6385489200000013,0.13772614473727862,50,0.1645855199999999,0.022381692992479104,50,0.4666666666666667,0.17188225333333462
10000,5,0.48495205440000183,0.038789999467966,50,0.016263860400000003,0.0023051296925334194,50,0.4666666666666667,0.018285387733335157
100000,5,0.46747836666000203,0.012193881933174566,10,0.0016248778200000217,0.0001821224290162941,10,0.4666666666666667,0.0008116999933353575
