phase,G_nonzero_count,M,elapsed_s,max_G_off_naive_supp,max_G_on_naive_supp,max_G_overall,max_mag_off_supp,max_mag_on_supp,max_rel_dev_from_pred_short,median_mag_on_supp,min_mag_on_supp,naive_pred_mag,numerical_supp_size,off_supp_threshold,p,pass_cell,period,period_actual_of_(1+p)_mod_M,period_expected_p^r,predicted_mag_full,predicted_mag_short,predicted_supp_size,r,supp_symmetric_diff
1,,1331,0.006036520004272461,,,,4.804139347268739e-15,36.482872693909414,3.8952126479816435e-16,36.4828726939094,36.48287269390939,,11,1e-10,11,True,121,,,401.31159963300337,36.4828726939094,11,2,0
1,,14641,0.0010042190551757812,,,,4.1170412101738404e-14,121.00000000000006,5.872254014546283e-16,120.99999999999999,120.99999999999993,,121,1e-10,11,True,1331,,,1331.0,121.0,121,3,0
1,,2197,0.0,,,,1.0024619036789205e-14,46.87216658103188,3.0318322688656824e-16,46.87216658103186,46.87216658103185,,13,1e-10,13,True,169,,,609.3381655534142,46.87216658103186,13,2,0
1,,28561,0.0010120868682861328,,,,8.670514514181647e-14,169.0000000000001,6.727031817847102e-16,169.0,168.9999999999999,,169,1e-10,13,True,2197,,,2197.0,169.0,169,3,0
1,,4913,0.0,,,,1.4398461689829923e-14,70.09279563550024,2.0274344297953165e-16,70.09279563550022,70.09279563550021,,17,1e-10,17,True,289,,,1191.577525803504,70.09279563550022,17,2,0
1,,83521,0.001003265380859375,,,,2.0892226548042472e-13,289.00000000000017,5.90070091980706e-16,289.0,288.99999999999983,,289,1e-10,17,True,4913,,,4913.0,289.0,289,3,0
1,,6859,0.0,,,,1.349080204575187e-14,82.81907992727282,3.43178280359579e-16,82.8190799272728,82.81907992727277,,19,1e-10,19,True,361,,,1573.562518618183,82.8190799272728,19,2,0
1,,130321,0.0015044212341308594,,,,2.709311923263881e-13,361.00000000000017,4.723829822227813e-16,361.0,360.99999999999983,,361,1e-10,19,True,6859,,,6859.0,361.0,361,3,0
1,,12167,0.0010027885437011719,,,,1.6599835797786893e-14,110.30412503619259,3.865001796770301e-16,110.30412503619254,110.30412503619252,,23,1e-10,23,True,529,,,2536.9948758324285,110.30412503619254,23,2,0
1,,279841,0.003518819808959961,,,,4.824345072972757e-13,529.0000000000003,6.447268679864804e-16,529.0,528.9999999999997,,529,1e-10,23,True,12167,,,12167.0,529.0,529,3,0
