n,abs_eps_times_2n,H0_constant_pred,H1_jordan_pred,H2_log_pred,H3_power_pred,H4_combined_pred,H0_constant_resid,H1_jordan_resid,H2_log_resid,H3_power_resid,H4_combined_resid
2,0.0380952381,0.03735782492,0.04062553297999998,0.04051992447735053,0.04068009093948277,0.03791779678213552,-0.0007374131800000003,0.002530294879999985,0.002424686377350535,0.0025848528394827736,-0.0001774413178644782
3,0.0407358906,0.03735782492,0.03899167894999998,0.03846096392707292,0.038397923799720894,0.04149818526308815,-0.0033780656800000003,-0.0017442116500000146,-0.0022749266729270787,-0.0023379668002791038,0.0007622946630881505
4,0.039236132,0.03735782492,0.037357824919999984,0.03700010816820375,0.03685677520208876,0.039039654784960784,-0.0018783070800000023,-0.0018783070800000162,-0.0022360238317962466,-0.002379356797911243,-0.00019647721503921606
5,0.0368559013,0.03735782492,0.035723970889999984,0.035866980409446664,0.03570409429202322,0.03572413696642764,0.0005019236199999971,-0.0011319304100000163,-0.0009889208905533367,-0.0011518070079767836,-0.0011317643335723576
6,0.0318659626,0.03735782492,0.03409011685999998,0.03494114761792615,0.034789097394560556,0.0325857903355243,0.005491862319999999,0.002224154259999979,0.003075185017926148,0.002923134794560557,0.0007198277355243005
