q,h_q,alpha,f_alpha
-5.00,3.287919,3.657892,-0.849867
-4.00,3.213924,3.601678,-0.551017
-3.00,3.094042,3.617698,-0.570970
-2.00,2.864820,3.722857,-0.716076
-1.00,2.236004,3.990772,-0.754768
-0.50,1.077131,1.944137,0.566497
0.00,0.501993,0.501993,1.000000
0.50,0.498549,0.495246,0.998349
1.00,0.495387,0.489312,0.993925
1.50,0.492474,0.484063,0.987384
2.00,0.489780,0.479364,0.979167
3.00,0.484929,0.471155,0.958678
4.00,0.480598,0.463962,0.933457
5.00,0.476611,0.456681,0.900346
