n,len,mean_v,frac_ge_1,frac_ge_2,frac_ge_3,frac_ge_4,frac_ge_5,frac_ge_6,frac_ge_7,frac_ge_8,frac_ge_9,frac_ge_10
5959489,40,2.150000,1.000000,0.475000,0.275000,0.175000,0.075000,0.075000,0.025000,0.025000,0.025000,0.000000
4140491,56,1.982143,1.000000,0.500000,0.267857,0.142857,0.071429,0.000000,0.000000,0.000000,0.000000,0.000000
8091647,104,1.807692,1.000000,0.423077,0.211538,0.125000,0.048077,0.000000,0.000000,0.000000,0.000000,0.000000
2750621,45,2.066667,1.000000,0.533333,0.266667,0.133333,0.044444,0.022222,0.022222,0.022222,0.022222,0.000000
7888787,58,1.982759,1.000000,0.465517,0.310345,0.172414,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000
2040731,63,1.920635,1.000000,0.460317,0.238095,0.126984,0.079365,0.015873,0.000000,0.000000,0.000000,0.000000
4558049,131,1.755725,1.000000,0.435115,0.183206,0.083969,0.038168,0.007634,0.007634,0.000000,0.000000,0.000000
3907561,87,1.839080,1.000000,0.448276,0.195402,0.126437,0.034483,0.022989,0.011494,0.000000,0.000000,0.000000
529163,32,2.187500,1.000000,0.562500,0.281250,0.125000,0.062500,0.062500,0.031250,0.031250,0.031250,0.000000
3813721,87,1.839080,1.000000,0.436782,0.218391,0.114943,0.045977,0.022989,0.000000,0.000000,0.000000,0.000000
5579321,81,1.864198,1.000000,0.469136,0.209877,0.111111,0.037037,0.012346,0.012346,0.012346,0.000000,0.000000
7743383,29,2.379310,1.000000,0.551724,0.379310,0.241379,0.103448,0.068966,0.034483,0.000000,0.000000,0.000000
1918325,58,1.948276,1.000000,0.413793,0.241379,0.172414,0.068966,0.034483,0.017241,0.000000,0.000000,0.000000
1362853,52,1.980769,1.000000,0.500000,0.192308,0.134615,0.076923,0.057692,0.019231,0.000000,0.000000,0.000000
2155097,85,1.835294,1.000000,0.447059,0.223529,0.105882,0.047059,0.011765,0.000000,0.000000,0.000000,0.000000
7107661,48,2.062500,1.000000,0.500000,0.291667,0.166667,0.041667,0.020833,0.020833,0.020833,0.000000,0.000000
3802867,41,2.121951,1.000000,0.560976,0.195122,0.121951,0.073171,0.048780,0.024390,0.024390,0.024390,0.024390
4410877,56,1.982143,1.000000,0.482143,0.285714,0.142857,0.035714,0.017857,0.017857,0.000000,0.000000,0.000000
3678935,29,2.344828,1.000000,0.586207,0.482759,0.241379,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000
7340407,53,2.018868,1.000000,0.490566,0.283019,0.150943,0.056604,0.018868,0.018868,0.000000,0.000000,0.000000
922475,82,1.829268,1.000000,0.487805,0.219512,0.085366,0.024390,0.012195,0.000000,0.000000,0.000000,0.000000
73675,13,2.846154,1.000000,0.846154,0.615385,0.307692,0.076923,0.000000,0.000000,0.000000,0.000000,0.000000
4417229,49,2.040816,1.000000,0.469388,0.265306,0.142857,0.081633,0.040816,0.040816,0.000000,0.000000,0.000000
25223,19,2.368421,1.000000,0.631579,0.473684,0.263158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7751957,58,1.982759,1.000000,0.500000,0.293103,0.137931,0.034483,0.017241,0.000000,0.000000,0.000000,0.000000
628523,47,2.000000,1.000000,0.489362,0.234043,0.148936,0.085106,0.021277,0.021277,0.000000,0.000000,0.000000
5221145,64,1.937500,1.000000,0.515625,0.234375,0.125000,0.046875,0.015625,0.000000,0.000000,0.000000,0.000000
8175097,27,2.444444,1.000000,0.703704,0.259259,0.185185,0.074074,0.074074,0.074074,0.074074,0.000000,0.000000
7682875,29,2.379310,1.000000,0.586207,0.379310,0.241379,0.103448,0.034483,0.034483,0.000000,0.000000,0.000000
5441101,16,3.000000,1.000000,0.750000,0.562500,0.250000,0.125000,0.125000,0.062500,0.062500,0.062500,0.000000
7740455,19,2.789474,1.000000,0.631579,0.368421,0.315789,0.157895,0.105263,0.052632,0.052632,0.052632,0.052632
4375573,61,1.950820,1.000000,0.524590,0.245902,0.131148,0.032787,0.016393,0.000000,0.000000,0.000000,0.000000
6639271,60,1.966667,1.000000,0.433333,0.283333,0.133333,0.033333,0.033333,0.016667,0.016667,0.016667,0.000000
6260743,67,1.925373,1.000000,0.507463,0.208955,0.119403,0.059701,0.029851,0.000000,0.000000,0.000000,0.000000
