k,L_min_if_envelope_applied,Eliahou_2009_actual_bound
1,8.333333333333334,
2,50.0,
3,300.0,
4,1800.0000000000002,
5,10800.0,
6,64800.00000000001,
7,388800.0,
8,2332800.0,
9,13996800.000000002,
10,83980800.0,17000000000.0
