k_to_kp1,||d||^2,3^(k+1)*||d||^2,S_{k+1}-S_k
1->2,5.29100529e-02,4.76190476e-01,4.76190476e-01
2->3,1.70953585e-02,4.61574680e-01,4.61574680e-01
3->4,5.73104208e-03,4.64214408e-01,4.64214408e-01
4->5,1.91569926e-03,4.65514920e-01,4.65514920e-01
5->6,6.39463321e-04,4.66168761e-01,4.66168761e-01
