n,S_n_num,S_n_den,S_n_float,phi_unif_num,phi_unif_den,phi_unif_float,eps_n_num,eps_n_den,eps_n_float,sum_c_n_num,sum_c_n_den,sum_c_n_float,decomp_target_num,decomp_target_den,decomp_match
1,2,3,6.666666666666666e-01,1,2,5.000000000000000e-01,1,5,2.000000000000000e-01,1,6,1.666666666666667e-01,1,6,TRUE
2,10,21,4.761904761904762e-01,0,1,0.000000000000000e+00,1,105,9.523809523809525e-03,10,21,4.761904761904762e-01,10,21,TRUE
3,31370,67963,4.615746803407736e-01,0,1,0.000000000000000e+00,-5191,1019445,-5.091986325893010e-03,31370,67963,4.615746803407736e-01,31370,67963,TRUE
4,143195649659456490,308468774477179141,4.642144084183479e-01,0,1,0.000000000000000e+00,-11346676448406637,4627031617157687115,-2.452258248318762e-03,143195649659456490,308468774477179141,4.642144084183479e-01,143195649659456490,308468774477179141,TRUE
5,2490699741144069281815149277465294323722281911695597204406570,5350418720142111510029542161258891403960563152740894082816203,4.655149197515357e-01,0,1,0.000000000000000e+00,-92434923833741342979555966832824971889713393752300513614871,80256280802131672650443132418883371059408447291113411242243045,-1.151746915130986e-03,2490699741144069281815149277465294323722281911695597204406570,5350418720142111510029542161258891403960563152740894082816203,4.655149197515357e-01,2490699741144069281815149277465294323722281911695597204406570,5350418720142111510029542161258891403960563152740894082816203,TRUE
6,3073594394508858158063860398646918469118621544451223655237787736044140305600491108232683716375149129809572776883214501465626550917830849901208399259893949668774475847028354296093382145075270,6593308371642093718618660948586623421072140639443126614173839021148571641533385540268510160579160359417192756329060861771589941737564918045220171980607356372262183045471725888175409486651187,4.661687610014463e-01,0,1,0.000000000000000e+00,-49242683861783659372720660402586910725661309333531470650057107377896906726332158389315378426885568776757641055208510416731328395491677798415214965842249574218143612876766775827134230429259,98899625574631405779279914228799351316082109591646899212607585317228574623000783104027652408687405391257891344935912926573849126063473770678302579709110345583932745682075888322631142299767805,-4.979056652203831e-04,3073594394508858158063860398646918469118621544451223655237787736044140305600491108232683716375149129809572776883214501465626550917830849901208399259893949668774475847028354296093382145075270,6593308371642093718618660948586623421072140639443126614173839021148571641533385540268510160579160359417192756329060861771589941737564918045220171980607356372262183045471725888175409486651187,4.661687610014463e-01,3073594394508858158063860398646918469118621544451223655237787736044140305600491108232683716375149129809572776883214501465626550917830849901208399259893949668774475847028354296093382145075270,6593308371642093718618660948586623421072140639443126614173839021148571641533385540268510160579160359417192756329060861771589941737564918045220171980607356372262183045471725888175409486651187,TRUE
