K,convention,r,D_K,D_avg,abs_diff,lambda_PF,n_absorbing
6,value1,11,1.080947,0.657507,0.423440,0.974340,1
6,value1,13,1.025730,0.557318,0.468412,0.974340,1
6,value1,15,1.080974,1.057805,0.023169,0.974340,1
6,value1,17,0.812648,1.131972,0.319324,0.974340,1
6,value1,19,1.081058,0.627469,0.453589,0.974340,1
6,value1,21,1.025838,0.930738,0.095100,0.974340,1
6,value1,23,1.081029,1.398056,0.317027,0.974340,1
6,value1,25,1.025072,0.543950,0.481122,0.974340,1
6,value1,27,1.081171,0.801717,0.279454,0.974340,1
6,value1,29,1.026157,1.353787,0.327630,0.974340,1
6,value1,31,1.081086,0.766633,0.314453,0.974340,1
6,fine_cylinder,1,1.016316,1.609081,0.592765,0.968750,1
6,fine_cylinder,3,1.033778,1.236401,0.202623,0.968750,1
6,fine_cylinder,5,1.024225,1.863896,0.839671,0.968750,1
6,fine_cylinder,7,1.033778,0.737504,0.296274,0.968750,1
6,fine_cylinder,9,1.036322,0.695791,0.340531,0.968750,1
6,fine_cylinder,11,1.027724,0.657507,0.370217,0.968750,1
6,fine_cylinder,13,1.032258,0.557318,0.474940,0.968750,1
6,fine_cylinder,15,1.035812,1.057805,0.021993,0.968750,1
6,fine_cylinder,17,1.020255,1.131972,0.111717,0.968750,1
6,fine_cylinder,19,1.033778,0.627469,0.406309,0.968750,1
6,fine_cylinder,21,0.516129,0.930738,0.414609,0.968750,1
6,fine_cylinder,23,1.033778,1.398056,0.364278,0.968750,1
6,fine_cylinder,25,1.044547,0.543950,0.500597,0.968750,1
6,fine_cylinder,27,1.044029,0.801717,0.242312,0.968750,1
6,fine_cylinder,29,1.024225,1.353787,0.329562,0.968750,1
6,fine_cylinder,31,1.044029,0.766633,0.277396,0.968750,1
8,cylinder21,1,1.050193,1.609081,0.558888,0.937500,8
8,cylinder21,3,1.068238,1.236401,0.168163,0.937500,8
8,cylinder21,5,1.058366,1.863896,0.805530,0.937500,8
8,cylinder21,7,1.068238,0.737504,0.330734,0.937500,8
8,cylinder21,9,1.070866,0.695791,0.375075,0.937500,8
8,cylinder21,11,1.061981,0.657507,0.404474,0.937500,8
8,cylinder21,13,1.066667,0.557318,0.509349,0.937500,8
8,cylinder21,15,1.070339,1.057805,0.012534,0.937500,8
8,cylinder21,17,1.054264,1.131972,0.077708,0.937500,8
8,cylinder21,19,1.068238,0.627469,0.440769,0.937500,8
8,cylinder21,21,0.000000,0.930738,,0.937500,8
8,cylinder21,23,1.068238,1.398056,0.329818,0.937500,8
8,cylinder21,25,1.079365,0.543950,0.535415,0.937500,8
8,cylinder21,27,1.078830,0.801717,0.277113,0.937500,8
8,cylinder21,29,1.058366,1.353787,0.295421,0.937500,8
8,cylinder21,31,1.078830,0.766633,0.312197,0.937500,8
8,values,1,0.717289,1.609081,0.891792,0.971120,4
8,values,3,1.074392,1.236401,0.162009,0.971120,4
8,values,5,0.891538,1.863896,0.972358,0.971120,4
8,values,7,1.074392,0.737504,0.336888,0.971120,4
8,values,9,1.030935,0.695791,0.335144,0.971120,4
8,values,11,1.068099,0.657507,0.410592,0.971120,4
8,values,13,1.026892,0.557318,0.469574,0.971120,4
8,values,15,1.076505,1.057805,0.018700,0.971120,4
8,values,17,0.902086,1.131972,0.229886,0.971120,4
8,values,19,1.074392,0.627469,0.446923,0.971120,4
8,values,21,0.770169,0.930738,0.160569,0.971120,4
8,values,23,1.074392,1.398056,0.323664,0.971120,4
8,values,25,1.039117,0.543950,0.495167,0.971120,4
8,values,27,1.085045,0.801717,0.283328,0.971120,4
8,values,29,1.018901,1.353787,0.334886,0.971120,4
8,values,31,1.085045,0.766633,0.318412,0.971120,4
8,value21,1,0.995084,1.609081,0.613997,0.992254,1
8,value21,3,1.014518,1.236401,0.221883,0.992254,1
8,value21,5,0.993382,1.863896,0.870514,0.992254,1
8,value21,7,1.014773,0.737504,0.277269,0.992254,1
8,value21,9,1.000613,0.695791,0.304822,0.992254,1
8,value21,11,1.015546,0.657507,0.358039,0.992254,1
8,value21,13,1.004737,0.557318,0.447419,0.992254,1
8,value21,15,1.015763,1.057805,0.042042,0.992254,1
8,value21,17,0.996997,1.131972,0.134975,0.992254,1
8,value21,19,1.015530,0.627469,0.388061,0.992254,1
8,value21,21,0.874321,0.930738,0.056417,0.992254,1
8,value21,23,1.015762,1.398056,0.382294,0.992254,1
8,value21,25,1.007572,0.543950,0.463622,0.992254,1
8,value21,27,1.020548,0.801717,0.218831,0.992254,1
8,value21,29,0.994912,1.353787,0.358875,0.992254,1
8,value21,31,1.020778,0.766633,0.254145,0.992254,1
8,value1,1,0.759620,1.609081,0.849461,0.993774,1
8,value1,3,1.024135,1.236401,0.212266,0.993774,1
8,value1,5,1.005887,1.863896,0.858009,0.993774,1
8,value1,7,1.024391,0.737504,0.286887,0.993774,1
8,value1,9,1.013225,0.695791,0.317434,0.993774,1
8,value1,11,1.025166,0.657507,0.367659,0.993774,1
8,value1,13,1.017358,0.557318,0.460040,0.993774,1
8,value1,15,1.025393,1.057805,0.032412,0.993774,1
8,value1,17,0.959351,1.131972,0.172621,0.993774,1
8,value1,19,1.025154,0.627469,0.397685,0.993774,1
8,value1,21,1.011798,0.930738,0.081060,0.993774,1
8,value1,23,1.025391,1.398056,0.372665,0.993774,1
8,value1,25,1.020269,0.543950,0.476319,0.993774,1
8,value1,27,1.030223,0.801717,0.228506,0.993774,1
8,value1,29,1.007422,1.353787,0.346365,0.993774,1
8,value1,31,1.030460,0.766633,0.263827,0.993774,1
8,fine_cylinder,1,0.995084,1.609081,0.613997,0.992254,1
8,fine_cylinder,3,1.014518,1.236401,0.221883,0.992254,1
8,fine_cylinder,5,0.993382,1.863896,0.870514,0.992254,1
8,fine_cylinder,7,1.014773,0.737504,0.277269,0.992254,1
8,fine_cylinder,9,1.000613,0.695791,0.304822,0.992254,1
8,fine_cylinder,11,1.015546,0.657507,0.358039,0.992254,1
8,fine_cylinder,13,1.004737,0.557318,0.447419,0.992254,1
8,fine_cylinder,15,1.015763,1.057805,0.042042,0.992254,1
8,fine_cylinder,17,0.996997,1.131972,0.134975,0.992254,1
