class_idx,n_excess,threshold,xi,scale
0,2500,109.68990301322614,-0.0026573963625574947,36.88540191292611
1,2500,110.00192912370248,-0.00013574273586029777,35.56488681887841
2,2500,104.00051017753994,-0.009133799217415152,33.569979232449214
3,2500,116.05945564850049,0.024000004692554165,35.59168007925177
4,2500,115.81852820510073,-0.01282184205030728,37.54350414245846
5,2500,109.65067711162428,0.007687327850423802,36.78465918296267
6,2500,103.77223491845331,-0.05263032441077722,37.466857958241874
7,2500,110.27774490370898,-0.0445705662189374,42.7225110820546
8,2500,110.3496040645567,-0.011497377400660935,36.3146768254024
9,2500,116.07924728113638,0.01303963456753508,37.68915027163596
10,2500,97.3155706862256,-0.10727008593412654,38.572176672059996
11,2500,109.96425550937013,-0.03240690019151738,37.560269541260766
12,2500,109.83337611774007,-0.01785752540610018,35.66776958621809
13,2500,120.98635254171627,0.053793279960499346,36.189869604748196
14,2500,110.28994191647722,-0.02827622117975492,36.50270537494317
15,2500,116.49650282972036,-0.059939173025656184,44.097988054257534
16,2500,115.8351890429759,0.05337485171954828,34.24267799930507
17,2500,103.81531827315237,-0.044562582657858625,36.40940467946571
18,2500,109.52070940237897,-0.027464497508882534,37.03217005041383
19,2500,116.71434657524772,-0.06987839937931715,44.13122585782472
20,2500,117.07947219209439,-0.053069279846891734,42.34418023249131
21,2500,115.66749371797466,0.01890259157064346,36.27871073836665
22,2500,110.29946998981475,-0.049897200404495023,38.304996176742236
23,2500,116.492633837411,-0.03702759984938647,44.05711466236346
24,2500,103.85173616191302,-0.04751096700577039,36.41021757336418
25,2500,110.29461544204919,-0.028210979595552153,38.11516504219277
26,2500,103.99229021336483,-0.022072982438980964,34.74528491004511
27,2500,115.96449938653478,0.003372980390447319,37.19182171335354
28,2500,116.03597523861922,0.04772162659173013,34.480882363947785
29,2500,116.12999446755644,-0.018026403825661026,38.20535207236435
30,2500,116.4699954120847,0.03580807725907925,34.96667305054622
31,2500,122.72737369924654,-0.02253352207937597,44.223782132907104
