v,count,P_emp,P_geom,ratio
1,127401984,2.500000e-01,5.000000e-01,0.500000
2,63700992,1.250000e-01,2.500000e-01,0.500000
3,31850496,6.250000e-02,1.250000e-01,0.500000
4,15925248,3.125000e-02,6.250000e-02,0.500000
5,7962624,1.562500e-02,3.125000e-02,0.500000
6,3981312,7.812500e-03,1.562500e-02,0.500000
7,1990656,3.906250e-03,7.812500e-03,0.500000
8,995328,1.953125e-03,3.906250e-03,0.500000
9,497664,9.765625e-04,1.953125e-03,0.500000
10,248832,4.882812e-04,9.765625e-04,0.500000
11,124416,2.441406e-04,4.882812e-04,0.500000
12,62208,1.220703e-04,2.441406e-04,0.500000
13,31104,6.103516e-05,1.220703e-04,0.500000
14,15552,3.051758e-05,6.103516e-05,0.500000
15,7776,1.525879e-05,3.051758e-05,0.500000
16,3888,7.629395e-06,1.525879e-05,0.500000
17,1944,3.814697e-06,7.629395e-06,0.500000
18,972,1.907349e-06,3.814697e-06,0.500000
19,486,9.536743e-07,1.907349e-06,0.500000
20,243,4.768372e-07,9.536743e-07,0.500000
