k,n_states,delta_l2_norm,delta_linf_norm,delta_sum,abs_eps_k,ratio_l2_to_eps
5,162,0.04376870181118893,0.01891752248541258,-3.469446951953614e-17,0.0011517469151,38.002013495637385
6,486,0.02528761200646748,0.009455279149973642,-9.540979117872439e-17,0.00049790566522,50.787957986567854
7,1458,0.014589199170462827,0.004720289023578498,-5.204170427930421e-17,0.0011752368304,12.413837613902292
