rank,sigma_top,d_i,d_i_sq,d_var_frac,c_i,c_i_sq,c_var_frac
1,0.6706154988646009,0.0010890803628965443,1.1860960368468686e-06,0.03554373474653719,0.0007303541708675094,5.334172149035671e-07,0.035585135012710725
2,0.6706154988646006,0.001108065852538601,1.2278099335620966e-06,0.03679377490688714,0.000743086134475001,5.521770032489993e-07,0.03683663118199496
3,0.6705924593943374,0.0022989825487976156,5.285320759675981e-06,0.15838518407978056,0.0015416803615028551,2.3767783370435743e-06,0.1585587709880566
4,0.6705924593943373,-0.0007788025964639913,6.065334842590544e-07,0.018175986268960217,-0.0005222591485454792,2.727546182394489e-07,0.018195906776547966
5,0.6705003666398461,0.0024952637757245295,6.226341310443035e-06,0.18658474280726894,0.0016730752764864245,2.799180880790126e-06,0.186737935681215
6,0.6705003666398456,-0.0016880381413235572,2.84947276656309e-06,0.08539013792799297,-0.0011318301926594879,1.2810395850156134e-06,0.0854602463432844
7,0.6704313654201772,0.00043127637996450975,1.8599931591529218e-07,0.005573840686210849,0.00028914121229307594,8.36026406463096e-08,0.005577268921393729
8,0.6704313654201769,-0.0011754851175383098,1.381765261554054e-06,0.04140735354720491,-0.0007880820923823066,6.210733843336744e-07,0.04143282147035782
9,0.6702476482832046,0.0013846471926691984,1.9172478481666922e-06,0.057454157877271574,0.0009280565245884721,8.612889128312333e-07,0.05745799234018181
10,0.6702476482832045,-0.00012863371935614042,1.6546633755394297e-08,0.0004958529013496434,-8.621644788837244e-05,7.433275886488441e-09,0.0004958859943341684
11,0.6701330361818889,0.0016429163552916445,2.699174150484781e-06,0.0808861399575919,0.0011009725253644767,1.2121405016074334e-06,0.08086387577849988
12,0.6701330361818887,-0.0001234665505959573,1.5243989116064085e-08,0.0004568165551424354,-8.273901441777635e-05,6.845744506825002e-09,0.0004566908148660529
13,0.6698586285930892,-0.0018194159750188905,3.31027449015394e-06,0.09919898116264488,-0.0012187514898665116,1.4853551940518417e-06,0.09909047485788681
14,0.669858628593089,-0.0008076094592860286,6.522330387282715e-07,0.019545464617785096,-0.0005409841648361457,2.926638666034621e-07,0.01952408530405027
15,0.6696989880539641,-0.0002478615406723951,6.143534334449336e-08,0.0018410326651998,-0.00016599262296579723,2.7553550879065313e-08,0.0018381424534421726
16,0.6696989880539637,-0.0018086504143764088,3.271216321423955e-06,0.0980285251912088,-0.0012112513522512607,1.4671298383305077e-06,0.09787463156322376
17,0.6693352839406089,6.3334512975967e-05,4.011260533902933e-09,0.00012020542686857169,4.2392024226009474e-05,1.797083717978574e-09,0.00011988639463946193
18,0.6693352839406087,0.0009744499761194049,9.495527559591088e-07,0.028455243283146817,0.0006522337514518037,4.254088665328932e-07,0.02837972140421824
19,0.6691314255363375,-0.0010644046702498488,1.1329573020496894e-06,0.03395132651337371,-0.0007122266143518173,5.072667501910523e-07,0.03384059473271958
20,0.6691314255363372,0.0006251505798527852,3.9081324749027364e-07,0.011711498877574004,0.0004183078986717624,1.7498149809118546e-07,0.011673301986376478
